Iron County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.52,-0.73
199002,0.19,-0.12
199003,-1.19,-1.32
199004,0.44,0.38
199005,-0.22,-0.39
199006,-0.90,-1.10
199007,-1.08,-1.35
199008,-1.67,-1.99
199009,0.92,0.66
199010,-0.86,-1.10
199011,-0.22,-0.21
199012,0.14,0.24
199101,-0.66,-0.87
199102,-2.05,-2.36
199103,0.45,0.32
199104,-0.89,-0.95
199105,1.35,1.18
199106,-0.15,-0.35
199107,-1.67,-1.94
199108,-1.14,-1.46
199109,0.53,0.27
199110,1.28,1.04
199111,0.58,0.59
199112,-0.73,-0.63
199201,-0.73,-0.94
199202,0.04,-0.27
199203,2.60,2.47
199204,-2.55,-2.61
199205,1.22,1.05
199206,-0.09,-0.29
199207,-1.02,-1.29
199208,0.91,0.59
199209,-1.65,-1.91
199210,1.10,0.86
199211,-0.99,-0.98
199212,1.31,1.41
199301,5.46,5.25
199302,5.81,5.50
199303,-0.16,-0.29
199304,-1.14,-1.20
199305,0.19,0.02
199306,1.56,1.36
199307,-0.98,-1.25
199308,-0.84,-1.16
199309,-1.95,-2.21
199310,0.97,0.73
199311,0.13,0.14
199312,-0.99,-0.89
199401,-1.97,-2.18
199402,0.51,0.20
199403,-2.20,-2.33
199404,0.43,0.37
199405,-1.14,-1.31
199406,-2.46,-2.66
199407,-3.21,-3.48
199408,-0.42,-0.74
199409,0.04,-0.22
199410,2.33,2.09
199411,3.63,3.64
199412,0.47,0.57
199501,2.99,2.78
199502,0.01,-0.30
199503,3.60,3.47
199504,1.06,1.00
199505,3.32,3.15
199506,5.16,4.96
199507,2.44,2.17
199508,-0.04,-0.36
199509,-1.01,-1.27
199510,-2.30,-2.54
199511,-2.83,-2.82
199512,-1.00,-0.90
199601,-0.95,-1.16
199602,-0.68,-0.99
199603,-1.85,-1.98
199604,-1.50,-1.56
199605,-1.22,-1.39
199606,-3.27,-3.47
199607,-1.09,-1.36
199608,-3.24,-3.56
199609,0.22,-0.04
199610,0.34,0.10
199611,1.68,1.69
199612,0.66,0.76
199701,2.32,2.11
199702,0.36,0.05
199703,-2.54,-2.67
199704,1.13,1.07
199705,-0.45,-0.62
199706,0.41,0.21
199707,-1.05,-1.32
199708,1.30,0.98
199709,7.02,6.76
199710,0.11,-0.13
199711,-0.24,-0.23
199712,-1.18,-1.08
199801,-0.59,-0.80
199802,2.25,1.94
199803,0.68,0.55
199804,1.46,1.40
199805,1.01,0.84
199806,3.25,3.05
199807,4.14,3.87
199808,0.09,-0.23
199809,4.47,4.21
199810,3.02,2.78
199811,0.22,0.23
199812,-0.43,-0.33
199901,-1.05,-1.26
199902,-0.97,-1.28
199903,-2.69,-2.82
199904,1.62,1.56
199905,-0.22,-0.39
199906,0.80,0.60
199907,1.93,1.66
199908,1.33,1.01
199909,-0.10,-0.36
199910,-2.37,-2.61
199911,-2.46,-2.45
199912,-1.96,-1.86
200001,-0.66,-0.87
200002,1.39,1.08
200003,-1.23,-1.36
200004,-2.13,-2.19
200005,-2.26,-2.43
200006,-1.53,-1.73
200007,-3.48,-3.75
200008,1.70,1.38
200009,-1.40,-1.66
200010,5.13,4.89
200011,0.63,0.64
200012,-0.96,-0.86
200101,0.75,0.54
200102,1.32,1.01
200103,-0.49,-0.62
200104,0.83,0.77
200105,-0.67,-0.84
200106,-0.10,-0.30
200107,-1.06,-1.33
200108,0.09,-0.23
