Iron County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,9.56,-4.97
199002,10.30,-4.25
199003,10.72,-3.84
199004,12.36,-2.17
199005,12.36,-2.17
199006,12.72,-1.81
199007,12.73,-1.80
199008,11.80,-2.75
199009,13.11,-1.43
199010,13.02,-1.56
199011,13.82,-0.75
199012,15.16,0.58
199101,14.59,0.06
199102,13.38,-1.17
199103,13.89,-0.67
199104,12.56,-1.97
199105,13.20,-1.33
199106,12.88,-1.65
199107,12.14,-2.39
199108,12.40,-2.15
199109,12.12,-2.42
199110,13.28,-1.30
199111,13.56,-1.01
199112,12.99,-1.59
199201,12.95,-1.58
199202,13.99,-0.56
199203,15.60,1.04
199204,15.41,0.88
199205,15.49,0.96
199206,15.46,0.93
199207,15.73,1.20
199208,16.60,2.05
199209,15.54,1.00
199210,15.51,0.93
199211,14.48,-0.09
199212,15.72,1.14
199301,18.91,4.38
199302,20.82,6.27
199303,18.61,4.05
199304,18.88,4.35
199305,18.05,3.52
199306,18.81,4.28
199307,18.43,3.90
199308,17.48,2.93
199309,17.28,2.74
199310,16.97,2.39
199311,17.63,3.06
199312,16.29,1.71
199401,12.55,-1.98
199402,10.84,-3.71
199403,10.26,-4.30
199404,11.33,-3.20
199405,11.15,-3.38
199406,10.23,-4.30
199407,10.35,-4.18
199408,11.07,-3.48
199409,12.21,-2.33
199410,12.87,-1.71
199411,14.52,-0.05
199412,14.84,0.26
199501,16.77,2.24
199502,15.91,1.36
199503,18.67,4.11
199504,18.52,3.99
199505,20.00,5.47
199506,21.90,7.37
199507,21.83,7.30
199508,21.13,6.58
199509,20.40,5.86
199510,18.10,3.52
199511,15.58,1.01
199512,15.45,0.87
199601,14.20,-0.33
199602,14.75,0.20
199603,12.15,-2.41
199604,11.29,-3.24
199605,10.37,-4.16
199606,8.31,-6.22
199607,9.58,-4.95
199608,8.92,-5.63
199609,9.60,-4.94
199610,10.85,-3.73
199611,12.86,-1.71
199612,13.44,-1.14
199701,14.68,0.15
199702,14.02,-0.53
199703,13.24,-1.32
199704,14.27,-0.26
199705,13.77,-0.76
199706,14.50,-0.03
199707,13.56,-0.97
199708,15.37,0.82
199709,18.54,4.00
199710,17.90,3.32
199711,16.87,2.30
199712,15.99,1.41
199801,14.85,0.32
199802,16.59,2.04
199803,18.32,3.76
199804,18.26,3.73
199805,18.54,4.01
199806,19.11,4.58
199807,20.63,6.10
199808,19.42,4.87
199809,18.05,3.51
199810,19.95,5.37
199811,19.90,5.33
199812,20.03,5.45
199901,19.44,4.91
199902,17.65,3.10
199903,16.07,1.51
199904,16.18,1.65
199905,15.95,1.42
199906,15.79,1.26
199907,15.77,1.24
199908,16.72,2.17
199909,14.61,0.07
199910,12.19,-2.39
199911,11.43,-3.14
199912,11.05,-3.53
200001,11.87,-2.66
200002,13.70,-0.85
200003,14.39,-0.17
200004,13.29,-1.24
200005,13.06,-1.47
200006,12.67,-1.86
200007,10.63,-3.90
200008,11.35,-3.20
200009,11.00,-3.54
200010,14.75,0.17
200011,15.33,0.76
200012,15.38,0.80
200101,15.37,0.84
200102,14.31,-0.24
200103,14.59,0.03
200104,15.57,1.04
200105,15.45,0.92
200106,14.98,0.45
200107,15.71,1.18
200108,14.81,0.26
200109,14.39,-0.15
200110,10.87,-3.71
200111,11.09,-3.48
200112,12.04,-2.54
200201,10.94,-3.59
200202,9.59,-4.96
200203,8.86,-5.70
200204,7.65,-6.88
200205,7.32,-7.21
200206,7.08,-7.45
200207,6.83,-7.70
200208,5.23,-9.32
200209,6.73,-7.81
200210,8.03,-6.55
200211,7.56,-7.01
200212,7.05,-7.53
200301,7.02,-7.51
200302,8.61,-5.94
200303,9.39,-5.17
200304,10.20,-4.33
200305,10.87,-3.66
200306,10.88,-3.65
200307,10.97,-3.56
200308,12.15,-2.40
200309,10.98,-3.56
200310,9.47,-5.11
200311,9.86,-4.71
200312,10.78,-3.80
200401,11.14,-3.39
200402,11.41,-3.14
200403,10.12,-4.44
200404,10.40,-4.13
200405,10.24,-4.29
200406,10.47,-4.06
200407,11.25,-3.28
200408,10.96,-3.59
200409,11.42,-3.12
200410,16.50,1.92
200411,17.56,2.99
200412,17.44,2.86
200501,20.15,5.62
200502,20.15,5.60
200503,22.25,7.69
200504,22.77,8.24
200505,23.51,8.98
200506,25.12,10.59
200507,24.26,9.73
200508,25.90,11.35
200509,25.45,10.91
200510,22.04,7.46
200511,20.25,5.68
200512,19.42,4.84
200601,17.28,2.75
200602,15.64,1.09
200603,17.01,2.45
200604,16.01,1.48
200605,14.88,0.35
200606,13.23,-1.30
200607,15.09,0.56
200608,12.89,-1.66
200609,13.35,-1.19
200610,14.34,-0.24
200611,14.31,-0.26
200612,14.75,0.17
200701,14.38,-0.15
200702,15.16,0.61
200703,12.05,-2.51
200704,12.40,-2.13
200705,12.52,-2.01
200706,12.63,-1.90
200707,11.39,-3.14
200708,12.56,-1.99
200709,13.28,-1.26
200710,10.60,-3.98
200711,10.77,-3.80
200712,11.84,-2.74
200801,13.45,-1.08
200802,13.76,-0.79
200803,13.80,-0.76
200804,12.56,-1.97
200805,13.43,-1.10
200806,13.54,-0.99
200807,13.53,-1.00
200808,12.58,-1.97
200809,11.20,-3.34
200810,12.00,-2.58
200811,12.71,-1.86
200812,12.47,-2.11
200901,11.17,-3.36
200902,11.26,-3.29
200903,11.55,-3.01
200904,12.68,-1.85
200905,12.23,-2.30
200906,12.21,-2.32
200907,11.74,-2.79
200908,11.16,-3.39
200909,11.44,-3.10
200910,11.06,-3.52
200911,10.72,-3.85
200912,10.44,-4.14
201001,11.61,-2.92
201002,11.65,-2.90
201003,12.79,-1.77
201004,13.35,-1.18
201005,13.24,-1.29
201006,13.26,-1.27
201007,13.31,-1.22
201008,14.59,0.04
201009,14.13,-0.41
201010,17.24,2.66
201011,18.00,3.43
201012,20.75,6.17
201101,18.78,4.25
201102,18.82,4.27
201103,18.30,3.74
201104,18.01,3.48
201105,19.90,5.37
201106,19.61,5.08
201107,20.46,5.93
201108,19.89,5.34
201109,20.98,6.44
201110,19.45,4.87
201111,18.74,4.17
201112,14.90,0.32
201201,15.43,0.90
201202,15.26,0.71
201203,14.80,0.24
201204,14.23,-0.30
201205,11.83,-2.70
201206,11.65,-2.88
201207,12.61,-1.92
201208,14.63,0.08
201209,14.68,0.14
201210,13.77,-0.81
201211,13.64,-0.93
201212,14.58,0.00
201301,15.06,0.53
201302,14.41,-0.14
201303,14.34,-0.22
201304,14.27,-0.26
201305,14.63,0.10
201306,14.64,0.11
201307,14.99,0.46
201308,14.68,0.13
201309,16.51,1.97
201310,16.13,1.55
201311,16.22,1.65
201312,15.68,1.10
201401,14.85,0.32
201402,14.56,0.01
201403,14.49,-0.07
201404,14.43,-0.10
201405,15.27,0.74
201406,15.25,0.72
201407,14.05,-0.48
201408,13.77,-0.78
201409,14.57,0.03
201410,13.84,-0.74
201411,13.72,-0.85
201412,13.86,-0.72
201501,14.29,-0.24
201502,14.81,0.26
201503,15.30,0.74
201504,15.41,0.88
201505,17.39,2.86
201506,18.39,3.86
201507,18.10,3.57
201508,17.21,2.66
201509,14.38,-0.16
201510,16.29,1.71
201511,16.78,2.21
201512,17.14,2.56
201601,18.03,3.50
201602,17.61,3.06
201603,17.40,2.84
201604,18.53,4.00
201605,15.89,1.36
201606,15.24,0.71
201607,14.77,0.24
201608,15.03,0.48
201609,15.17,0.63
201610,13.81,-0.77
201611,13.76,-0.81
201612,14.31,-0.27
201701,15.05,0.52
201702,15.61,1.06
201703,16.20,1.64
201704,15.16,0.63
201705,15.40,0.87
201706,15.06,0.53
201707,16.27,1.74
201708,16.87,2.32
201709,17.37,2.83
201710,16.78,2.20
201711,15.83,1.26
201712,14.02,-0.56
201801,12.87,-1.66
201802,12.61,-1.94
201803,12.82,-1.74
201804,12.57,-1.96
201805,12.27,-2.26
201806,12.26,-2.27
201807,11.98,-2.55
201808,11.08,-3.47
201809,9.53,-5.01
201810,12.90,-1.68
201811,13.43,-1.14
201812,13.89,-0.69
201901,14.03,-0.50
201902,15.88,1.33
201903,17.29,2.73
201904,18.32,3.79
201905,21.52,6.99
201906,21.98,7.45
201907,20.82,6.29
201908,19.82,5.27
201909,19.99,5.45
201910,16.60,2.02
201911,19.08,4.51
201912,20.09,5.51
202001,19.01,4.48
202002,17.24,2.69
202003,16.09,1.53
202004,15.52,0.99
202005,11.88,-2.65
202006,11.56,-2.97
202007,11.10,-3.43
202008,11.10,-3.45
202009,10.93,-3.61
202010,10.95,-3.63
202011,8.39,-6.18
202012,7.19,-7.39
202101,7.71,-6.82
202102,7.27,-7.28
202103,6.26,-8.30
202104,5.59,-8.94
202105,5.51,-9.02
202106,5.53,-9.00
202107,8.77,-5.76
202108,10.74,-3.81
202109,11.26,-3.28
202110,13.65,-0.93
202111,13.01,-1.56
202112,15.29,0.71
202201,14.47,-0.06
202202,14.53,-0.02
202203,14.35,-0.21
202204,14.39,-0.14
202205,14.35,-0.18
202206,14.25,-0.28
202207,12.28,-2.25
202208,12.81,-1.74
202209,13.61,-0.93
202210,12.38,-2.20
202211,14.33,-0.24
202212,12.89,-1.69
202301,15.99,1.46
202302,16.92,2.37
202303,19.97,5.41
202304,20.08,5.55
202305,20.60,6.07
202306,21.46,6.93
202307,20.09,5.56
202308,20.25,5.70
202309,20.91,6.37
202310,20.12,5.54
202311,19.03,4.46
202312,17.84,3.26
202401,16.46,1.93
202402,16.82,2.27
202403,15.09,0.53
