Juab County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,50.5,1.3
199002,50.8,1.6
199003,50.7,1.5
199004,50.6,1.4
199005,50.5,1.3
199006,50.7,1.5
199007,50.6,1.4
199008,50.6,1.4
199009,51.0,1.8
199010,51.0,1.8
199011,51.0,1.8
199012,50.2,1.0
199101,49.5,0.3
199102,50.2,1.0
199103,49.8,0.6
199104,49.2,0.0
199105,49.0,-0.2
199106,48.7,-0.5
199107,48.7,-0.5
199108,48.8,-0.4
199109,48.4,-0.8
199110,48.4,-0.8
199111,48.2,-1.0
199112,48.9,-0.3
199201,49.0,-0.2
199202,49.1,-0.1
199203,49.6,0.4
199204,50.4,1.2
199205,51.1,1.9
199206,51.3,2.1
199207,51.0,1.8
199208,51.0,1.8
199209,51.1,1.9
199210,51.3,2.1
199211,50.9,1.7
199212,50.8,1.6
199301,50.6,1.4
199302,49.8,0.6
199303,49.5,0.3
199304,48.8,-0.4
199305,48.7,-0.5
199306,48.3,-0.9
199307,48.1,-1.1
199308,47.8,-1.4
199309,47.7,-1.5
199310,47.3,-1.9
199311,47.3,-1.9
199312,47.6,-1.6
199401,48.4,-0.8
199402,48.8,-0.4
199403,48.9,-0.3
199404,49.1,-0.1
199405,49.2,0.0
199406,49.9,0.7
199407,50.5,1.3
199408,50.9,1.7
199409,51.2,2.0
199410,51.2,2.0
199411,51.1,1.9
199412,51.2,2.0
199501,51.1,1.9
199502,51.8,2.6
199503,51.6,2.4
199504,51.3,2.1
199505,50.6,1.4
199506,49.8,0.6
199507,49.4,0.2
199508,49.3,0.1
199509,49.1,-0.1
199510,49.2,0.0
199511,50.2,1.0
199512,50.4,1.2
199601,50.4,1.2
199602,49.8,0.6
199603,49.8,0.6
199604,50.0,0.8
199605,50.4,1.2
199606,51.2,2.0
199607,51.5,2.3
199608,51.4,2.2
199609,51.1,1.9
199610,51.1,1.9
199611,50.8,1.6
199612,50.8,1.6
