Juab County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,758,79
199002,758,79
199003,758,79
199004,758,79
199005,752,73
199006,807,128
199007,751,71
199008,767,86
199009,833,151
199010,833,151
199011,833,151
199012,833,151
199101,833,154
199102,833,154
199103,833,154
199104,827,148
199105,817,138
199106,759,80
199107,746,66
199108,797,116
199109,717,35
199110,717,35
199111,717,35
199112,717,35
199201,717,38
199202,717,38
199203,717,38
199204,728,49
199205,769,90
199206,794,115
199207,693,13
199208,679,-2
199209,699,17
199210,699,17
199211,699,17
199212,699,17
199301,699,20
199302,699,20
199303,699,20
199304,688,9
199305,676,-3
199306,613,-66
199307,540,-140
199308,446,-235
199309,422,-260
199310,422,-260
199311,422,-260
199312,422,-260
199401,422,-257
199402,422,-257
199403,422,-257
199404,422,-257
199405,425,-254
199406,568,-111
199407,778,98
199408,938,257
199409,990,308
199410,990,308
199411,990,308
199412,990,308
199501,990,311
199502,990,311
199503,990,311
199504,990,311
199505,958,279
199506,799,120
199507,667,-13
199508,613,-68
199509,593,-89
199510,593,-89
199511,593,-89
199512,593,-89
199601,593,-86
199602,593,-86
199603,593,-86
199604,593,-86
199605,607,-72
199606,743,64
199607,860,180
199608,840,159
199609,798,116
199610,798,116
199611,798,116
199612,798,116
199701,798,119
199702,798,119
199703,798,119
199704,798,119
199705,810,131
199706,756,77
199707,623,-57
199708,640,-41
199709,671,-11
199710,671,-11
199711,671,-11
199712,671,-11
199801,671,-8
199802,671,-8
199803,671,-8
199804,671,-8
199805,653,-26
199806,572,-107
199807,695,15
199808,698,17
199809,715,33
199810,715,33
199811,715,33
199812,715,33
199901,715,36
199902,715,36
199903,715,36
199904,715,36
199905,714,35
199906,780,101
199907,756,76
199908,714,33
199909,671,-11
199910,671,-11
199911,671,-11
199912,671,-11
200001,671,-8
200002,671,-8
200003,671,-8
200004,677,-2
200005,701,22
200006,755,76
200007,820,140
200008,911,230
200009,931,249
200010,931,249
200011,931,249
200012,931,249
200101,931,252
200102,931,252
200103,931,252
200104,925,246
200105,936,257
200106,931,252
200107,893,213
200108,906,225
200109,956,274
200110,956,274
200111,956,274
200112,956,274
200201,956,277
200202,956,277
200203,956,277
200204,956,277
