Juab County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5993,-423
199002,5900,-515
199003,5947,-469
199004,5960,-454
199005,6005,-408
199006,5961,-452
199007,5961,-452
199008,5961,-452
199009,5899,-513
199010,5886,-525
199011,5908,-506
199012,6208,-206
199101,6438,22
199102,6212,-203
199103,6358,-58
199104,6572,158
199105,6648,235
199106,6696,283
199107,6696,283
199108,6696,283
199109,6779,367
199110,6776,365
199111,6821,407
199112,6594,180
199201,6534,118
199202,6504,89
199203,6307,-109
199204,6024,-390
199205,5808,-605
199206,5784,-629
199207,5784,-629
199208,5784,-629
199209,5756,-656
199210,5678,-733
199211,5813,-601
199212,5871,-543
199301,5933,-483
199302,6224,-191
199303,6322,-94
199304,6551,137
199305,6584,171
199306,6655,242
199307,6667,254
199308,6675,262
199309,6710,298
199310,6850,439
199311,6844,430
199312,6739,325
199401,6446,30
199402,6313,-102
199403,6247,-169
199404,6175,-239
199405,6166,-247
199406,6049,-364
199407,6037,-376
199408,6029,-384
199409,5965,-447
199410,5979,-432
199411,6024,-390
199412,5969,-445
199501,6008,-408
199502,5785,-630
199503,5866,-550
199504,5977,-437
199505,6194,-219
199506,6341,-72
199507,6341,-72
199508,6341,-72
199509,6361,-51
199510,6338,-73
199511,5975,-439
199512,5902,-512
199601,5917,-499
199602,6111,-304
199603,6097,-319
199604,6035,-379
199605,5899,-514
199606,5761,-652
199607,5761,-652
199608,5761,-652
199609,5827,-585
199610,5821,-590
199611,5942,-472
199612,5957,-457
199701,6059,-357
199702,6113,-302
199703,6061,-355
199704,6152,-262
199705,6090,-323
199706,6125,-288
199707,6125,-288
199708,6125,-288
199709,6072,-340
199710,6070,-341
199711,6063,-351
199712,6243,-171
199801,6057,-359
199802,5993,-422
199803,6088,-328
199804,6070,-344
199805,6191,-222
199806,6290,-123
199807,6290,-123
199808,6290,-123
199809,6270,-142
199810,6316,-95
199811,6304,-110
199812,6297,-117
199901,6329,-87
199902,6275,-140
199903,6192,-224
199904,6252,-162
199905,6266,-147
199906,6180,-233
199907,6180,-233
199908,6180,-233
199909,6241,-171
199910,6111,-300
199911,5979,-435
199912,5888,-526
200001,5852,-564
200002,5781,-634
200003,5855,-561
200004,5582,-832
200005,5430,-983
200006,5389,-1024
200007,5389,-1024
200008,5389,-1024
200009,5355,-1057
200010,5428,-983
200011,5839,-575
200012,5799,-615
200101,6022,-394
200102,6148,-267
200103,6047,-369
200104,6163,-251
200105,6136,-277
200106,6139,-274
200107,6139,-274
200108,6139,-274
200109,6088,-324
200110,5995,-416
200111,5698,-716
200112,5869,-545
200201,5858,-558
200202,5983,-432
200203,6178,-238
200204,6109,-305
200205,6200,-213
200206,6193,-220
200207,6193,-220
200208,6193,-220
200209,6253,-159
200210,6439,28
200211,6568,154
200212,6377,-37
200301,6086,-330
200302,5996,-419
200303,5838,-578
200304,5930,-484
200305,5900,-513
200306,5919,-494
200307,5919,-494
200308,5919,-494
200309,5910,-502
200310,5656,-755
200311,5693,-721
200312,5666,-748
200401,6068,-348
200402,6171,-244
200403,6032,-384
200404,5956,-458
200405,5950,-463
200406,5942,-471
200407,5942,-471
200408,5948,-465
200409,5965,-447
