Juab County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,64.2,1.9
199002,64.4,2.1
199003,64.1,1.8
199004,64.0,1.7
199005,63.9,1.6
199006,64.2,1.9
199007,64.0,1.7
199008,64.0,1.7
199009,64.3,2.0
199010,64.4,2.1
199011,64.2,1.9
199012,63.4,1.1
199101,62.8,0.5
199102,63.6,1.3
199103,63.2,0.9
199104,62.6,0.3
199105,62.3,0.0
199106,61.9,-0.4
199107,61.9,-0.4
199108,61.9,-0.4
199109,61.4,-0.9
199110,61.5,-0.8
199111,61.2,-1.1
199112,61.6,-0.7
199201,61.7,-0.6
199202,61.6,-0.7
199203,62.1,-0.2
199204,63.1,0.8
199205,64.0,1.7
199206,64.2,1.9
199207,63.9,1.6
199208,63.9,1.6
199209,64.2,1.9
199210,64.4,2.1
199211,64.1,1.8
199212,64.0,1.7
199301,63.7,1.4
199302,62.7,0.4
199303,62.4,0.1
199304,61.6,-0.7
199305,61.4,-0.9
199306,61.0,-1.3
199307,60.9,-1.4
199308,60.6,-1.7
199309,60.5,-1.8
199310,59.9,-2.4
199311,60.1,-2.2
199312,60.3,-2.0
199401,61.2,-1.1
199402,61.8,-0.5
199403,62.2,-0.1
199404,62.4,0.1
199405,62.5,0.2
199406,63.3,1.0
199407,64.0,1.7
199408,64.4,2.1
199409,64.7,2.4
199410,64.6,2.3
199411,64.3,2.0
199412,64.4,2.1
199501,64.0,1.7
199502,64.9,2.6
199503,64.5,2.2
199504,64.3,2.0
199505,63.3,1.0
199506,62.2,-0.1
199507,61.8,-0.5
199508,61.7,-0.6
199509,61.6,-0.7
199510,62.1,-0.2
199511,63.4,1.1
199512,63.7,1.4
199601,63.9,1.6
199602,63.2,0.9
199603,63.3,1.0
199604,63.6,1.3
199605,64.3,2.0
199606,65.3,3.0
199607,65.6,3.3
199608,65.7,3.4
199609,65.3,3.0
199610,65.1,2.8
199611,64.5,2.2
199612,64.4,2.1
199701,63.9,1.6
199702,63.6,1.3
199703,63.9,1.6
199704,63.6,1.3
199705,63.8,1.5
199706,63.4,1.1
199707,63.0,0.7
199708,62.8,0.5
199709,62.9,0.6
199710,63.0,0.7
199711,63.0,0.7
199712,62.6,0.3
199801,63.2,0.9
199802,63.2,0.9
199803,62.8,0.5
199804,62.7,0.4
199805,62.2,-0.1
199806,61.7,-0.6
199807,62.1,-0.2
199808,62.2,-0.1
199809,62.3,0.0
199810,62.0,-0.3
199811,62.0,-0.3
199812,62.2,-0.1
199901,62.1,-0.2
199902,62.6,0.3
199903,63.0,0.7
199904,62.8,0.5
199905,62.8,0.5
199906,63.2,0.9
199907,63.1,0.8
199908,62.9,0.6
199909,62.8,0.5
199910,63.6,1.3
199911,64.3,2.0
199912,64.6,2.3
200001,64.7,2.4
200002,64.7,2.4
200003,64.3,2.0
200004,65.4,3.1
200005,66.0,3.7
200006,66.3,4.0
200007,66.6,4.3
200008,66.9,4.6
200009,67.0,4.7
200010,66.3,4.0
200011,64.7,2.4
200012,64.7,2.4
200101,64.2,1.9
200102,63.8,1.5
200103,64.0,1.7
200104,63.5,1.2
200105,63.7,1.4
200106,63.7,1.4
200107,63.6,1.3
200108,63.7,1.4
200109,64.1,1.8
200110,64.7,2.4
200111,65.6,3.3
200112,65.0,2.7
200201,65.1,2.8
200202,65.0,2.7
200203,64.6,2.3
200204,64.9,2.6
200205,64.6,2.3
200206,64.6,2.3
200207,64.9,2.6
200208,64.7,2.4
200209,64.1,1.8
200210,63.4,1.1
200211,63.1,0.8
200212,63.7,1.4
200301,64.6,2.3
200302,64.7,2.4
200303,65.0,2.7
200304,64.6,2.3
200305,64.6,2.3
200306,64.3,2.0
200307,64.4,2.1
200308,64.5,2.2
200309,64.7,2.4
200310,65.7,3.4
200311,65.4,3.1
200312,65.4,3.1
200401,64.1,1.8
200402,63.6,1.3
200403,64.2,1.9
200404,64.4,2.1
200405,64.4,2.1
200406,64.5,2.2
200407,64.0,1.7
200408,63.6,1.3
200409,63.5,1.2
200410,62.6,0.3
200411,62.8,0.5
200412,62.7,0.4
200501,63.5,1.2
200502,64.1,1.8
200503,63.4,1.1
200504,63.1,0.8
200505,62.9,0.6
200506,62.4,0.1
200507,62.7,0.4
200508,62.9,0.6
200509,62.9,0.6
200510,63.1,0.8
200511,63.6,1.3
200512,63.6,1.3
200601,63.7,1.4
200602,63.7,1.4
200603,63.4,1.1
200604,63.7,1.4
200605,64.1,1.8
200606,64.8,2.5
200607,64.8,2.5
200608,64.9,2.6
200609,64.7,2.4
