Juab County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,36.8,0.7
199002,37.2,1.1
199003,37.1,1.0
199004,37.2,1.1
199005,37.1,1.0
199006,37.3,1.2
199007,37.2,1.1
199008,37.2,1.1
199009,37.6,1.5
199010,37.6,1.5
199011,37.7,1.6
199012,36.9,0.8
199101,36.3,0.2
199102,36.8,0.7
199103,36.4,0.3
199104,35.8,-0.3
199105,35.7,-0.4
199106,35.5,-0.6
199107,35.4,-0.7
199108,35.7,-0.4
199109,35.2,-0.9
199110,35.2,-0.9
199111,35.3,-0.8
199112,36.1,0.0
199201,36.3,0.2
199202,36.6,0.5
199203,37.1,1.0
199204,37.8,1.7
199205,38.3,2.2
199206,38.3,2.2
199207,38.1,2.0
199208,37.9,1.8
199209,38.0,1.9
199210,38.2,2.1
199211,37.8,1.7
199212,37.5,1.4
199301,37.5,1.4
199302,36.7,0.6
199303,36.5,0.4
199304,36.0,-0.1
199305,35.9,-0.2
199306,35.6,-0.5
199307,35.3,-0.8
199308,35.1,-1.0
199309,34.8,-1.3
199310,34.6,-1.5
199311,34.5,-1.6
199312,34.8,-1.3
199401,35.5,-0.6
199402,35.7,-0.4
199403,35.6,-0.5
199404,35.9,-0.2
199405,35.9,-0.2
199406,36.4,0.3
199407,37.0,0.9
199408,37.4,1.3
199409,37.8,1.7
199410,37.8,1.7
199411,37.9,1.8
199412,38.1,2.0
199501,38.2,2.1
199502,38.7,2.6
199503,38.6,2.5
199504,38.3,2.2
199505,37.9,1.8
199506,37.3,1.2
199507,36.9,0.8
199508,36.8,0.7
199509,36.6,0.5
199510,36.3,0.2
199511,37.0,0.9
199512,37.1,1.0
199601,36.8,0.7
199602,36.4,0.3
199603,36.3,0.2
199604,36.3,0.2
199605,36.5,0.4
199606,37.0,0.9
199607,37.3,1.2
199608,37.1,1.0
199609,36.9,0.8
199610,37.2,1.1
199611,37.1,1.0
199612,37.1,1.0
199701,37.0,0.9
199702,37.0,0.9
199703,37.0,0.9
199704,36.8,0.7
199705,37.0,0.9
199706,36.9,0.8
199707,36.6,0.5
199708,36.9,0.8
199709,37.2,1.1
199710,37.2,1.1
199711,37.2,1.1
199712,36.7,0.6
199801,37.1,1.0
199802,37.4,1.3
199803,37.3,1.2
199804,37.5,1.4
199805,37.2,1.1
199806,36.7,0.6
199807,37.1,1.0
199808,37.0,0.9
199809,37.1,1.0
199810,37.1,1.0
199811,37.2,1.1
199812,37.0,0.9
199901,37.0,0.9
199902,36.8,0.7
199903,36.8,0.7
199904,36.7,0.6
199905,36.7,0.6
199906,37.0,0.9
199907,37.0,0.9
199908,37.0,0.9
199909,36.5,0.4
199910,36.4,0.3
199911,36.4,0.3
199912,36.6,0.5
200001,36.8,0.7
200002,37.1,1.0
200003,37.1,1.0
200004,37.6,1.5
200005,38.0,1.9
200006,38.1,2.0
200007,38.2,2.1
200008,38.4,2.3
200009,38.6,2.5
200010,38.9,2.8
200011,38.2,2.1
200012,38.4,2.3
200101,37.8,1.7
200102,37.4,1.3
200103,37.7,1.6
200104,37.5,1.4
200105,37.6,1.5
200106,37.5,1.4
200107,37.4,1.3
200108,37.3,1.2
200109,37.5,1.4
200110,37.5,1.4
200111,38.2,2.1
200112,37.9,1.8
200201,37.9,1.8
200202,37.3,1.2
200203,36.6,0.5
200204,36.6,0.5
200205,36.3,0.2
200206,36.4,0.3
200207,36.6,0.5
200208,36.2,0.1
200209,36.1,0.0
200210,35.8,-0.3
200211,35.4,-0.7
200212,35.8,-0.3
200301,36.5,0.4
200302,37.0,0.9
200303,37.5,1.4
200304,37.4,1.3
200305,37.6,1.5
200306,37.6,1.5
200307,37.6,1.5
200308,38.0,1.9
200309,37.9,1.8
200310,38.3,2.2
200311,38.4,2.3
200312,38.6,2.5
200401,37.7,1.6
200402,37.5,1.4
200403,37.8,1.7
200404,38.0,1.9
200405,38.0,1.9
200406,38.0,1.9
200407,37.8,1.7
200408,37.4,1.3
200409,37.4,1.3
200410,37.4,1.3
200411,37.5,1.4
200412,37.4,1.3
200501,38.3,2.2
200502,38.8,2.7
200503,38.5,2.4
200504,38.2,2.1
200505,38.2,2.1
200506,37.9,1.8
200507,38.0,1.9
200508,38.1,2.0
200509,38.1,2.0
200510,37.9,1.8
200511,38.0,1.9
200512,37.8,1.7
200601,37.4,1.3
200602,36.8,0.7
200603,36.7,0.6
200604,36.9,0.8
200605,37.0,0.9
200606,37.4,1.3
200607,37.5,1.4
200608,37.5,1.4
200609,37.4,1.3
200610,37.3,1.2
200611,37.2,1.1
200612,36.9,0.8
200701,35.8,-0.3
200702,36.2,0.1
200703,36.4,0.3
200704,36.3,0.2
200705,36.3,0.2
200706,36.2,0.1
200707,36.2,0.1
200708,36.5,0.4
200709,36.8,0.7
200710,36.7,0.6
200711,36.7,0.6
200712,36.7,0.6
200801,37.3,1.2
200802,37.2,1.1
200803,36.8,0.7
200804,36.3,0.2
200805,35.9,-0.2
200806,35.6,-0.5
200807,35.4,-0.7
200808,35.2,-0.9
200809,35.1,-1.0
200810,35.2,-0.9
200811,35.5,-0.6
200812,35.6,-0.5
200901,35.9,-0.2
200902,36.1,0.0
200903,36.3,0.2
200904,36.6,0.5
200905,37.0,0.9
200906,36.9,0.8
200907,36.8,0.7
200908,36.6,0.5
200909,36.9,0.8
200910,36.7,0.6
200911,36.3,0.2
200912,35.7,-0.4
201001,35.8,-0.3
201002,35.8,-0.3
201003,35.8,-0.3
201004,35.7,-0.4
201005,35.1,-1.0
201006,35.3,-0.8
201007,35.3,-0.8
201008,35.5,-0.6
201009,35.2,-0.9
201010,35.7,-0.4
201011,35.7,-0.4
