Juab County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.53,-3.87
199002,-3.24,-3.70
199003,-3.17,-3.62
199004,-3.12,-3.62
199005,-3.44,-3.98
199006,-3.59,-4.16
199007,-4.03,-4.62
199008,-4.26,-4.90
199009,-4.03,-4.60
199010,-3.60,-4.10
199011,-3.19,-3.54
199012,-3.14,-3.42
199101,-3.19,-3.53
199102,-3.58,-4.04
199103,-3.44,-3.89
199104,0.21,-0.29
199105,1.09,0.55
199106,1.00,0.43
199107,0.32,-0.27
199108,0.59,-0.05
199109,1.15,0.58
199110,1.17,0.67
199111,1.16,0.81
199112,-0.36,-0.64
199201,-0.63,-0.97
199202,-0.78,-1.24
199203,-1.06,-1.51
199204,-2.26,-2.76
199205,-2.97,-3.51
199206,-3.60,-4.17
199207,-3.46,-4.05
199208,-3.68,-4.32
199209,-3.60,-4.17
199210,0.00,-0.50
199211,0.05,-0.30
199212,0.19,-0.09
199301,1.59,1.25
199302,2.54,2.08
199303,2.71,2.26
199304,2.15,1.65
199305,2.36,1.82
199306,2.70,2.13
199307,2.85,2.26
199308,2.57,1.93
199309,2.18,1.61
199310,2.52,2.02
199311,2.40,2.05
199312,-0.36,-0.64
199401,-0.78,-1.12
199402,-0.39,-0.85
199403,-0.74,-1.19
199404,-0.23,-0.73
199405,-0.48,-1.02
199406,-1.25,-1.82
199407,-1.91,-2.50
199408,0.17,-0.47
199409,0.17,-0.40
199410,0.98,0.48
199411,1.59,1.24
199412,1.37,1.09
199501,1.75,1.41
199502,1.18,0.72
199503,1.30,0.85
199504,2.24,1.74
199505,4.00,3.46
199506,5.38,4.81
199507,6.97,6.38
199508,6.78,6.14
199509,5.93,5.36
199510,4.63,4.13
199511,3.40,3.05
199512,2.86,2.58
199601,2.58,2.24
199602,2.91,2.45
199603,3.15,2.70
199604,2.69,2.19
199605,2.72,2.18
199606,2.17,1.60
199607,1.63,1.04
199608,0.61,-0.03
199609,0.71,0.14
199610,0.74,0.24
199611,1.18,0.83
199612,1.26,0.98
199701,2.56,2.22
199702,3.08,2.62
199703,2.10,1.65
199704,2.43,1.93
199705,2.52,1.98
199706,3.52,2.95
199707,4.00,3.41
199708,4.25,3.61
199709,4.97,4.40
199710,4.36,3.86
199711,3.95,3.60
199712,3.32,3.04
199801,3.12,2.78
199802,4.26,3.80
199803,4.63,4.18
199804,4.97,4.47
199805,4.76,4.22
199806,6.22,5.65
199807,7.99,7.40
199808,7.61,6.97
199809,7.21,6.64
199810,7.36,6.86
199811,6.45,6.10
199812,5.47,5.19
199901,5.03,4.69
199902,4.15,3.69
199903,2.83,2.38
199904,3.86,3.36
199905,4.10,3.56
199906,4.23,3.66
199907,4.25,3.66
199908,4.26,3.62
199909,-0.28,-0.85
199910,-1.06,-1.56
199911,-1.95,-2.30
199912,-2.30,-2.58
200001,-1.94,-2.28
200002,-0.97,-1.43
200003,-1.12,-1.57
200004,-1.57,-2.07
200005,-1.40,-1.94
200006,-1.75,-2.32
200007,-2.46,-3.05
200008,0.21,-0.43
200009,0.31,-0.26
200010,1.54,1.04
200011,-0.03,-0.38
200012,-0.35,-0.63
200101,-0.51,-0.85
200102,-0.63,-1.09
200103,-0.55,-1.00
200104,-0.24,-0.74
200105,-0.90,-1.44
200106,-1.50,-2.07
200107,-1.79,-2.38
200108,-1.89,-2.53
200109,-2.31,-2.88
200110,-2.68,-3.18
200111,-2.09,-2.44
200112,-1.89,-2.17
200201,-2.22,-2.56
200202,-2.56,-3.02
200203,-2.70,-3.15
200204,-2.61,-3.11
200205,-3.24,-3.78
200206,-4.05,-4.62
200207,-4.51,-5.10
200208,-5.01,-5.65
200209,-4.03,-4.60
200210,-3.25,-3.75
200211,-2.86,-3.21
200212,-2.95,-3.23
200301,-3.39,-3.73
200302,-3.05,-3.51
200303,-3.14,-3.59
200304,-2.61,-3.11
200305,-2.48,-3.02
200306,-2.75,-3.32
200307,-3.40,-3.99
200308,-3.25,-3.89
200309,-3.29,-3.86
200310,-3.83,-4.33
200311,0.39,0.04
200312,1.06,0.78
200401,0.71,0.37
200402,1.39,0.93
200403,-0.80,-1.25
200404,-0.59,-1.09
200405,-1.06,-1.60
200406,-1.17,-1.74
200407,-1.30,-1.89
200408,-1.30,-1.94
200409,-1.32,-1.89
200410,1.59,1.09
200411,1.82,1.47
200412,1.71,1.43
200501,2.39,2.05
200502,2.63,2.17
200503,3.19,2.74
200504,3.96,3.46
200505,5.08,4.54
200506,5.65,5.08
200507,6.24,5.65
200508,5.45,4.81
200509,4.87,4.30
200510,4.79,4.29
200511,-0.63,-0.98
200512,-0.78,-1.06
200601,-0.45,-0.79
200602,-0.70,-1.16
200603,0.56,0.11
200604,0.64,0.14
200605,-0.53,-1.07
200606,-1.11,-1.68
200607,-1.30,-1.89
200608,-1.80,-2.44
200609,-1.24,-1.81
200610,-0.63,-1.13
200611,-1.01,-1.36
200612,-1.23,-1.51
200701,-1.66,-2.00
200702,-1.67,-2.13
200703,-2.19,-2.64
200704,-2.64,-3.14
200705,-3.49,-4.03
200706,-4.22,-4.79
200707,-4.76,-5.35
200708,-4.78,-5.42
200709,-4.06,-4.63
200710,-3.63,-4.13
200711,-4.00,-4.35
200712,-2.96,-3.24
200801,-2.61,-2.95
200802,-2.04,-2.50
200803,-2.07,-2.52
200804,-2.26,-2.76
200805,-2.00,-2.54
200806,-1.76,-2.33
200807,-2.02,-2.61
200808,-2.17,-2.81
200809,-2.12,-2.69
200810,-1.95,-2.45
200811,-1.91,-2.26
200812,-1.76,-2.04
200901,-1.28,-1.62
200902,-1.28,-1.74
200903,-1.66,-2.11
200904,0.57,0.07
200905,0.26,-0.28
200906,0.92,0.35
200907,-0.19,-0.78
200908,-0.87,-1.51
200909,-1.15,-1.72
200910,-1.01,-1.51
200911,-1.55,-1.90
200912,-1.03,-1.31
201001,-1.02,-1.36
201002,-1.22,-1.68
201003,-1.28,-1.73
201004,0.27,-0.23
201005,1.31,0.77
201006,1.54,0.97
201007,-0.10,-0.69
201008,-0.45,-1.09
201009,-1.14,-1.71
201010,0.38,-0.12
201011,0.97,0.62
201012,2.79,2.51
201101,2.41,2.07
201102,2.52,2.06
201103,2.32,1.87
201104,3.14,2.64
201105,5.45,4.91
201106,5.99,5.42
201107,7.36,6.77
201108,6.77,6.13
201109,-0.19,-0.76
201110,-0.16,-0.66
201111,-0.19,-0.54
201112,-0.73,-1.01
201201,-0.73,-1.07
201202,-0.45,-0.91
201203,-1.09,-1.54
201204,-1.76,-2.26
201205,-2.72,-3.26
201206,-3.68,-4.25
201207,-3.59,-4.18
201208,-3.98,-4.62
201209,-3.31,-3.88
201210,-3.23,-3.73
201211,-3.09,-3.44
201212,-1.79,-2.07
201301,-1.55,-1.89
201302,-1.55,-2.01
201303,-2.20,-2.65
201304,-1.76,-2.26
201305,-1.77,-2.31
201306,-2.37,-2.94
