Juab County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.53,-3.96
199002,-3.24,-3.74
199003,-3.17,-3.67
199004,-3.12,-3.67
199005,-3.44,-4.05
199006,-3.59,-4.22
199007,-4.03,-4.71
199008,-4.26,-4.96
199009,-4.03,-4.69
199010,-3.60,-4.31
199011,-3.19,-3.78
199012,-3.14,-3.57
199101,-3.19,-3.62
199102,-3.58,-4.08
199103,-3.44,-3.94
199104,-2.87,-3.42
199105,-1.68,-2.29
199106,-1.49,-2.12
199107,-1.91,-2.59
199108,-1.40,-2.10
199109,-0.64,-1.30
199110,1.17,0.46
199111,1.16,0.57
199112,0.67,0.24
199201,-0.63,-1.06
199202,-0.78,-1.28
199203,-1.06,-1.56
199204,-2.26,-2.81
199205,-2.97,-3.58
199206,-3.60,-4.23
199207,-3.46,-4.14
199208,-3.68,-4.38
199209,-3.60,-4.26
199210,-3.23,-3.94
199211,-2.84,-3.43
199212,-2.40,-2.83
199301,-0.74,-1.17
199302,2.54,2.04
199303,2.71,2.21
199304,2.15,1.60
199305,2.36,1.75
199306,2.70,2.07
199307,2.85,2.17
199308,2.57,1.87
199309,2.18,1.52
199310,2.52,1.81
199311,2.40,1.81
199312,1.79,1.36
199401,1.15,0.72
199402,1.34,0.84
199403,0.81,0.31
199404,1.17,0.62
199405,0.77,0.16
199406,-1.25,-1.88
199407,-1.91,-2.59
199408,-1.54,-2.24
199409,-1.37,-2.03
199410,0.98,0.27
199411,1.59,1.00
199412,1.37,0.94
199501,1.75,1.32
199502,1.18,0.68
199503,1.30,0.80
199504,2.24,1.69
199505,4.00,3.39
199506,5.38,4.75
199507,6.97,6.29
199508,6.78,6.08
199509,5.93,5.27
199510,4.63,3.92
199511,3.40,2.81
199512,2.86,2.43
199601,2.58,2.15
199602,2.91,2.41
199603,3.15,2.65
199604,2.69,2.14
199605,2.72,2.11
199606,2.17,1.54
199607,1.63,0.95
199608,0.61,-0.09
199609,0.71,0.05
199610,0.74,0.03
199611,1.18,0.59
199612,1.26,0.83
199701,2.56,2.13
199702,3.08,2.58
199703,2.10,1.60
199704,2.43,1.88
199705,2.52,1.91
199706,3.52,2.89
199707,4.00,3.32
199708,4.25,3.55
199709,4.97,4.31
199710,4.36,3.65
199711,3.95,3.36
199712,3.32,2.89
199801,3.12,2.69
199802,4.26,3.76
199803,4.63,4.13
199804,4.97,4.42
199805,4.76,4.15
199806,6.22,5.59
199807,7.99,7.31
199808,7.61,6.91
199809,7.21,6.55
199810,7.36,6.65
199811,6.45,5.86
199812,5.47,5.04
199901,5.03,4.60
199902,4.15,3.65
199903,2.83,2.33
199904,3.86,3.31
199905,4.10,3.49
199906,4.23,3.60
199907,4.25,3.57
199908,4.26,3.56
199909,3.54,2.88
199910,2.36,1.65
199911,1.12,0.53
199912,-2.30,-2.73
200001,-1.94,-2.37
200002,-0.97,-1.47
200003,-1.12,-1.62
200004,-1.57,-2.12
200005,-1.40,-2.01
200006,-1.75,-2.38
200007,-2.46,-3.14
200008,-1.99,-2.69
200009,-1.67,-2.33
200010,1.54,0.83
200011,1.35,0.76
200012,0.89,0.46
200101,0.60,0.17
200102,-0.63,-1.13
200103,-0.55,-1.05
200104,-0.24,-0.79
200105,-0.90,-1.51
200106,-1.50,-2.13
200107,-1.79,-2.47
200108,-1.89,-2.59
200109,-2.31,-2.97
200110,-2.68,-3.39
200111,-2.09,-2.68
200112,-1.89,-2.32
200201,-2.22,-2.65
200202,-2.56,-3.06
200203,-2.70,-3.20
200204,-2.61,-3.16
200205,-3.24,-3.85
200206,-4.05,-4.68
200207,-4.51,-5.19
200208,-5.01,-5.71
200209,-4.03,-4.69
200210,-3.25,-3.96
200211,-2.86,-3.45
200212,-2.95,-3.38
200301,-3.39,-3.82
200302,-3.05,-3.55
200303,-3.14,-3.64
200304,-2.61,-3.16
200305,-2.48,-3.09
200306,-2.75,-3.38
200307,-3.40,-4.08
200308,-3.25,-3.95
200309,-3.29,-3.95
200310,-3.83,-4.54
200311,-3.05,-3.64
200312,-2.03,-2.46
200401,-2.06,-2.49
200402,-1.10,-1.60
200403,-1.79,-2.29
200404,-1.47,-2.02
200405,-1.85,-2.46
200406,-1.88,-2.51
200407,-1.94,-2.62
200408,-1.87,-2.57
200409,-1.83,-2.49
200410,1.59,0.88
