Juab County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.53,-3.88
199002,-3.24,-3.69
199003,-3.17,-3.62
199004,-3.12,-3.60
199005,-3.44,-4.04
199006,-3.59,-4.17
199007,-4.03,-4.63
199008,-4.26,-4.87
199009,-4.03,-4.65
199010,-3.53,-4.11
199011,-3.01,-3.48
199012,-3.14,-3.47
199101,-3.19,-3.54
199102,-3.58,-4.03
199103,-3.44,-3.89
199104,-2.56,-3.04
199105,-0.24,-0.84
199106,-0.05,-0.63
199107,-1.12,-1.72
199108,-0.27,-0.88
199109,1.06,0.44
199110,1.17,0.59
199111,1.16,0.69
199112,-0.12,-0.45
199201,-0.63,-0.98
199202,-0.78,-1.23
199203,-1.06,-1.51
199204,-2.26,-2.74
199205,-2.97,-3.57
199206,-3.60,-4.18
199207,-3.46,-4.06
199208,-3.68,-4.29
199209,-3.60,-4.22
199210,-3.17,-3.75
199211,-2.66,-3.13
199212,-1.99,-2.32
199301,1.36,1.01
199302,2.54,2.09
199303,2.71,2.26
199304,1.73,1.25
199305,2.36,1.76
199306,2.70,2.12
199307,2.85,2.25
199308,2.53,1.92
199309,1.93,1.31
199310,2.52,1.94
199311,2.40,1.93
199312,1.25,0.92
199401,-0.01,-0.36
199402,0.55,0.10
199403,-0.44,-0.89
199404,0.42,-0.06
199405,-0.26,-0.86
199406,-1.25,-1.83
199407,-1.91,-2.51
199408,-1.23,-1.84
199409,-0.98,-1.60
199410,0.98,0.40
199411,1.59,1.12
199412,1.21,0.88
199501,1.75,1.40
199502,0.54,0.09
199503,0.96,0.51
199504,2.24,1.76
199505,4.00,3.40
199506,5.38,4.80
199507,6.97,6.37
199508,6.78,6.17
199509,5.71,5.09
199510,3.62,3.04
199511,1.54,1.07
199512,0.83,0.50
199601,0.62,0.27
199602,1.55,1.10
199603,2.28,1.83
199604,1.69,1.21
199605,1.92,1.32
199606,1.11,0.53
199607,0.33,-0.27
199608,-1.31,-1.92
199609,-0.94,-1.56
199610,-0.73,-1.31
199611,0.12,-0.35
199612,0.37,0.04
199701,2.20,1.85
199702,3.08,2.63
199703,1.23,0.78
199704,2.17,1.69
199705,2.52,1.92
199706,3.52,2.94
199707,4.00,3.40
199708,4.25,3.64
199709,4.97,4.35
199710,4.20,3.62
199711,3.76,3.29
199712,2.84,2.51
199801,2.75,2.40
199802,4.26,3.81
199803,4.63,4.18
199804,4.97,4.49
199805,4.76,4.16
199806,6.22,5.64
199807,7.99,7.39
199808,7.61,7.00
199809,7.21,6.59
199810,7.36,6.78
199811,6.22,5.75
199812,4.86,4.53
199901,4.50,4.15
199902,3.20,2.75
199903,0.91,0.46
199904,3.28,2.80
199905,4.10,3.50
199906,4.23,3.65
199907,4.25,3.65
199908,4.26,3.65
199909,3.16,2.54
199910,1.00,0.42
199911,-1.33,-1.80
199912,-2.30,-2.63
200001,-1.71,-2.06
200002,0.32,-0.13
200003,-0.15,-0.60
200004,-1.24,-1.72
200005,-0.99,-1.59
200006,-1.75,-2.33
200007,-2.46,-3.06
200008,-1.65,-2.26
200009,-1.11,-1.73
200010,1.54,0.96
200011,1.23,0.76
200012,0.19,-0.14
200101,-0.44,-0.79
200102,-0.63,-1.08
200103,-0.55,-1.00
200104,0.26,-0.22
200105,-0.90,-1.50
200106,-1.50,-2.08
200107,-1.79,-2.39
200108,-1.89,-2.50
200109,-2.31,-2.93
200110,-2.68,-3.26
200111,-1.64,-2.11
200112,-1.41,-1.74
200201,-2.22,-2.57
200202,-2.56,-3.01
