Juab County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.39,-1.59
199002,-0.23,-0.49
199003,-0.78,-0.91
199004,-0.84,-0.99
199005,-1.93,-2.27
199006,-1.52,-1.71
199007,-2.43,-2.78
199008,-1.93,-2.27
199009,-0.62,-0.84
199010,0.04,-0.11
199011,0.13,0.21
199012,-0.85,-0.74
199101,-1.10,-1.30
199102,-2.18,-2.44
199103,-0.68,-0.81
199104,0.64,0.49
199105,2.70,2.36
199106,0.06,-0.13
199107,-1.74,-2.09
199108,0.93,0.59
199109,1.85,1.63
199110,0.42,0.27
199111,0.32,0.40
199112,-1.09,-0.98
199201,-0.92,-1.12
199202,-0.64,-0.90
199203,-1.09,-1.22
199204,-3.92,-4.07
199205,-2.82,-3.16
199206,-2.81,-3.00
199207,-0.68,-1.03
199208,-1.73,-2.07
199209,-0.89,-1.11
199210,0.00,-0.15
199211,0.16,0.24
199212,0.44,0.55
199301,4.24,4.04
199302,3.34,3.08
199303,1.32,1.19
199304,-0.85,-1.00
199305,1.28,0.94
199306,1.76,1.57
199307,1.28,0.93
199308,0.05,-0.29
199309,-0.37,-0.59
199310,1.67,1.52
199311,0.43,0.51
199312,-1.09,-0.98
199401,-1.36,-1.56
199402,0.91,0.65
199403,-1.16,-1.29
199404,1.31,1.16
199405,-0.82,-1.16
199406,-2.47,-2.66
199407,-2.37,-2.72
199408,0.52,0.18
199409,0.03,-0.19
199410,2.50,2.35
199411,2.13,2.21
199412,-0.16,-0.05
199501,1.55,1.35
199502,-1.16,-1.42
199503,0.73,0.60
199504,3.22,3.07
199505,5.97,5.63
199506,5.38,5.19
199507,6.41,6.06
199508,1.60,1.26
199509,-0.46,-0.68
199510,-2.05,-2.20
199511,-2.28,-2.20
199512,-0.57,-0.46
199601,0.06,-0.14
199602,1.77,1.51
199603,1.63,1.50
199604,-0.40,-0.55
199605,0.92,0.58
199606,-0.82,-1.01
199607,-0.93,-1.28
199608,-2.57,-2.91
199609,0.48,0.26
199610,0.30,0.15
199611,1.56,1.64
199612,0.62,0.73
199701,4.29,4.09
199702,2.34,2.08
199703,-1.99,-2.12
199704,1.64,1.49
199705,1.03,0.69
199706,3.76,3.57
199707,2.53,2.18
199708,2.00,1.66
199709,3.47,3.25
199710,-0.29,-0.44
199711,0.10,0.18
199712,-0.66,-0.55
199801,0.43,0.23
199802,4.36,4.10
199803,2.43,2.30
199804,2.44,2.29
199805,0.93,0.59
199806,5.85,5.66
199807,7.22,6.87
199808,1.32,0.98
199809,1.15,0.93
199810,2.69,2.54
199811,-0.47,-0.39
199812,-0.94,-0.83
199901,0.37,0.17
199902,-1.08,-1.34
