Juab County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,8.47,-3.20
199002,8.73,-2.96
199003,9.27,-2.43
199004,10.23,-1.45
199005,9.65,-2.04
199006,10.12,-1.57
199007,10.02,-1.67
199008,9.32,-2.38
199009,9.17,-2.53
199010,9.36,-2.36
199011,9.85,-1.86
199012,10.21,-1.51
199101,10.17,-1.50
199102,9.46,-2.23
199103,9.14,-2.56
199104,9.09,-2.59
199105,10.78,-0.91
199106,10.54,-1.15
199107,10.41,-1.28
199108,11.36,-0.34
199109,12.05,0.35
199110,12.21,0.49
199111,12.19,0.48
199112,12.07,0.35
199201,12.14,0.47
199202,12.86,1.17
199203,13.10,1.40
199204,11.94,0.26
199205,10.46,-1.23
199206,10.05,-1.64
199207,10.85,-0.84
199208,9.98,-1.72
199209,9.08,-2.62
199210,9.05,-2.67
199211,8.75,-2.96
199212,9.40,-2.32
199301,11.38,-0.29
199302,12.22,0.53
199303,12.39,0.69
199304,12.66,0.98
199305,13.13,1.44
199306,13.67,1.98
199307,13.06,1.37
199308,13.16,1.46
199309,13.19,1.49
199310,13.63,1.91
199311,13.72,2.01
199312,13.02,1.30
199401,10.88,-0.79
199402,10.33,-1.36
199403,9.90,-1.80
199404,11.43,-0.25
199405,11.07,-0.62
199406,10.24,-1.45
199407,10.18,-1.51
199408,10.92,-0.78
199409,11.27,-0.43
199410,11.61,-0.11
199411,12.28,0.57
199412,12.53,0.81
199501,13.44,1.77
199502,12.69,1.00
199503,13.19,1.49
199504,13.61,1.93
199505,16.08,4.39
199506,17.86,6.17
199507,18.05,6.36
199508,17.41,5.71
199509,17.02,5.32
199510,15.11,3.39
199511,13.99,2.28
199512,14.13,2.41
199601,13.82,2.15
199602,14.96,3.27
199603,15.47,3.77
199604,13.95,2.27
199605,12.01,0.32
199606,10.24,-1.45
199607,10.28,-1.41
199608,9.74,-1.96
199609,10.14,-1.56
199610,11.17,-0.55
199611,12.49,0.78
199612,12.81,1.09
199701,14.28,2.61
199702,13.93,2.24
199703,11.99,0.29
199704,12.73,1.05
199705,12.52,0.83
199706,14.32,2.63
199707,14.53,2.84
199708,15.63,3.93
199709,16.64,4.94
199710,16.37,4.65
199711,15.76,4.05
199712,15.27,3.55
199801,13.99,2.32
199802,15.35,3.66
199803,17.28,5.58
199804,17.54,5.86
199805,17.17,5.48
199806,17.77,6.08
199807,18.32,6.63
199808,17.75,6.05
199809,16.93,5.23
199810,18.11,6.39
199811,17.84,6.13
199812,17.67,5.95
199901,17.55,5.88
199902,15.34,3.65
199903,13.60,1.90
199904,14.59,2.91
199905,15.46,3.77
199906,14.17,2.48
199907,13.65,1.96
199908,14.21,2.51
199909,13.51,1.81
199910,11.58,-0.14
199911,10.93,-0.78
199912,10.80,-0.92
200001,11.09,-0.58
200002,12.91,1.22
200003,13.50,1.80
200004,11.45,-0.23
200005,11.39,-0.30
200006,10.66,-1.03
200007,9.91,-1.78
200008,10.04,-1.66
200009,10.58,-1.12
200010,13.09,1.37
200011,13.46,1.75
200012,13.53,1.81
200101,12.74,1.07
200102,11.07,-0.62
200103,11.80,0.10
200104,12.57,0.89
200105,11.25,-0.44
200106,11.06,-0.63
200107,11.66,-0.03
200108,11.13,-0.57
200109,10.45,-1.25
200110,8.26,-3.46
200111,9.24,-2.47
200112,9.71,-2.01
200201,9.34,-2.33
200202,8.85,-2.84
200203,7.90,-3.80
200204,7.64,-4.04
200205,7.56,-4.13
200206,7.41,-4.28
200207,7.25,-4.44
200208,6.53,-5.17
200209,7.57,-4.13
200210,8.47,-3.25
200211,7.87,-3.84
200212,7.46,-4.26
200301,7.61,-4.06
200302,8.48,-3.21
200303,8.89,-2.81
200304,9.14,-2.54
200305,10.08,-1.61
200306,10.71,-0.98
200307,10.43,-1.26
200308,11.29,-0.41
200309,10.41,-1.29
200310,9.29,-2.43
200311,9.64,-2.07
200312,10.96,-0.76
200401,10.97,-0.70
200402,11.55,-0.14
200403,10.97,-0.73
200404,11.05,-0.63
200405,10.27,-1.42
200406,10.22,-1.47
200407,10.63,-1.06
200408,10.45,-1.25
200409,10.63,-1.07
200410,13.49,1.77
200411,13.46,1.75
200412,12.45,0.73
200501,13.82,2.15
200502,13.38,1.69
200503,14.90,3.20
200504,15.65,3.97
200505,17.95,6.26
200506,18.01,6.32
200507,17.59,5.90
200508,17.46,5.76
200509,17.58,5.88
200510,16.10,4.38
200511,15.16,3.45
200512,15.14,3.42
200601,14.72,3.05
200602,14.03,2.34
200603,13.99,2.29
200604,13.15,1.47
200605,10.87,-0.82
200606,10.34,-1.35
200607,11.04,-0.65
200608,10.77,-0.93
200609,11.16,-0.54
200610,11.13,-0.59
200611,11.32,-0.39
200612,11.17,-0.55
200701,10.21,-1.46
200702,10.71,-0.98
200703,9.65,-2.05
200704,8.75,-2.93
200705,8.87,-2.82
200706,9.17,-2.52
200707,8.76,-2.93
200708,9.06,-2.64
200709,9.01,-2.69
200710,8.45,-3.27
200711,8.19,-3.52
200712,9.42,-2.30
200801,9.96,-1.71
200802,10.12,-1.57
200803,9.90,-1.80
200804,9.50,-2.18
200805,10.07,-1.62
200806,10.43,-1.26
200807,10.16,-1.53
200808,10.15,-1.55
200809,9.72,-1.98
200810,9.71,-2.01
200811,10.51,-1.20
200812,9.60,-2.12
200901,9.99,-1.68
200902,9.63,-2.06
200903,9.51,-2.19
200904,11.19,-0.49
200905,10.92,-0.77
200906,11.99,0.30
200907,12.04,0.35
200908,11.56,-0.14
200909,11.43,-0.27
200910,11.28,-0.44
200911,10.49,-1.22
