Kane County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,53.0,1.8
199002,53.2,2.0
199003,53.0,1.8
199004,52.7,1.5
199005,52.5,1.3
199006,52.8,1.5
199007,52.6,1.4
199008,52.7,1.4
199009,52.9,1.6
199010,53.0,1.7
199011,52.8,1.5
199012,52.1,0.9
199101,51.8,0.6
199102,52.2,1.0
199103,51.7,0.5
199104,51.2,0.0
199105,50.9,-0.3
199106,50.5,-0.8
199107,50.5,-0.7
199108,50.7,-0.6
199109,50.6,-0.7
199110,50.7,-0.6
199111,50.7,-0.6
199112,51.2,0.0
199201,51.2,0.0
199202,51.0,-0.2
199203,51.5,0.3
199204,52.3,1.1
199205,52.8,1.6
199206,52.8,1.5
199207,52.6,1.4
199208,52.5,1.2
199209,52.5,1.2
199210,52.5,1.2
199211,52.3,1.0
199212,52.0,0.8
199301,52.2,1.0
199302,52.0,0.8
199303,52.0,0.8
199304,51.6,0.4
199305,51.5,0.3
199306,51.5,0.2
199307,51.5,0.3
199308,51.4,0.1
199309,51.3,0.0
199310,51.0,-0.3
199311,51.0,-0.3
199312,51.4,0.2
199401,51.6,0.4
199402,51.4,0.2
199403,51.5,0.3
199404,51.5,0.3
199405,51.4,0.2
199406,52.0,0.7
199407,52.4,1.2
199408,52.8,1.5
199409,52.9,1.6
199410,52.8,1.5
199411,52.6,1.3
199412,52.7,1.5
199501,52.6,1.4
199502,53.5,2.3
199503,53.2,2.0
199504,53.0,1.8
199505,52.5,1.3
199506,51.8,0.5
199507,51.4,0.2
199508,51.3,0.0
199509,51.4,0.1
199510,51.7,0.4
199511,52.6,1.3
199512,52.8,1.6
199601,52.9,1.7
199602,52.6,1.4
199603,52.7,1.5
199604,53.0,1.8
199605,53.7,2.5
199606,54.4,3.1
199607,54.8,3.6
199608,54.8,3.5
199609,54.5,3.2
199610,54.2,2.9
199611,53.8,2.5
199612,53.7,2.5
199701,53.6,2.4
199702,53.2,2.0
199703,53.3,2.1
199704,53.0,1.8
199705,53.0,1.8
199706,52.7,1.4
199707,52.3,1.1
199708,52.1,0.8
199709,52.3,1.0
199710,52.3,1.0
199711,52.4,1.1
199712,52.1,0.9
199801,52.3,1.1
199802,52.2,1.0
199803,51.9,0.7
199804,51.7,0.5
199805,51.2,0.0
199806,50.9,-0.4
199807,51.1,-0.1
199808,51.2,-0.1
199809,51.2,-0.1
199810,51.1,-0.2
199811,51.0,-0.3
199812,51.2,0.0
199901,51.3,0.1
199902,51.7,0.5
199903,52.0,0.8
199904,52.0,0.8
199905,52.1,0.9
199906,52.4,1.1
199907,52.2,1.0
199908,51.9,0.6
199909,51.8,0.5
199910,52.2,0.9
199911,52.5,1.2
199912,52.5,1.3
200001,52.5,1.3
200002,52.5,1.3
200003,52.2,1.0
200004,53.1,1.9
200005,53.7,2.5
200006,54.0,2.7
200007,54.2,3.0
200008,54.6,3.3
200009,54.8,3.5
200010,54.6,3.3
200011,53.7,2.4
200012,53.9,2.7
200101,53.5,2.3
200102,53.3,2.1
200103,53.5,2.3
200104,53.0,1.8
200105,53.0,1.8
200106,52.9,1.6
200107,52.7,1.5
200108,52.6,1.3
200109,52.7,1.4
200110,53.1,1.8
200111,53.7,2.4
200112,53.3,2.1
200201,53.3,2.1
200202,53.3,2.1
200203,53.0,1.8
200204,53.4,2.2
200205,53.1,1.9
200206,53.3,2.0
200207,53.7,2.5
200208,53.8,2.5
200209,53.5,2.2
200210,53.0,1.7
200211,52.9,1.6
200212,53.0,1.8
200301,53.6,2.4
200302,53.7,2.5
200303,53.9,2.7
200304,53.4,2.2
200305,53.5,2.3
