Kane County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,775,79
199002,775,79
199003,775,79
199004,766,69
199005,756,59
199006,826,130
199007,774,78
199008,793,96
199009,825,127
199010,825,127
199011,825,127
199012,825,127
199101,825,129
199102,825,129
199103,825,129
199104,819,122
199105,810,113
199106,704,8
199107,710,14
199108,762,65
199109,743,45
199110,751,53
199111,751,53
199112,751,53
199201,751,55
199202,751,55
199203,751,55
199204,765,68
199205,793,96
199206,807,111
199207,711,15
199208,690,-7
199209,685,-13
199210,687,-11
199211,687,-11
199212,687,-11
199301,687,-9
199302,687,-9
199303,687,-9
199304,673,-24
199305,666,-31
199306,647,-49
199307,667,-29
199308,630,-67
199309,618,-80
199310,608,-90
199311,608,-90
199312,608,-90
199401,608,-88
199402,608,-88
199403,608,-88
199404,608,-89
199405,604,-93
199406,760,64
199407,891,195
199408,1033,336
199409,1059,361
199410,1059,361
199411,1059,361
199412,1059,361
199501,1059,363
199502,1059,363
199503,1059,363
199504,1059,362
199505,1040,343
199506,850,154
199507,734,38
199508,699,2
199509,708,10
199510,713,15
199511,713,15
199512,713,15
199601,713,17
199602,713,17
199603,713,17
199604,713,16
199605,758,61
199606,912,216
199607,1056,360
199608,1059,362
199609,1007,309
199610,1002,304
199611,1002,304
199612,1002,304
199701,1002,306
199702,1002,306
199703,1002,306
199704,1002,305
199705,1004,307
199706,916,220
199707,773,77
199708,688,-9
199709,718,20
199710,718,20
199711,718,20
199712,718,20
199801,718,22
199802,718,22
199803,718,22
199804,718,21
199805,675,-22
199806,613,-83
199807,690,-6
199808,758,61
199809,747,49
199810,747,49
199811,747,49
199812,747,49
199901,747,51
199902,747,51
199903,747,51
199904,747,50
199905,750,53
199906,804,108
199907,736,40
199908,631,-66
199909,621,-77
199910,628,-70
199911,628,-70
199912,628,-70
200001,628,-68
200002,628,-68
200003,628,-68
200004,639,-58
200005,701,4
200006,800,104
200007,875,179
200008,999,302
