Kane County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5105,-583
199002,5047,-640
199003,5134,-555
199004,5231,-455
199005,5276,-410
199006,5255,-431
199007,5255,-431
199008,5255,-431
199009,5227,-457
199010,5187,-497
199011,5253,-433
199012,5527,-158
199101,5615,-73
199102,5484,-203
199103,5690,1
199104,5862,176
199105,5938,252
199106,5985,299
199107,5985,299
199108,5985,299
199109,6002,318
199110,5945,261
199111,5967,281
199112,5776,91
199201,5785,97
199202,5823,136
199203,5647,-42
199204,5382,-304
199205,5235,-451
199206,5224,-462
199207,5224,-462
199208,5224,-462
199209,5228,-456
199210,5213,-471
199211,5295,-391
199212,5424,-261
199301,5321,-367
199302,5414,-273
199303,5379,-310
199304,5517,-169
199305,5537,-149
199306,5552,-134
199307,5552,-134
199308,5552,-134
199309,5564,-120
199310,5690,6
199311,5669,-17
199312,5527,-158
199401,5461,-227
199402,5515,-172
199403,5475,-214
199404,5488,-198
199405,5502,-184
199406,5444,-242
199407,5444,-242
199408,5444,-242
199409,5419,-265
199410,5447,-237
199411,5526,-160
199412,5488,-197
199501,5541,-147
199502,5246,-441
199503,5336,-353
199504,5427,-259
199505,5570,-116
199506,5664,-22
199507,5664,-22
199508,5664,-22
199509,5657,-27
199510,5565,-119
199511,5240,-446
199512,5151,-534
199601,5107,-581
199602,5196,-491
199603,5174,-515
199604,5062,-624
199605,4856,-830
199606,4767,-919
199607,4767,-919
199608,4767,-919
199609,4820,-864
199610,4912,-772
199611,5053,-633
199612,5107,-578
199701,5143,-545
199702,5283,-404
199703,5222,-467
199704,5337,-349
199705,5333,-353
199706,5362,-324
199707,5362,-324
199708,5362,-324
199709,5327,-357
199710,5311,-373
199711,5297,-389
199712,5385,-300
199801,5314,-374
199802,5352,-335
199803,5482,-207
199804,5529,-157
199805,5690,4
199806,5745,59
199807,5745,59
199808,5745,59
199809,5757,73
199810,5783,99
199811,5810,124
199812,5762,77
199901,5704,16
199902,5568,-119
199903,5447,-242
199904,5470,-216
199905,5442,-244
199906,5392,-294
199907,5392,-294
199908,5392,-294
199909,5403,-281
199910,5268,-416
199911,5144,-542
199912,5143,-542
200001,5160,-528
200002,5154,-533
200003,5251,-438
200004,4964,-722
200005,4805,-881
200006,4770,-916
200007,4770,-916
200008,4770,-916
200009,4735,-949
200010,4807,-877
200011,5108,-578
200012,5036,-649
200101,5187,-501
200102,5275,-412
200103,5205,-484
200104,5344,-342
200105,5358,-328
200106,5366,-320
200107,5366,-320
200108,5366,-320
200109,5345,-339
200110,5232,-452
200111,4986,-700
200112,5146,-539
200201,5136,-552
200202,5146,-541
200203,5271,-418
200204,5141,-545
200205,5201,-485
200206,5191,-495
200207,5191,-495
200208,5191,-495
200209,5236,-448
200210,5397,-287
200211,5456,-230
