Kane County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,67.0,2.7
199002,67.1,2.8
199003,66.8,2.5
199004,66.3,2.0
199005,66.1,1.8
199006,66.4,2.1
199007,66.1,1.8
199008,66.2,1.9
199009,66.1,1.8
199010,66.3,2.0
199011,65.9,1.6
199012,65.0,0.7
199101,64.7,0.4
199102,65.2,0.9
199103,64.4,0.1
199104,64.0,-0.3
199105,63.9,-0.4
199106,63.4,-0.9
199107,63.5,-0.8
199108,63.6,-0.7
199109,63.6,-0.7
199110,63.7,-0.6
199111,63.6,-0.7
199112,63.8,-0.5
199201,63.8,-0.5
199202,63.5,-0.8
199203,63.9,-0.4
199204,64.7,0.4
199205,65.0,0.7
199206,65.1,0.8
199207,64.8,0.5
199208,64.7,0.4
199209,64.7,0.4
199210,64.7,0.4
199211,64.5,0.2
199212,64.2,-0.1
199301,64.3,0.0
199302,63.9,-0.4
199303,64.2,-0.1
199304,63.7,-0.6
199305,63.8,-0.5
199306,63.7,-0.6
199307,63.8,-0.5
199308,63.7,-0.6
199309,63.8,-0.5
199310,63.4,-0.9
199311,63.5,-0.8
199312,64.1,-0.2
199401,64.6,0.3
199402,64.6,0.3
199403,64.8,0.5
199404,64.8,0.5
199405,64.7,0.4
199406,65.3,1.0
199407,65.7,1.4
199408,66.2,1.9
199409,66.1,1.8
199410,66.1,1.8
199411,65.8,1.5
199412,65.7,1.4
199501,65.2,0.9
199502,66.3,2.0
199503,65.8,1.5
199504,65.5,1.2
199505,65.0,0.7
199506,64.1,-0.2
199507,63.8,-0.5
199508,63.7,-0.6
199509,63.8,-0.5
199510,64.3,0.0
199511,65.4,1.1
199512,65.9,1.6
199601,66.3,2.0
199602,65.9,1.6
199603,66.2,1.9
199604,66.7,2.4
199605,67.7,3.4
199606,68.5,4.2
199607,68.8,4.5
199608,68.8,4.5
199609,68.5,4.2
199610,68.0,3.7
199611,67.4,3.1
199612,67.1,2.8
199701,66.7,2.4
199702,66.3,2.0
199703,66.6,2.3
199704,66.0,1.7
199705,66.0,1.7
199706,65.5,1.2
199707,65.2,0.9
199708,64.8,0.5
199709,64.8,0.5
199710,64.9,0.6
199711,65.0,0.7
199712,64.8,0.5
199801,65.2,0.9
199802,64.8,0.5
199803,64.2,-0.1
199804,64.1,-0.2
199805,63.5,-0.8
199806,63.2,-1.1
199807,63.4,-0.9
199808,63.7,-0.6
199809,63.7,-0.6
199810,63.5,-0.8
199811,63.4,-0.9
199812,63.6,-0.7
199901,63.9,-0.4
199902,64.6,0.3
199903,65.1,0.8
199904,65.0,0.7
199905,65.2,0.9
199906,65.4,1.1
199907,65.0,0.7
199908,64.7,0.4
199909,64.7,0.4
199910,65.5,1.2
199911,66.1,1.8
199912,66.2,1.9
200001,66.1,1.8
200002,65.9,1.6
200003,65.5,1.2
200004,66.6,2.3
200005,67.2,2.9
200006,67.6,3.3
200007,68.0,3.7
200008,68.4,4.1
200009,68.7,4.4
200010,68.0,3.7
200011,66.8,2.5
200012,66.9,2.6
200101,66.4,2.1
200102,66.1,1.8
200103,66.3,2.0
200104,65.7,1.4
200105,65.6,1.3
200106,65.6,1.3
200107,65.4,1.1
200108,65.4,1.1
200109,65.6,1.3
200110,66.2,1.9
200111,67.0,2.7
200112,66.5,2.2
200201,66.6,2.3
200202,66.9,2.6
200203,66.8,2.5
200204,67.3,3.0
200205,67.1,2.8
200206,67.3,3.0
200207,67.8,3.5
200208,68.0,3.7
200209,67.4,3.1
200210,66.8,2.5
200211,66.6,2.3
200212,66.7,2.4
200301,67.4,3.1
200302,67.1,2.8
200303,67.2,2.9
200304,66.5,2.2
200305,66.5,2.2
200306,66.3,2.0
200307,66.4,2.1
200308,66.3,2.0
200309,66.7,2.4
200310,67.5,3.2
200311,67.2,2.9
200312,67.4,3.1
200401,66.6,2.3
200402,66.3,2.0
200403,67.0,2.7
200404,67.2,2.9
200405,67.2,2.9
200406,67.1,2.8
200407,66.6,2.3
200408,66.4,2.1
200409,66.0,1.7
200410,65.1,0.8
200411,65.1,0.8
200412,65.1,0.8
200501,65.4,1.1
200502,65.8,1.5
200503,64.9,0.6
200504,64.8,0.5
200505,64.7,0.4
200506,64.3,0.0
200507,64.6,0.3
200508,64.5,0.2
200509,64.6,0.3
200510,65.0,0.7
200511,65.5,1.2
200512,65.7,1.4
200601,65.7,1.4
200602,66.1,1.8
200603,65.8,1.5
200604,66.0,1.7
200605,66.4,2.1
200606,67.1,2.8
200607,66.8,2.5
200608,67.1,2.8
200609,66.7,2.4
200610,66.4,2.1
200611,66.4,2.1
200612,66.2,1.9
200701,65.8,1.5
200702,65.8,1.5
200703,66.6,2.3
200704,66.6,2.3
200705,66.4,2.1
200706,66.4,2.1
200707,66.5,2.2
200708,66.7,2.4
200709,67.1,2.8
200710,67.4,3.1
200711,67.7,3.4
200712,67.4,3.1
200801,67.2,2.9
200802,66.8,2.5
200803,66.6,2.3
200804,66.4,2.1
200805,65.9,1.6
200806,65.7,1.4
200807,65.6,1.3
200808,65.6,1.3
200809,65.8,1.5
200810,66.0,1.7
200811,65.7,1.4
200812,65.9,1.6
200901,66.4,2.1
200902,66.6,2.3
200903,66.7,2.4
200904,66.6,2.3
200905,67.3,3.0
200906,66.8,2.5
200907,66.8,2.5
200908,66.8,2.5
200909,66.8,2.5
200910,66.4,2.1
200911,66.4,2.1
200912,66.2,1.9
201001,65.8,1.5
201002,65.4,1.1
201003,65.1,0.8
201004,65.0,0.7
201005,64.2,-0.1
201006,64.7,0.4
201007,64.7,0.4
201008,64.3,0.0
201009,64.5,0.2
201010,64.6,0.3
201011,64.1,-0.2
201012,64.8,0.5
201101,65.1,0.8
201102,65.1,0.8
201103,65.3,1.0
201104,65.3,1.0
201105,65.2,0.9
201106,65.1,0.8
201107,64.9,0.6
201108,65.3,1.0
201109,65.0,0.7
201110,65.2,0.9
201111,65.3,1.0
201112,65.0,0.7
201201,65.3,1.0
201202,65.6,1.3
201203,65.8,1.5
201204,66.3,2.0
201205,67.1,2.8
201206,67.5,3.2
201207,67.5,3.2
201208,67.4,3.1
201209,67.5,3.2
201210,67.6,3.3
201211,68.1,3.8
201212,68.1,3.8
201301,67.4,3.1
201302,67.2,2.9
201303,67.3,3.0
201304,67.2,2.9
201305,66.8,2.5
201306,66.8,2.5
201307,67.0,2.7
201308,66.7,2.4
201309,66.3,2.0
201310,65.8,1.5
201311,65.4,1.1
201312,65.3,1.0
201401,66.1,1.8
201402,66.7,2.4
201403,66.6,2.3
201404,66.5,2.2
201405,66.6,2.3
201406,66.3,2.0
201407,66.4,2.1
201408,66.2,1.9
201409,66.6,2.3
201410,67.2,2.9
201411,67.5,3.2
201412,67.8,3.5
201501,67.4,3.1
201502,67.6,3.3
201503,67.8,3.5
201504,67.8,3.5
201505,67.3,3.0
201506,67.3,3.0
201507,66.9,2.6
201508,67.1,2.8
201509,67.3,3.0
201510,67.0,2.7
201511,66.5,2.2
201512,66.3,2.0
201601,66.1,1.8
201602,65.9,1.6
201603,65.7,1.4
201604,65.7,1.4
201605,65.9,1.6
201606,66.2,1.9
201607,66.7,2.4
201608,66.5,2.2
201609,66.1,1.8
201610,66.2,1.9
201611,66.7,2.4
201612,67.0,2.7
201701,66.9,2.6
201702,66.7,2.4
201703,66.9,2.6
201704,67.0,2.7
201705,67.2,2.9
201706,67.1,2.8
201707,67.1,2.8
201708,67.3,3.0
201709,67.4,3.1
201710,67.4,3.1
201711,67.8,3.5
201712,68.4,4.1
201801,69.1,4.8
201802,69.0,4.7
201803,68.4,4.1
201804,68.8,4.5
201805,69.1,4.8
201806,69.1,4.8
201807,69.2,4.9
201808,69.3,5.0
201809,69.8,5.5
201810,69.0,4.7
201811,68.4,4.1
201812,67.7,3.4
201901,67.1,2.8
201902,66.3,2.0
201903,66.1,1.8
201904,65.9,1.6
201905,65.0,0.7
201906,64.4,0.1
201907,64.3,0.0
201908,64.4,0.1
201909,64.3,0.0
201910,64.6,0.3
201911,64.8,0.5
201912,64.6,0.3
202001,64.7,0.4
202002,65.5,1.2
202003,65.6,1.3
202004,65.6,1.3
202005,66.7,2.4
202006,67.0,2.7
202007,67.0,2.7
202008,67.3,3.0
202009,67.5,3.2
202010,68.3,4.0
202011,68.3,4.0
202012,68.6,4.3
202101,68.7,4.4
202102,68.7,4.4
202103,68.7,4.4
202104,68.9,4.6
202105,68.8,4.5
202106,69.2,4.9
202107,69.2,4.9
202108,68.8,4.5
202109,68.7,4.4
202110,67.8,3.5
202111,68.1,3.8
202112,68.2,3.9
202201,68.4,4.1
202202,68.2,3.9
202203,68.5,4.2
202204,68.4,4.1
202205,68.4,4.1
202206,68.1,3.8
202207,68.0,3.7
202208,67.9,3.6
202209,67.9,3.6
202210,68.4,4.1
202211,67.4,3.1
202212,67.2,2.9
202301,66.6,2.3
202302,66.2,1.9
202303,65.2,0.9
202304,64.9,0.6
202305,64.7,0.4
202306,64.1,-0.2
202307,64.4,0.1
202308,64.3,0.0
202309,63.8,-0.5
202310,64.0,-0.3
202311,64.5,0.2
202312,64.9,0.6
202401,65.3,1.0
202402,65.8,1.5
202403,66.5,2.2
