Kane County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.10,-4.21
199002,-3.70,-3.87
199003,-3.95,-4.16
199004,-3.78,-4.05
199005,-4.02,-4.31
199006,-4.36,-4.64
199007,-4.25,-4.61
199008,-4.29,-4.62
199009,-3.51,-3.80
199010,-3.42,-3.62
199011,-3.32,-3.46
199012,-3.30,-3.30
199101,-3.34,-3.45
199102,-3.71,-3.88
199103,-2.78,-2.99
199104,-2.77,-3.04
199105,-2.78,-3.07
199106,-2.80,-3.08
199107,-2.99,-3.35
199108,-3.10,-3.43
199109,-2.67,-2.96
199110,-2.67,-2.87
199111,0.08,-0.06
199112,0.16,0.16
199201,-0.15,-0.26
199202,0.25,0.08
199203,1.28,1.07
199204,0.67,0.40
199205,1.79,1.50
199206,2.05,1.77
199207,2.09,1.73
199208,2.94,2.61
199209,2.69,2.40
199210,2.75,2.55
199211,2.05,1.91
199212,2.03,2.03
199301,4.31,4.20
199302,5.94,5.77
199303,5.36,5.15
199304,4.48,4.21
199305,4.59,4.30
199306,4.60,4.32
199307,-0.47,-0.83
199308,-0.06,-0.39
199309,-0.75,-1.04
199310,-0.09,-0.29
199311,-0.04,-0.18
199312,-0.48,-0.48
199401,-1.08,-1.19
199402,-0.56,-0.73
199403,-1.17,-1.38
199404,-1.04,-1.31
199405,-1.43,-1.72
199406,-1.96,-2.24
199407,-2.83,-3.19
199408,-3.08,-3.41
199409,-0.03,-0.32
199410,0.08,-0.12
199411,0.40,0.26
199412,0.45,0.45
199501,1.45,1.34
199502,1.16,0.99
199503,1.87,1.66
199504,2.39,2.12
199505,3.40,3.11
199506,4.54,4.26
199507,4.95,4.59
199508,-0.11,-0.44
199509,-0.35,-0.64
199510,-1.07,-1.27
199511,-1.55,-1.69
199512,-1.79,-1.79
199601,-2.04,-2.15
199602,-1.59,-1.76
199603,-1.92,-2.13
199604,-2.35,-2.62
199605,-2.91,-3.20
199606,-3.48,-3.76
199607,-3.86,-4.22
199608,-4.40,-4.73
199609,-4.00,-4.29
199610,0.30,0.10
199611,0.63,0.49
199612,0.65,0.65
199701,1.47,1.36
199702,1.21,1.04
199703,0.32,0.11
199704,0.65,0.38
199705,0.52,0.23
199706,0.62,0.34
199707,0.36,0.00
199708,0.99,0.66
199709,3.40,3.11
199710,3.32,3.12
199711,2.70,2.56
199712,2.00,2.00
199801,1.35,1.24
199802,1.73,1.56
199803,1.69,1.48
199804,1.93,1.66
199805,1.98,1.69
199806,2.03,1.75
199807,2.40,2.04
199808,1.53,1.20
199809,3.26,2.97
199810,3.87,3.67
199811,3.75,3.61
199812,-0.35,-0.35
199901,-0.94,-1.05
199902,-1.35,-1.52
199903,-2.13,-2.34
199904,-1.50,-1.77
199905,-1.74,-2.03
199906,-1.83,-2.11
199907,0.78,0.42
199908,1.12,0.79
199909,-0.09,-0.38
199910,-0.88,-1.08
199911,-1.57,-1.71
199912,-2.08,-2.08
200001,-2.50,-2.61
200002,-2.23,-2.40
200003,-1.99,-2.20
200004,-2.55,-2.82
200005,-3.35,-3.64
200006,-3.80,-4.08
200007,-4.49,-4.85
200008,-4.27,-4.60
200009,-4.45,-4.74
200010,2.05,1.85
200011,1.79,1.65
200012,1.22,1.22
200101,1.53,1.42
200102,1.78,1.61
200103,1.63,1.42
200104,1.72,1.45
200105,1.68,1.39
200106,1.72,1.44
200107,-0.02,-0.38
200108,0.12,-0.21
200109,-0.59,-0.88
200110,-1.28,-1.48
200111,-1.43,-1.57
200112,-1.37,-1.37
200201,-1.90,-2.01
200202,-2.47,-2.64
200203,-2.85,-3.06
200204,-3.52,-3.79
200205,-4.45,-4.74
200206,-5.30,-5.58
200207,-5.89,-6.25
200208,-6.52,-6.85
200209,-4.73,-5.02
200210,-4.03,-4.23
200211,-3.66,-3.80
200212,-3.52,-3.52
200301,-4.09,-4.20
200302,-3.21,-3.38
200303,-3.26,-3.47
200304,-2.98,-3.25
200305,-3.21,-3.50
200306,-3.68,-3.96
200307,-4.08,-4.44
200308,-4.21,-4.54
200309,-4.23,-4.52
200310,-4.29,-4.49
200311,-3.69,-3.83
200312,-3.25,-3.25
200401,-3.34,-3.45
200402,-2.19,-2.36
200403,-2.91,-3.12
200404,-2.57,-2.84
200405,-2.85,-3.14
200406,-2.97,-3.25
200407,-3.03,-3.39
200408,-2.83,-3.16
200409,0.61,0.32
200410,2.40,2.20
200411,3.51,3.37
200412,3.60,3.60
200501,5.49,5.38
200502,6.37,6.20
200503,6.06,5.85
200504,6.12,5.85
200505,6.11,5.82
200506,6.60,6.32
200507,6.28,5.92
200508,6.22,5.89
200509,-0.46,-0.75
200510,-0.06,-0.26
200511,-0.76,-0.90
200512,-1.19,-1.19
200601,-1.49,-1.60
200602,-2.02,-2.19
200603,-1.10,-1.31
200604,-1.22,-1.49
200605,-1.92,-2.21
200606,-2.42,-2.70
200607,-2.05,-2.41
200608,-2.50,-2.83
200609,-2.39,-2.68
200610,1.82,1.62
200611,-0.47,-0.61
200612,-0.46,-0.46
200701,-0.88,-0.99
200702,-1.20,-1.37
200703,-1.74,-1.95
200704,-1.90,-2.17
200705,-2.52,-2.81
200706,-3.12,-3.40
200707,-3.18,-3.54
200708,-2.65,-2.98
200709,-2.26,-2.55
200710,-2.64,-2.84
200711,-2.93,-3.07
200712,-2.16,-2.16
200801,-1.08,-1.19
200802,-0.56,-0.73
200803,-0.95,-1.16
200804,-1.26,-1.53
200805,-1.10,-1.39
200806,-0.96,-1.24
200807,-1.27,-1.63
200808,-1.39,-1.72
200809,-1.92,-2.21
200810,-2.16,-2.36
200811,-2.03,-2.17
200812,-1.22,-1.22
200901,-1.41,-1.52
200902,-1.38,-1.55
200903,-1.91,-2.12
200904,-2.09,-2.36
200905,-1.93,-2.22
200906,-1.90,-2.18
200907,-2.28,-2.64
200908,-3.18,-3.51
200909,-3.25,-3.54
200910,-3.45,-3.65
200911,-3.63,-3.77
200912,0.39,0.39
201001,1.65,1.54
201002,2.03,1.86
201003,2.07,1.86
201004,1.80,1.53
201005,1.96,1.67
201006,2.39,2.11
201007,2.50,2.14
201008,2.45,2.12
201009,1.46,1.17
201010,3.11,2.91
201011,2.96,2.82
201012,4.30,4.30
201101,3.68,3.57
201102,4.14,3.97
201103,3.65,3.44
201104,3.59,3.32
201105,4.05,3.76
201106,4.54,4.26
201107,4.85,4.49
201108,-0.54,-0.87
201109,-0.23,-0.52
201110,-0.10,-0.30
201111,-0.18,-0.32
201112,-0.39,-0.39
201201,-0.71,-0.82
201202,-0.86,-1.03
201203,-1.25,-1.46
201204,-1.68,-1.95
201205,-2.63,-2.92
201206,-3.44,-3.72
201207,-3.30,-3.66
201208,-2.54,-2.87
201209,-2.33,-2.62
201210,-2.51,-2.71
201211,-2.84,-2.98
201212,-2.40,-2.40
201301,-2.26,-2.37
201302,-2.55,-2.72
201303,-2.76,-2.97
201304,-3.01,-3.28
201305,-3.38,-3.67
201306,-4.02,-4.30
201307,0.27,-0.09
201308,0.81,0.48
201309,2.29,2.00
201310,1.97,1.77
201311,2.37,2.23
201312,-0.16,-0.16
201401,-0.70,-0.81
201402,-1.30,-1.47
201403,-1.80,-2.01
201404,-2.21,-2.48
201405,-2.69,-2.98
201406,-3.42,-3.70
201407,-3.68,-4.04
201408,-2.79,-3.12
201409,-1.24,-1.53
201410,-1.98,-2.18
201411,-2.39,-2.53
201412,-2.30,-2.30
201501,-2.18,-2.29
201502,-2.10,-2.27
201503,-2.00,-2.21
201504,-2.09,-2.36
201505,0.62,0.33
201506,0.67,0.39
201507,0.99,0.63
201508,1.38,1.05
201509,1.40,1.11
201510,2.28,2.08
201511,-0.01,-0.15
201512,-0.17,-0.17
201601,0.23,0.12
201602,-0.40,-0.57
201603,-1.00,-1.21
201604,-0.67,-0.94
201605,-0.87,-1.16
201606,-1.30,-1.58
201607,-1.91,-2.27
201608,0.54,0.21
201609,1.46,1.17
201610,0.86,0.66
201611,0.55,0.41
201612,0.85,0.85
201701,1.99,1.88
201702,1.91,1.74
201703,-0.37,-0.58
201704,-0.38,-0.65
201705,-0.24,-0.53
201706,-0.32,-0.60
201707,0.39,0.03
201708,-0.37,-0.70
201709,-0.54,-0.83
201710,-1.24,-1.44
201711,-2.06,-2.20
201712,-2.70,-2.70
201801,-3.03,-3.14
201802,-3.23,-3.40
201803,-3.07,-3.28
201804,-3.47,-3.74
201805,-4.25,-4.54
