Kane County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.10,-4.44
199002,-3.70,-4.01
199003,-3.95,-4.11
199004,-3.78,-4.01
199005,-4.02,-4.33
199006,-4.36,-4.66
199007,-4.25,-4.64
199008,-4.29,-4.78
199009,-3.51,-4.11
199010,-3.42,-4.03
199011,-3.32,-3.81
199012,-3.30,-3.71
199101,-3.34,-3.68
199102,-3.71,-4.02
199103,-2.78,-2.94
199104,-2.77,-3.00
199105,-2.78,-3.09
199106,-2.80,-3.10
199107,-2.99,-3.38
199108,-3.10,-3.59
199109,-2.67,-3.27
199110,-2.67,-3.28
199111,-2.32,-2.81
199112,-1.99,-2.40
199201,-1.94,-2.28
199202,-1.49,-1.80
199203,1.28,1.12
199204,0.67,0.44
199205,1.79,1.48
199206,2.05,1.75
199207,2.09,1.70
199208,2.94,2.45
199209,2.69,2.09
199210,2.75,2.14
199211,2.05,1.56
199212,2.03,1.62
199301,4.31,3.97
199302,5.94,5.63
199303,5.36,5.20
199304,4.48,4.25
199305,4.59,4.28
199306,4.60,4.30
199307,3.66,3.27
199308,3.64,3.15
199309,2.58,1.98
199310,2.89,2.28
199311,2.64,2.15
199312,1.92,1.51
199401,1.08,0.74
199402,1.37,1.06
199403,0.56,0.40
199404,-1.04,-1.27
199405,-1.43,-1.74
199406,-1.96,-2.26
199407,-2.83,-3.22
199408,-3.08,-3.57
199409,-2.80,-3.40
199410,-2.43,-3.04
199411,-1.85,-2.34
199412,-1.57,-1.98
199501,1.45,1.11
199502,1.16,0.85
199503,1.87,1.71
199504,2.39,2.16
199505,3.40,3.09
199506,4.54,4.24
199507,4.95,4.56
199508,4.33,3.84
199509,3.64,3.04
199510,2.50,1.89
199511,1.66,1.17
199512,1.09,0.68
199601,-2.04,-2.38
199602,-1.59,-1.90
199603,-1.92,-2.08
199604,-2.35,-2.58
199605,-2.91,-3.22
199606,-3.48,-3.78
199607,-3.86,-4.25
199608,-4.40,-4.89
199609,-4.00,-4.60
199610,-3.29,-3.90
199611,-2.59,-3.08
199612,-2.24,-2.65
199701,-1.12,-1.46
199702,-1.11,-1.42
199703,-1.76,-1.92
199704,-1.22,-1.45
199705,-1.16,-1.47
199706,-0.89,-1.19
199707,-0.99,-1.38
199708,0.99,0.50
199709,3.40,2.80
199710,3.32,2.71
199711,2.70,2.21
199712,2.00,1.59
199801,1.35,1.01
199802,1.73,1.42
199803,1.69,1.53
199804,1.93,1.70
199805,1.98,1.67
199806,2.03,1.73
199807,2.40,2.01
199808,1.53,1.04
199809,3.26,2.66
199810,3.87,3.26
199811,3.75,3.26
199812,3.01,2.60
199901,2.07,1.73
199902,1.35,1.04
199903,-2.13,-2.29
199904,-1.50,-1.73
199905,-1.74,-2.05
199906,-1.83,-2.13
199907,-0.86,-1.25
199908,1.12,0.63
199909,0.92,0.32
199910,-0.88,-1.49
199911,-1.57,-2.06
199912,-2.08,-2.49
200001,-2.50,-2.84
200002,-2.23,-2.54
200003,-1.99,-2.15
200004,-2.55,-2.78
200005,-3.35,-3.66
200006,-3.80,-4.10
200007,-4.49,-4.88
200008,-4.27,-4.76
200009,-4.45,-5.05
200010,-1.93,-2.54
200011,-1.79,-2.28
200012,-1.99,-2.40
200101,-1.35,-1.69
200102,-0.81,-1.12
200103,-0.69,-0.85
200104,1.72,1.49
200105,1.68,1.37
200106,1.72,1.42
200107,1.52,1.13
200108,1.48,0.99
200109,0.74,0.14
200110,-1.28,-1.89
200111,-1.43,-1.92
200112,-1.37,-1.78
200201,-1.90,-2.24
200202,-2.47,-2.78
200203,-2.85,-3.01
200204,-3.52,-3.75
200205,-4.45,-4.76
200206,-5.30,-5.60
200207,-5.89,-6.28
200208,-6.52,-7.01
200209,-4.73,-5.33
200210,-4.03,-4.64
200211,-3.66,-4.15
200212,-3.52,-3.93
200301,-4.09,-4.43
200302,-3.21,-3.52
200303,-3.26,-3.42
200304,-2.98,-3.21
200305,-3.21,-3.52
200306,-3.68,-3.98
200307,-4.08,-4.47
200308,-4.21,-4.70
200309,-4.23,-4.83
200310,-4.29,-4.90
200311,-3.69,-4.18
200312,-3.25,-3.66
200401,-3.34,-3.68
200402,-2.19,-2.50
200403,-2.91,-3.07
200404,-2.57,-2.80
200405,-2.85,-3.16
200406,-2.97,-3.27
200407,-3.03,-3.42
200408,-2.83,-3.32
200409,-1.93,-2.53
200410,2.40,1.79
200411,3.51,3.02
200412,3.60,3.19
200501,5.49,5.15
200502,6.37,6.06
200503,6.06,5.90
200504,6.12,5.89
200505,6.11,5.80
200506,6.60,6.30
200507,6.28,5.89
200508,6.22,5.73
200509,5.12,4.52
200510,4.94,4.33
200511,3.72,3.23
200512,2.83,2.42
200601,2.12,1.78
200602,1.22,0.91
200603,1.80,1.64
200604,1.39,1.16
200605,-1.92,-2.23
200606,-2.42,-2.72
200607,-2.05,-2.44
200608,-2.50,-2.99
200609,-2.39,-2.99
200610,1.82,1.21
200611,1.16,0.67
200612,1.00,0.59
200701,-0.88,-1.22
200702,-1.20,-1.51
200703,-1.74,-1.90
200704,-1.90,-2.13
200705,-2.52,-2.83
200706,-3.12,-3.42
200707,-3.18,-3.57
200708,-2.65,-3.14
200709,-2.26,-2.86
200710,-2.64,-3.25
200711,-2.93,-3.42
200712,-2.16,-2.57
200801,-1.08,-1.42
200802,-0.56,-0.87
200803,-0.95,-1.11
200804,-1.26,-1.49
200805,-1.10,-1.41
200806,-0.96,-1.26
200807,-1.27,-1.66
200808,-1.39,-1.88
200809,-1.92,-2.52
200810,-2.16,-2.77
200811,-2.03,-2.52
200812,-1.22,-1.63
200901,-1.41,-1.75
200902,-1.38,-1.69
200903,-1.91,-2.07
200904,-2.09,-2.32
200905,-1.93,-2.24
200906,-1.90,-2.20
200907,-2.28,-2.67
200908,-3.18,-3.67
200909,-3.25,-3.85
200910,-3.45,-4.06
200911,-3.63,-4.12
200912,-2.86,-3.27
201001,-1.27,-1.61
201002,-0.59,-0.90
201003,2.07,1.91
201004,1.80,1.57
201005,1.96,1.65
201006,2.39,2.09
201007,2.50,2.11
201008,2.45,1.96
201009,1.46,0.86
201010,3.11,2.50
201011,2.96,2.47
201012,4.30,3.89
201101,3.68,3.34
201102,4.14,3.83
201103,3.65,3.49
201104,3.59,3.36
201105,4.05,3.74
201106,4.54,4.24
201107,4.85,4.46
201108,3.81,3.32
201109,3.67,3.07
201110,3.40,2.79
201111,2.95,2.46
201112,2.43,2.02
201201,1.82,1.48
201202,1.40,1.09
201203,0.78,0.62
201204,-1.68,-1.91
201205,-2.63,-2.94
201206,-3.44,-3.74
201207,-3.30,-3.69
201208,-2.54,-3.03
201209,-2.33,-2.93
201210,-2.51,-3.12
201211,-2.84,-3.33
201212,-2.40,-2.81
201301,-2.26,-2.60
201302,-2.55,-2.86
201303,-2.76,-2.92
201304,-3.01,-3.24
201305,-3.38,-3.69
201306,-4.02,-4.32
201307,-3.34,-3.73
201308,-2.42,-2.91
201309,-0.62,-1.22
201310,-0.63,-1.24
201311,2.37,1.88
201312,1.97,1.56
201401,1.21,0.87
201402,-1.30,-1.61
201403,-1.80,-1.96
201404,-2.21,-2.44
201405,-2.69,-3.00
201406,-3.42,-3.72
201407,-3.68,-4.07
201408,-2.79,-3.28
201409,-1.24,-1.84
201410,-1.98,-2.59
201411,-2.39,-2.88
201412,-2.30,-2.71
201501,-2.18,-2.52
201502,-2.10,-2.41
201503,-2.00,-2.16
201504,-2.09,-2.32
201505,-1.26,-1.57
201506,-1.01,-1.31
201507,0.99,0.60
201508,1.38,0.89
201509,1.40,0.80
201510,2.28,1.67
201511,2.04,1.55
201512,1.66,1.25
201601,1.72,1.38
201602,1.15,0.84
201603,-1.00,-1.16
201604,-0.67,-0.90
201605,-0.87,-1.18
201606,-1.30,-1.60
201607,-1.91,-2.30
201608,-1.17,-1.66
201609,1.46,0.86
