Kane County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.10,-4.21
199002,-3.66,-3.86
199003,-3.95,-4.13
199004,-3.78,-4.03
199005,-4.02,-4.30
199006,-4.36,-4.62
199007,-4.25,-4.65
199008,-4.29,-4.76
199009,-3.05,-3.54
199010,-3.24,-3.70
199011,-3.32,-3.62
199012,-3.30,-3.42
199101,-3.34,-3.45
199102,-3.71,-3.91
199103,-2.08,-2.26
199104,-2.34,-2.59
199105,-2.64,-2.92
199106,-2.80,-3.06
199107,-2.99,-3.39
199108,-3.10,-3.57
199109,-2.48,-2.97
199110,-2.67,-3.13
199111,-2.16,-2.46
199112,-1.66,-1.78
199201,-1.74,-1.85
199202,-0.92,-1.12
199203,1.28,1.10
199204,-0.27,-0.52
199205,1.79,1.51
199206,2.05,1.79
199207,2.09,1.69
199208,2.94,2.47
199209,2.68,2.19
199210,2.75,2.29
199211,1.46,1.16
199212,1.64,1.52
199301,4.31,4.20
199302,5.94,5.74
199303,5.34,5.16
199304,4.05,3.80
199305,4.59,4.31
199306,4.60,4.34
199307,3.07,2.67
199308,3.40,2.93
199309,1.52,1.03
199310,2.44,1.98
199311,2.18,1.88
199312,0.96,0.84
199401,-0.55,-0.66
199402,0.19,-0.01
199403,-1.16,-1.34
199404,-1.04,-1.29
199405,-1.43,-1.71
199406,-1.96,-2.22
199407,-2.83,-3.23
199408,-3.08,-3.55
199409,-2.78,-3.27
199410,-2.25,-2.71
199411,-1.21,-1.51
199412,-0.77,-0.89
199501,1.45,1.34
199502,0.85,0.65
199503,1.87,1.69
199504,2.39,2.14
199505,3.40,3.12
199506,4.54,4.28
199507,4.95,4.55
199508,4.15,3.68
199509,3.12,2.63
199510,1.10,0.64
199511,-0.37,-0.67
199512,-1.26,-1.38
199601,-2.04,-2.15
199602,-1.19,-1.39
199603,-1.92,-2.10
199604,-2.35,-2.60
199605,-2.91,-3.19
199606,-3.48,-3.74
199607,-3.86,-4.26
199608,-4.40,-4.87
199609,-4.00,-4.49
199610,-2.89,-3.35
199611,-1.72,-2.02
199612,-1.25,-1.37
199701,0.85,0.74
199702,0.65,0.45
199703,-0.79,-0.97
199704,0.06,-0.19
199705,0.03,-0.25
199706,0.36,0.10
199707,0.06,-0.34
199708,0.99,0.52
199709,3.40,2.91
