Kane County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.39,-1.54
199002,-0.06,-0.29
199003,-1.89,-1.93
199004,-0.71,-0.83
199005,-1.89,-2.02
199006,-2.26,-2.38
199007,-1.03,-1.36
199008,-1.42,-1.64
199009,1.03,0.72
199010,-0.84,-0.94
199011,-0.73,-0.65
199012,-0.99,-0.82
199101,-1.12,-1.27
199102,-2.16,-2.39
199103,1.65,1.61
199104,-0.83,-0.95
199105,-0.89,-1.02
199106,-0.92,-1.04
199107,-1.44,-1.77
199108,-1.24,-1.46
199109,0.32,0.01
199110,-0.82,-0.92
199111,0.23,0.31
199112,0.26,0.43
199201,-0.46,-0.61
199202,0.75,0.52
199203,3.15,3.11
199204,-1.43,-1.55
199205,3.58,3.45
199206,1.34,1.22
199207,0.75,0.42
199208,3.20,2.98
199209,0.14,-0.17
199210,1.02,0.92
199211,-1.25,-1.17
199212,0.58,0.75
199301,7.46,7.31
199302,6.23,6.00
199303,0.10,0.06
199304,-0.98,-1.10
199305,1.70,1.57
199306,1.47,1.35
199307,-1.41,-1.74
199308,1.07,0.85
199309,-2.07,-2.38
199310,1.75,1.65
199311,0.12,0.20
199312,-1.33,-1.16
199401,-1.95,-2.10
199402,1.20,0.97
199403,-1.99,-2.03
199404,0.03,-0.09
199405,-1.49,-1.62
199406,-2.03,-2.15
199407,-3.23,-3.56
199408,-1.63,-1.85
199409,-0.10,-0.41
199410,0.25,0.15
199411,0.98,1.06
199412,0.27,0.44
199501,3.12,2.97
199502,-0.42,-0.65
199503,2.51,2.47
199504,2.14,2.02
199505,3.77,3.64
199506,4.47,4.35
199507,2.62,2.29
199508,-0.33,-0.55
199509,-0.74,-1.05
199510,-2.27,-2.37
199511,-1.76,-1.68
199512,-1.21,-1.04
199601,-1.32,-1.47
199602,0.73,0.50
199603,-1.49,-1.53
199604,-1.89,-2.01
199605,-2.39,-2.52
199606,-2.62,-2.74
199607,-2.21,-2.54
199608,-2.82,-3.04
199609,-0.16,-0.47
199610,0.89,0.79
199611,1.08,1.16
199612,0.25,0.42
199701,2.67,2.52
199702,-0.32,-0.55
199703,-2.29,-2.33
199704,1.07,0.95
199705,-0.18,-0.31
199706,0.44,0.32
199707,-0.58,-0.91
199708,2.01,1.79
199709,7.54,7.23
199710,0.80,0.70
199711,-0.82,-0.74
199712,-1.28,-1.11
199801,-1.33,-1.48
199802,1.56,1.33
199803,0.41,0.37
199804,1.27,1.15
199805,0.75,0.62
199806,0.76,0.64
199807,1.72,1.39
199808,-1.86,-2.08
199809,5.67,5.36
199810,2.82,2.72
199811,0.85,0.93
199812,-1.06,-0.89
199901,-1.87,-2.02
199902,-1.52,-1.75
199903,-2.77,-2.81
199904,1.24,1.12
199905,-1.18,-1.31
199906,-0.82,-0.94
199907,2.35,2.02
199908,1.26,1.04
199909,-0.27,-0.58
199910,-2.39,-2.49
199911,-2.36,-2.28
199912,-2.01,-1.84
200001,-1.90,-2.05
200002,0.04,-0.19
200003,0.05,0.01
200004,-2.29,-2.41
200005,-3.18,-3.31
200006,-2.39,-2.51
200007,-3.25,-3.58
200008,-0.73,-0.95
200009,-1.85,-2.16
200010,6.16,6.06
200011,-0.17,-0.09
200012,-1.15,-0.98
200101,1.32,1.17
200102,1.20,0.97
200103,0.10,0.06
200104,0.78,0.66
200105,0.40,0.27
200106,0.64,0.52
200107,-0.07,-0.40
200108,0.36,0.14
200109,-1.76,-2.07
200110,-2.25,-2.35
200111,-0.86,-0.78
200112,-0.25,-0.08
200201,-2.03,-2.18
200202,-2.30,-2.53
200203,-1.89,-1.93
200204,-2.90,-3.02
200205,-3.88,-4.01
200206,-3.91,-4.03
200207,-3.41,-3.74
200208,-3.73,-3.95
200209,3.37,3.06
200210,0.62,0.52
200211,-0.13,-0.05
200212,-0.70,-0.53
200301,-2.80,-2.95
200302,1.38,1.15
200303,-1.14,-1.18
200304,-0.17,-0.29
200305,-1.63,-1.76
200306,-2.38,-2.50
200307,-2.34,-2.67
200308,-1.65,-1.87
200309,-1.39,-1.70
200310,-1.47,-1.57
200311,0.47,0.55
200312,0.19,0.36
200401,-1.28,-1.43
200402,2.42,2.19
200403,-2.84,-2.88
200404,0.12,0.00
200405,-1.62,-1.75
200406,-1.25,-1.37
200407,-1.09,-1.42
200408,-0.35,-0.57
200409,1.82,1.51
200410,5.58,5.48
200411,4.06,4.14
200412,1.37,1.54
200501,6.77,6.62
200502,4.35,4.12
200503,1.04,1.00
200504,2.04,1.92
200505,1.86,1.73
200506,3.36,3.24
200507,1.06,0.73
200508,1.76,1.54
200509,-1.38,-1.69
200510,1.05,0.95
200511,-2.12,-2.04
200512,-1.53,-1.36
200601,-1.26,-1.41
200602,-2.04,-2.27
200603,2.13,2.09
200604,-0.69,-0.81
200605,-2.50,-2.63
200606,-2.10,-2.22
200607,0.37,0.04
200608,-2.00,-2.22
200609,-0.44,-0.75
200610,5.47,5.37
200611,-1.42,-1.34
200612,-0.11,0.06
200701,-1.39,-1.54
200702,-1.23,-1.46
200703,-2.00,-2.04
200704,-1.01,-1.13
200705,-2.44,-2.57
200706,-2.58,-2.70
200707,-1.15,-1.48
200708,0.60,0.38
200709,0.37,0.06
200710,-1.85,-1.95
200711,-1.68,-1.60
200712,1.40,1.57
200801,2.58,2.43
200802,1.22,0.99
200803,-1.34,-1.38
200804,-1.22,-1.34
200805,0.07,-0.06
200806,0.08,-0.04
200807,-1.21,-1.54
200808,-0.76,-0.98
200809,-2.02,-2.33
200810,-1.31,-1.41
200811,-0.29,-0.21
200812,1.82,1.99
200901,-0.93,-1.08
200902,-0.36,-0.59
200903,-2.02,-2.06
200904,-1.13,-1.25
200905,-0.16,-0.29
200906,-0.50,-0.62
200907,-1.73,-2.06
200908,-3.40,-3.62
200909,-1.19,-1.50
200910,-1.61,-1.71
200911,-1.60,-1.52
200912,1.17,1.34
201001,3.89,3.74
201002,1.64,1.41
201003,0.75,0.71
201004,-0.14,-0.26
201005,1.03,0.90
201006,1.89,1.77
201007,1.06,0.73
201008,0.62,0.40
201009,-2.21,-2.52
201010,5.41,5.31
201011,0.52,0.60
201012,4.93,5.10
201101,-0.53,-0.68
201102,2.52,2.29
201103,-0.19,-0.23
201104,0.94,0.82
201105,2.49,2.36
201106,2.71,2.59
201107,2.33,2.00
201108,-1.62,-1.84
201109,0.77,0.46
201110,0.31,0.21
201111,-0.28,-0.20
201112,-0.67,-0.50
201201,-1.07,-1.22
201202,-0.69,-0.92
201203,-1.43,-1.47
201204,-1.65,-1.77
201205,-3.39,-3.52
201206,-3.24,-3.36
201207,-0.62,-0.95
201208,1.26,1.04
201209,-0.16,-0.47
201210,-1.28,-1.38
201211,-1.74,-1.66
201212,0.44,0.61
201301,-0.34,-0.49
201302,-1.57,-1.80
201303,-1.41,-1.45
201304,-1.59,-1.71
201305,-2.06,-2.19
201306,-2.96,-3.08
201307,0.81,0.48
201308,1.72,1.50
201309,4.67,4.36
201310,-0.24,-0.34
201311,1.82,1.90
201312,-0.47,-0.30
201401,-1.69,-1.84
201402,-2.00,-2.23
201403,-1.92,-1.96
201404,-1.79,-1.91
201405,-2.11,-2.24
201406,-3.02,-3.14
201407,-1.84,-2.17
201408,1.52,1.30
201409,3.79,3.48
201410,-2.60,-2.70
201411,-1.83,-1.75
201412,-0.47,-0.30
201501,-0.37,-0.52
201502,-0.42,-0.65
201503,-0.36,-0.40
201504,-0.90,-1.02
201505,1.86,1.73
201506,0.34,0.22
201507,1.17,0.84
201508,1.48,1.26
201509,0.48,0.17
201510,3.06,2.96
201511,-0.02,0.06
201512,-0.49,-0.32
201601,0.70,0.55
201602,-1.20,-1.43
201603,-1.92,-1.96
201604,0.67,0.55
201605,-0.80,-0.93
201606,-1.57,-1.69
201607,-2.21,-2.54
201608,1.63,1.41
201609,2.93,2.62
201610,-1.35,-1.45
201611,-0.67,-0.59
201612,1.07,1.24
201701,3.68,3.53
201702,0.38,0.15
201703,-1.11,-1.15
201704,-0.14,-0.26
201705,0.31,0.18
201706,-0.32,-0.44
201707,1.18,0.85
201708,-1.11,-1.33
201709,-0.63,-0.94
201710,-2.26,-2.36
201711,-2.85,-2.77
201712,-2.54,-2.37
201801,-1.82,-1.97
201802,-1.55,-1.78
201803,-0.52,-0.56
201804,-2.12,-2.24
201805,-3.44,-3.57
201806,-3.96,-4.08
201807,-0.17,-0.50
201808,0.61,0.39
201809,-2.58,-2.89
201810,3.97,3.87
201811,-0.79,-0.71
201812,-0.70,-0.53
201901,1.16,1.01
201902,4.80,4.57
201903,2.02,1.98
201904,0.23,0.11
201905,5.32,5.19
201906,4.24,4.12
201907,1.42,1.09
201908,-2.47,-2.69
201909,-2.08,-2.39
201910,-1.72,-1.82
201911,3.68,3.76
201912,1.45,1.62
202001,-1.03,-1.18
202002,-0.88,-1.11
202003,0.98,0.94
202004,-0.62,-0.74
202005,-1.08,-1.21
202006,-1.21,-1.33
202007,-2.05,-2.38
