Kane County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,6.93,-5.22
199002,7.40,-4.76
199003,7.15,-5.03
199004,8.15,-3.99
199005,8.00,-4.14
199006,8.33,-3.82
199007,8.41,-3.74
199008,7.56,-4.60
199009,8.99,-3.15
199010,9.17,-3.00
199011,9.63,-2.54
199012,10.30,-1.87
199101,10.30,-1.85
199102,9.37,-2.79
199103,11.03,-1.15
199104,10.12,-2.02
199105,10.01,-2.13
199106,9.89,-2.26
199107,9.42,-2.73
199108,9.52,-2.64
199109,9.15,-2.99
199110,9.26,-2.91
199111,9.67,-2.50
199112,10.24,-1.93
199201,10.38,-1.77
199202,11.63,-0.53
199203,12.59,0.41
199204,12.64,0.50
199205,14.23,2.09
199206,14.23,2.08
199207,14.53,2.38
199208,16.13,3.97
199209,15.94,3.80
199210,16.81,4.64
199211,15.95,3.78
199212,16.18,4.01
199301,20.29,8.14
199302,22.32,10.16
199303,20.32,8.14
199304,20.22,8.08
199305,18.88,6.74
199306,18.97,6.82
199307,18.04,5.89
199308,17.21,5.05
199309,16.28,4.14
199310,16.43,4.26
199311,17.10,4.93
199312,16.02,3.85
199401,11.36,-0.79
199402,9.49,-2.67
199403,8.82,-3.36
199404,9.88,-2.26
199405,9.62,-2.52
199406,9.40,-2.75
199407,9.62,-2.53
199408,8.89,-3.27
199409,9.87,-2.27
199410,9.12,-3.05
199411,9.41,-2.76
199412,10.22,-1.95
199501,12.56,0.41
199502,11.81,-0.35
199503,13.96,1.78
199504,14.26,2.12
199505,15.26,3.12
199506,15.68,3.53
199507,16.06,3.91
199508,16.03,3.87
199509,15.64,3.50
199510,14.55,2.38
199511,13.90,1.73
199512,13.40,1.23
199601,11.45,-0.70
199602,12.38,0.22
199603,10.36,-1.82
199604,9.10,-3.04
199605,8.03,-4.11
199606,7.55,-4.60
199607,7.68,-4.47
199608,7.17,-4.99
199609,7.42,-4.72
199610,8.82,-3.35
199611,9.86,-2.31
199612,10.39,-1.78
199701,12.13,-0.02
199702,10.77,-1.39
199703,10.24,-1.94
199704,11.35,-0.79
199705,11.42,-0.72
199706,11.96,-0.19
199707,11.96,-0.19
199708,13.68,1.52
199709,17.04,4.90
199710,16.46,4.29
199711,15.58,3.41
199712,14.85,2.68
199801,13.16,1.01
199802,14.57,2.41
199803,16.00,3.82
199804,15.75,3.61
199805,15.92,3.78
199806,15.80,3.65
199807,16.55,4.40
199808,14.96,2.80
199809,14.13,1.99
199810,15.58,3.41
199811,16.22,4.05
199812,16.12,3.95
199901,15.72,3.57
199902,14.28,2.12
199903,12.85,0.67
199904,13.34,1.20
199905,13.17,1.03
199906,13.39,1.24
199907,14.17,2.02
199908,15.43,3.27
199909,12.84,0.70
199910,10.60,-1.57
199911,9.46,-2.71
199912,9.22,-2.95
200001,9.50,-2.65
200002,10.55,-1.61
200003,11.97,-0.21
200004,10.61,-1.53
200005,10.37,-1.77
200006,9.98,-2.17
200007,7.97,-4.18
200008,7.45,-4.71
200009,6.90,-5.24
200010,10.90,-1.27
200011,11.17,-1.00
200012,11.29,-0.88
200101,12.29,0.14
200102,12.14,-0.02
200103,11.94,-0.24
200104,12.74,0.60
200105,12.80,0.66
200106,12.91,0.76
200107,13.62,1.47
200108,13.85,1.69
200109,13.90,1.76
200110,10.05,-2.12
200111,10.36,-1.81
200112,11.14,-1.03
200201,9.69,-2.46
200202,8.30,-3.86
200203,7.33,-4.85
200204,6.57,-5.57
200205,6.33,-5.81
200206,5.86,-6.29
200207,5.35,-6.80
200208,3.88,-8.28
200209,6.03,-6.11
200210,7.13,-5.04
200211,7.35,-4.82
200212,7.07,-5.10
200301,7.08,-5.07
200302,9.09,-3.07
200303,9.55,-2.63
200304,9.96,-2.18
200305,10.46,-1.68
200306,10.47,-1.68
200307,10.71,-1.44
200308,11.57,-0.59
200309,9.60,-2.54
200310,9.01,-3.16
200311,9.15,-3.02
200312,9.58,-2.59
200401,9.82,-2.33
200402,9.98,-2.18
200403,9.33,-2.85
200404,9.86,-2.28
200405,9.39,-2.75
200406,9.58,-2.57
200407,9.73,-2.42
200408,10.05,-2.11
200409,11.28,-0.86
200410,14.25,2.08
200411,15.78,3.61
200412,15.81,3.64
200501,19.52,7.37
200502,20.05,7.89
200503,21.45,9.27
200504,21.74,9.60
200505,22.14,10.00
200506,22.71,10.56
200507,22.41,10.26
200508,23.08,10.92
200509,21.67,9.53
200510,19.60,7.43
200511,17.11,4.94
200512,16.29,4.12
200601,12.91,0.76
200602,10.47,-1.69
200603,11.50,-0.68
200604,10.62,-1.52
200605,10.22,-1.92
200606,9.68,-2.47
200607,10.84,-1.31
200608,9.57,-2.59
200609,9.94,-2.20
200610,11.96,-0.21
200611,12.05,-0.12
200612,12.52,0.35
200701,12.03,-0.12
200702,12.31,0.15
200703,10.27,-1.91
200704,10.49,-1.65
200705,10.64,-1.50
200706,10.46,-1.69
200707,9.92,-2.23
200708,11.11,-1.05
200709,11.63,-0.51
200710,8.17,-4.00
200711,8.43,-3.74
200712,9.47,-2.70
200801,11.60,-0.55
200802,12.42,0.26
200803,12.24,0.06
200804,11.51,-0.63
200805,11.68,-0.46
200806,11.77,-0.38
200807,11.19,-0.96
200808,10.55,-1.61
200809,9.50,-2.64
200810,9.83,-2.34
200811,10.43,-1.74
200812,10.61,-1.56
200901,8.82,-3.33
200902,8.31,-3.85
200903,8.16,-4.02
200904,8.54,-3.60
200905,9.38,-2.76
200906,9.78,-2.37
200907,9.76,-2.39
200908,8.62,-3.54
200909,9.04,-3.10
200910,8.72,-3.45
200911,8.02,-4.15
200912,7.72,-4.45
201001,10.21,-1.94
201002,10.80,-1.36
201003,11.97,-0.21
201004,11.92,-0.22
201005,10.96,-1.18
201006,10.60,-1.55
201007,11.23,-0.92
201008,12.68,0.52
201009,12.17,0.03
201010,15.71,3.54
201011,16.29,4.12
201012,18.04,5.87
201101,15.03,2.88
201102,15.30,3.14
201103,14.82,2.64
201104,15.34,3.20
201105,15.96,3.82
201106,15.86,3.71
201107,16.03,3.88
201108,15.12,2.96
201109,16.37,4.23
201110,13.90,1.73
201111,13.75,1.58
201112,10.97,-1.20
201201,11.72,-0.43
201202,10.81,-1.35
201203,10.64,-1.54
201204,10.18,-1.96
201205,9.31,-2.83
201206,9.22,-2.93
201207,9.17,-2.98
201208,10.70,-1.46
201209,10.40,-1.74
201210,9.76,-2.41
201211,9.34,-2.83
201212,9.99,-2.18
201301,10.14,-2.01
201302,9.46,-2.70
201303,9.61,-2.57
201304,9.46,-2.68
201305,9.86,-2.28
201306,9.87,-2.28
201307,10.49,-1.66
201308,10.53,-1.63
201309,12.53,0.39
201310,12.73,0.56
201311,14.25,2.08
201312,13.56,1.39
201401,12.97,0.82
201402,13.19,1.03
201403,12.84,0.66
201404,12.93,0.79
201405,13.02,0.88
201406,13.01,0.86
201407,11.97,-0.18
201408,11.81,-0.35
201409,11.55,-0.59
201410,10.79,-1.38
201411,9.14,-3.03
201412,9.47,-2.70
201501,10.29,-1.86
201502,11.28,-0.88
201503,12.38,0.20
201504,12.38,0.24
201505,13.77,1.63
201506,14.69,2.54
201507,15.38,3.23
201508,15.36,3.20
201509,13.89,1.75
201510,16.59,4.42
201511,17.12,4.95
201512,16.84,4.67
201601,17.10,4.95
201602,16.32,4.16
201603,15.20,3.02
201604,16.24,4.10
201605,14.91,2.77
201606,14.19,2.04
201607,13.19,1.04
201608,13.30,1.14
201609,14.24,2.10
201610,12.14,-0.03
201611,12.28,0.11
201612,13.30,1.13
201701,14.83,2.68
201702,15.48,3.32
201703,15.92,3.74
201704,15.19,3.05
201705,15.12,2.98
201706,14.94,2.79
201707,16.18,4.03
201708,15.08,2.92
201709,13.55,1.41
201710,12.94,0.77
201711,12.11,-0.06
201712,10.38,-1.79
201801,8.15,-4.00
201802,7.54,-4.62
201803,7.90,-4.28
201804,7.51,-4.63
201805,7.33,-4.81
201806,7.32,-4.83
201807,7.21,-4.94
201808,8.10,-4.06
201809,7.46,-4.68
201810,10.31,-1.86
201811,10.68,-1.49
201812,11.25,-0.92
201901,12.17,0.02
201902,14.80,2.64
201903,15.68,3.50
201904,16.13,3.99
201905,18.20,6.06
201906,18.52,6.37
201907,17.39,5.24
201908,15.83,3.67
201909,15.93,3.79
201910,13.08,0.91
201911,15.44,3.27
201912,16.38,4.21
202001,14.89,2.74
202002,12.11,-0.05
202003,11.81,-0.37
202004,11.53,-0.61
202005,9.19,-2.95
202006,8.95,-3.20
202007,8.86,-3.29
202008,8.58,-3.58
202009,8.46,-3.68
202010,8.50,-3.67
202011,6.27,-5.90
202012,5.10,-7.07
202101,5.74,-6.41
202102,5.52,-6.64
202103,4.67,-7.51
202104,4.42,-7.72
202105,4.41,-7.73
202106,4.47,-7.68
202107,6.15,-6.00
202108,8.01,-4.15
202109,8.86,-3.28
202110,10.49,-1.68
202111,9.95,-2.22
202112,11.82,-0.35
202201,11.04,-1.11
202202,11.18,-0.98
202203,10.64,-1.54
202204,10.54,-1.60
202205,10.49,-1.65
202206,10.64,-1.51
202207,9.78,-2.37
202208,9.70,-2.46
202209,10.23,-1.91
202210,9.50,-2.67
202211,10.41,-1.76
202212,9.49,-2.68
202301,12.44,0.29
202302,13.30,1.14
202303,16.63,4.45
202304,16.74,4.60
202305,17.13,4.99
202306,17.47,5.32
202307,16.42,4.27
202308,16.79,4.63
202309,16.61,4.47
202310,15.91,3.74
202311,15.61,3.44
202312,14.41,2.24
202401,12.80,0.65
202402,13.27,1.11
202403,11.12,-1.06
