Millard County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,51.3,1.4
199002,51.5,1.6
199003,51.3,1.4
199004,51.2,1.3
199005,51.1,1.2
199006,51.3,1.4
199007,51.2,1.3
199008,51.3,1.4
199009,51.6,1.7
199010,51.7,1.8
199011,51.6,1.7
199012,50.8,0.9
199101,50.0,0.1
199102,50.8,0.9
199103,50.3,0.4
199104,49.8,-0.1
199105,49.5,-0.4
199106,49.2,-0.7
199107,49.2,-0.7
199108,49.3,-0.6
199109,48.9,-1.0
199110,48.9,-1.0
199111,48.8,-1.1
199112,49.4,-0.5
199201,49.7,-0.2
199202,49.8,-0.1
199203,50.2,0.3
199204,51.1,1.2
199205,51.7,1.8
199206,51.8,1.9
199207,51.6,1.7
199208,51.6,1.7
199209,51.8,1.9
199210,51.9,2.0
199211,51.6,1.7
199212,51.6,1.7
199301,51.5,1.6
199302,50.8,0.9
199303,50.7,0.8
199304,50.0,0.1
199305,49.9,0.0
199306,49.6,-0.3
199307,49.4,-0.5
199308,49.2,-0.7
199309,49.0,-0.9
199310,48.6,-1.3
199311,48.6,-1.3
199312,48.9,-1.0
199401,49.5,-0.4
199402,49.8,-0.1
199403,49.9,0.0
199404,50.1,0.2
199405,50.1,0.2
199406,50.8,0.9
199407,51.3,1.4
199408,51.7,1.8
199409,52.0,2.1
199410,52.0,2.1
199411,51.8,1.9
199412,51.9,2.0
199501,51.8,1.9
199502,52.5,2.6
199503,52.3,2.4
199504,52.0,2.1
199505,51.3,1.4
199506,50.4,0.5
199507,50.1,0.2
199508,50.0,0.1
199509,50.0,0.1
199510,50.1,0.2
199511,51.2,1.3
199512,51.4,1.5
199601,51.3,1.4
199602,50.9,1.0
199603,50.9,1.0
199604,51.1,1.2
199605,51.6,1.7
199606,52.4,2.5
199607,52.7,2.8
199608,52.6,2.7
199609,52.3,2.4
199610,52.2,2.3
199611,51.9,2.0
199612,52.0,2.1
199701,51.7,1.8
199702,51.4,1.5
199703,51.6,1.7
199704,51.3,1.4
199705,51.4,1.5
199706,51.2,1.3
199707,50.8,0.9
199708,50.8,0.9
199709,51.0,1.1
199710,51.0,1.1
199711,51.0,1.1
199712,50.4,0.5
199801,51.0,1.1
199802,51.2,1.3
199803,50.8,0.9
199804,50.8,0.9
199805,50.4,0.5
199806,50.0,0.1
199807,50.3,0.4
199808,50.3,0.4
199809,50.3,0.4
199810,50.2,0.3
199811,50.2,0.3
199812,50.2,0.3
199901,50.0,0.1
199902,50.2,0.3
199903,50.5,0.6
199904,50.3,0.4
199905,50.3,0.4
199906,50.8,0.9
199907,50.7,0.8
199908,50.6,0.7
199909,50.4,0.5
199910,50.8,0.9
199911,51.1,1.2
199912,51.4,1.5
200001,51.5,1.6
200002,51.7,1.8
200003,51.5,1.6
200004,52.3,2.4
200005,52.9,3.0
200006,53.1,3.2
200007,53.2,3.3
200008,53.4,3.5
200009,53.6,3.7
200010,53.4,3.5
200011,52.2,2.3
200012,52.4,2.5
200101,51.7,1.8
200102,51.3,1.4
200103,51.6,1.7
200104,51.2,1.3
200105,51.2,1.3
200106,51.3,1.4
200107,51.1,1.2
200108,51.2,1.3
200109,51.5,1.6
200110,51.8,1.9
200111,52.7,2.8
200112,52.2,2.3
200201,52.4,2.5
200202,52.1,2.2
200203,51.7,1.8
200204,51.9,2.0
200205,51.6,1.7
200206,51.7,1.8
200207,52.0,2.1
200208,51.7,1.8
200209,51.4,1.5
200210,50.9,1.0
200211,50.5,0.6
200212,51.0,1.1
200301,51.7,1.8
200302,51.9,2.0
200303,52.2,2.3
200304,51.9,2.0
200305,52.0,2.1
200306,51.8,1.9
200307,51.9,2.0
200308,52.1,2.2
200309,52.1,2.2
200310,52.8,2.9
200311,52.7,2.8
200312,52.8,2.9
200401,51.6,1.7
200402,51.3,1.4
200403,51.7,1.8
200404,51.9,2.0
200405,51.9,2.0
200406,51.9,2.0
200407,51.5,1.6
200408,51.2,1.3
200409,51.0,1.1
200410,50.6,0.7
200411,50.7,0.8
200412,50.6,0.7
200501,51.4,1.5
200502,52.0,2.1
200503,51.4,1.5
200504,51.1,1.2
200505,51.0,1.1
200506,50.6,0.7
200507,50.8,0.9
200508,50.9,1.0
200509,50.9,1.0
200510,50.9,1.0
200511,51.3,1.4
200512,51.3,1.4
200601,51.1,1.2
200602,50.9,1.0
200603,50.7,0.8
200604,51.0,1.1
200605,51.2,1.3
200606,51.8,1.9
200607,51.8,1.9
200608,51.9,2.0
200609,51.7,1.8
200610,51.5,1.6
200611,51.5,1.6
200612,51.1,1.2
200701,49.9,0.0
200702,50.2,0.3
200703,50.7,0.8
200704,50.7,0.8
200705,50.6,0.7
200706,50.6,0.7
200707,50.7,0.8
200708,51.0,1.1
200709,51.2,1.3
200710,51.3,1.4
200711,51.4,1.5
200712,51.4,1.5
200801,52.2,2.3
200802,51.9,2.0
200803,51.5,1.6
200804,51.1,1.2
200805,50.6,0.7
200806,50.4,0.5
200807,50.2,0.3
200808,50.1,0.2
200809,50.1,0.2
200810,50.2,0.3
200811,50.3,0.4
200812,50.5,0.6
200901,50.8,0.9
200902,51.0,1.1
200903,51.1,1.2
200904,51.3,1.4
200905,51.8,1.9
200906,51.5,1.6
200907,51.4,1.5
200908,51.2,1.3
200909,51.5,1.6
200910,51.1,1.2
200911,50.9,1.0
200912,50.4,0.5
201001,50.4,0.5
201002,50.2,0.3
201003,50.2,0.3
201004,50.1,0.2
201005,49.3,-0.6
201006,49.5,-0.4
201007,49.5,-0.4
201008,49.6,-0.3
201009,49.4,-0.5
201010,49.9,0.0
201011,49.5,-0.4
201012,50.4,0.5
201101,50.0,0.1
201102,49.8,-0.1
201103,49.9,0.0
201104,49.9,0.0
201105,50.0,0.1
201106,49.8,-0.1
201107,49.7,-0.2
201108,49.9,0.0
201109,49.9,0.0
201110,49.8,-0.1
201111,49.9,0.0
201112,49.3,-0.6
201201,50.0,0.1
201202,50.2,0.3
201203,50.4,0.5
201204,50.9,1.0
201205,51.5,1.6
201206,52.0,2.1
201207,52.1,2.2
201208,52.1,2.2
201209,52.2,2.3
201210,52.3,2.4
201211,52.6,2.7
201212,53.0,3.1
201301,51.6,1.7
201302,51.2,1.3
201303,51.1,1.2
201304,50.7,0.8
201305,50.5,0.6
201306,50.5,0.6
201307,50.7,0.8
201308,50.6,0.7
201309,50.4,0.5
201310,50.0,0.1
201311,49.8,-0.1
201312,49.0,-0.9
201401,50.3,0.4
201402,51.1,1.2
201403,51.0,1.1
201404,51.2,1.3
201405,51.3,1.4
201406,51.1,1.2
201407,51.0,1.1
201408,50.7,0.8
201409,51.0,1.1
201410,51.6,1.7
201411,51.6,1.7
201412,52.6,2.7
201501,52.7,2.8
201502,53.0,3.1
201503,53.3,3.4
201504,53.3,3.4
201505,53.1,3.2
201506,53.5,3.6
201507,53.2,3.3
201508,53.5,3.6
201509,53.7,3.8
201510,53.7,3.8
201511,53.4,3.5
201512,52.9,3.0
201601,52.5,2.6
201602,51.7,1.8
201603,51.5,1.6
201604,51.6,1.7
201605,51.7,1.8
201606,51.7,1.8
201607,52.0,2.1
201608,51.9,2.0
201609,51.5,1.6
201610,51.5,1.6
201611,52.2,2.3
201612,52.1,2.2
201701,52.0,2.1
201702,52.7,2.8
201703,52.9,3.0
201704,52.7,2.8
201705,52.8,2.9
201706,52.7,2.8
201707,52.8,2.9
201708,52.8,2.9
201709,52.7,2.8
201710,52.1,2.2
201711,52.3,2.4
201712,52.6,2.7
201801,53.2,3.3
201802,52.6,2.7
201803,52.1,2.2
201804,52.4,2.5
201805,52.5,2.6
201806,52.5,2.6
201807,52.6,2.7
201808,52.6,2.7
201809,53.2,3.3
201810,53.2,3.3
201811,52.4,2.5
201812,52.2,2.3
201901,51.8,1.9
201902,51.6,1.7
201903,51.6,1.7
201904,51.6,1.7
201905,51.0,1.1
201906,50.5,0.6
201907,50.2,0.3
