Millard County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,802,74
199002,802,74
199003,802,74
199004,798,70
199005,793,65
199006,846,119
199007,805,77
199008,823,93
199009,883,153
199010,883,153
199011,883,153
199012,883,153
199101,883,155
199102,883,155
199103,883,155
199104,877,149
199105,869,141
199106,813,86
199107,797,69
199108,837,107
199109,762,32
199110,762,32
199111,762,32
199112,762,32
199201,762,34
199202,762,34
199203,762,34
199204,776,48
199205,818,90
199206,838,111
199207,743,15
199208,745,15
199209,772,42
199210,778,48
199211,778,48
199212,778,48
199301,778,50
199302,778,50
199303,778,50
199304,764,36
199305,749,21
199306,691,-36
199307,641,-87
199308,550,-180
199309,521,-209
199310,515,-215
199311,515,-215
199312,515,-215
199401,515,-213
199402,515,-213
199403,515,-213
199404,515,-213
199405,515,-213
199406,678,-49
199407,854,126
199408,998,268
199409,1043,313
199410,1043,313
199411,1043,313
199412,1043,313
199501,1043,315
199502,1043,315
199503,1043,315
199504,1043,315
199505,1010,282
199506,824,97
199507,698,-30
199508,670,-60
199509,659,-71
199510,659,-71
199511,659,-71
199512,659,-71
199601,659,-69
199602,659,-69
199603,659,-69
199604,659,-69
199605,681,-47
199606,832,105
199607,948,220
199608,916,186
199609,872,142
199610,872,142
199611,872,142
199612,872,142
199701,872,144
199702,872,144
199703,872,144
199704,872,144
199705,881,153
199706,816,89
199707,678,-50
199708,691,-39
199709,714,-16
199710,714,-16
199711,714,-16
199712,714,-16
199801,714,-14
199802,714,-14
199803,714,-14
199804,714,-14
199805,692,-36
199806,609,-118
199807,724,-4
199808,725,-5
199809,735,5
199810,735,5
199811,735,5
199812,735,5
199901,735,7
199902,735,7
199903,735,7
199904,735,7
199905,735,7
199906,813,86
199907,799,71
199908,747,17
199909,715,-15
199910,715,-15
199911,715,-15
199912,715,-15
200001,715,-13
200002,715,-13
200003,715,-13
200004,723,-5
200005,760,32
200006,806,79
200007,854,126
200008,943,213
200009,969,239
200010,969,239
200011,969,239
200012,969,239
200101,969,241
200102,969,241
200103,969,241
200104,961,233
200105,966,238
200106,971,244
200107,933,205
200108,957,227
200109,1009,279
200110,1014,284
200111,1014,284
200112,1014,284
200201,1014,286
200202,1014,286
200203,1014,286
200204,1019,291
200205,990,262
200206,1010,283
200207,1116,388
200208,1028,298
200209,968,238
200210,963,233
200211,963,233
200212,963,233
200301,963,235
200302,963,235
200303,963,235
200304,958,230
200305,965,237
200306,924,197
200307,943,215
200308,1009,279
200309,1020,290
200310,1030,300
200311,1030,300
200312,1030,300
200401,1030,302
200402,1030,302
200403,1030,302
200404,1030,302
200405,1028,300
200406,1037,310
200407,902,174
200408,770,40
200409,750,20
200410,740,10
200411,740,10
200412,740,10
200501,740,12
200502,740,12
200503,740,12
200504,740,12
200505,731,3
200506,645,-82
200507,720,-8
200508,767,37
200509,766,36
200510,766,36
200511,766,36
200512,766,36
200601,766,38
200602,766,38
200603,766,38
200604,766,38
200605,787,59
200606,912,185
200607,923,195
200608,938,208
200609,918,188
200610,918,188
200611,918,188
200612,918,188
200701,918,190
200702,918,190
200703,918,190
200704,918,190
200705,915,187
200706,916,189
200707,950,222
200708,1049,319
200709,1081,351
200710,1081,351
200711,1081,351
200712,1081,351
200801,1081,353
200802,1081,353
200803,1081,353
200804,1081,353
200805,1054,326
200806,991,264
200807,929,201
200808,878,148
200809,886,156
200810,886,156
200811,886,156
200812,886,156
200901,886,158
200902,886,158
200903,886,158
200904,886,158
200905,916,188
200906,859,132
200907,825,97
200908,756,26
200909,802,72
200910,802,72
200911,802,72
200912,802,72
201001,802,74
201002,802,74
201003,802,74
201004,802,74
201005,763,35
201006,814,87
201007,814,86
201008,825,95
201009,799,69
201010,799,69
201011,799,69
201012,799,69
201101,799,71
201102,799,71
201103,799,71
201104,799,71
201105,799,71
201106,754,27
201107,717,-11
201108,801,71
201109,796,66
201110,796,66
201111,796,66
201112,796,66
201201,796,68
201202,796,68
201203,796,68
201204,801,73
201205,835,107
201206,940,213
201207,980,252
201208,989,259
201209,996,266
201210,996,266
201211,996,266
201212,996,266
201301,996,268
201302,996,268
201303,996,268
201304,991,263
201305,974,246
201306,994,267
201307,1052,324
201308,1008,278
201309,981,251
201310,981,251
201311,981,251
201312,981,251
201401,981,253
201402,981,253
201403,981,253
201404,981,253
201405,986,258
201406,924,197
201407,911,183
201408,795,65
201409,838,108
201410,845,115
201411,845,115
201412,845,115
201501,845,117
201502,845,117
201503,845,117
201504,845,117
201505,834,106
201506,950,223
201507,836,108
201508,951,221
201509,983,253
201510,985,255
201511,985,255
201512,985,255
201601,985,257
201602,985,257
201603,985,257
201604,985,257
201605,988,260
201606,987,260
201607,1094,366
201608,1082,352
201609,1005,275
201610,1005,275
201611,1005,275
201612,1005,275
201701,1005,277
201702,1005,277
201703,1005,277
201704,1005,277
201705,1009,281
201706,964,237
201707,993,265
201708,1017,287
201709,1000,270
201710,991,261
201711,991,261
201712,991,261
201801,991,263
201802,991,263
201803,991,263
201804,996,268
201805,1004,276
201806,992,265
201807,1023,295
201808,1048,318
201809,1144,414
201810,1144,414
201811,1144,414
201812,1144,414
201901,1144,416
201902,1144,416
201903,1144,416
201904,1139,411
201905,1113,385
201906,1002,275
201907,916,188
201908,931,201
201909,871,141
201910,871,141
201911,871,141
201912,871,141
202001,871,143
202002,871,143
202003,871,143
202004,871,143
202005,914,186
202006,951,224
202007,994,266
202008,1095,365
202009,1124,394
202010,1130,400
202011,1130,400
202012,1130,400
202101,1130,402
202102,1130,402
202103,1130,402
202104,1130,402
202105,1111,383
202106,1277,550
202107,1316,588
202108,1141,411
202109,1145,415
202110,1139,409
202111,1139,409
202112,1139,409
202201,1139,411
202202,1139,411
202203,1139,411
202204,1139,411
202205,1130,402
202206,1020,293
202207,1029,301
202208,1093,363
202209,1127,397
202210,1127,397
202211,1127,397
202212,1127,397
202301,1127,399
202302,1127,399
202303,1127,399
202304,1127,399
202305,1138,410
202306,1036,309
202307,1022,294
202308,951,221
202309,889,159
202310,889,159
202311,889,159
202312,889,159
202401,889,161
202402,889,161
202403,889,161
