Millard County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5743,-475
199002,5689,-528
199003,5750,-468
199004,5799,-416
199005,5832,-383
199006,5794,-421
199007,5794,-421
199008,5794,-421
199009,5740,-473
199010,5700,-513
199011,5728,-488
199012,6026,-189
199101,6310,92
199102,6061,-156
199103,6223,5
199104,6415,200
199105,6505,290
199106,6546,331
199107,6546,331
199108,6546,331
199109,6618,405
199110,6620,407
199111,6644,428
199112,6441,226
199201,6336,118
199202,6299,82
199203,6124,-94
199204,5843,-372
199205,5633,-582
199206,5616,-599
199207,5616,-599
199208,5616,-599
199209,5583,-630
199210,5522,-691
199211,5643,-573
199212,5654,-561
199301,5669,-549
199302,5920,-297
199303,5958,-260
199304,6178,-37
199305,6211,-4
199306,6268,53
199307,6268,53
199308,6274,59
199309,6310,97
199310,6458,245
199311,6455,239
199312,6354,139
199401,6127,-91
199402,6003,-214
199403,5970,-248
199404,5912,-303
199405,5911,-304
199406,5808,-407
199407,5808,-407
199408,5802,-413
199409,5752,-461
199410,5765,-448
199411,5829,-387
199412,5794,-421
199501,5810,-408
199502,5598,-619
199503,5676,-542
199504,5780,-435
199505,5987,-228
199506,6128,-87
199507,6128,-87
199508,6128,-87
199509,6138,-75
199510,6079,-134
199511,5692,-524
199512,5625,-590
199601,5635,-583
199602,5786,-431
199603,5774,-444
199604,5703,-512
199605,5537,-678
199606,5405,-810
199607,5405,-810
199608,5405,-810
199609,5462,-751
199610,5500,-713
199611,5625,-591
199612,5582,-633
199701,5684,-534
199702,5795,-422
199703,5725,-493
199704,5823,-392
199705,5791,-424
199706,5824,-391
199707,5824,-391
199708,5824,-391
199709,5790,-423
199710,5771,-442
199711,5769,-447
199712,5998,-217
199801,5795,-423
199802,5727,-490
199803,5847,-371
199804,5842,-373
199805,5966,-249
199806,6059,-156
199807,6059,-156
199808,6059,-156
199809,6047,-166
199810,6108,-105
199811,6094,-122
199812,6112,-103
199901,6162,-56
199902,6092,-125
199903,6004,-214
199904,6070,-145
199905,6067,-148
199906,5978,-237
199907,5978,-237
199908,5978,-237
199909,6021,-192
199910,5880,-333
199911,5770,-446
199912,5662,-553
200001,5618,-600
200002,5551,-666
200003,5618,-600
200004,5323,-892
200005,5166,-1049
200006,5138,-1077
200007,5138,-1077
200008,5138,-1077
200009,5102,-1111
200010,5182,-1031
200011,5592,-624
200012,5527,-688
200101,5791,-427
200102,5922,-295
200103,5835,-383
200104,5959,-256
200105,5950,-265
200106,5947,-268
200107,5947,-268
200108,5947,-268
200109,5899,-314
200110,5788,-425
200111,5483,-733
200112,5652,-563
200201,5589,-629
200202,5678,-539
200203,5848,-370
200204,5773,-442
200205,5848,-367
200206,5841,-374
200207,5841,-374
200208,5841,-374
200209,5899,-314
200210,6083,-130
200211,6208,-8
200212,6029,-186
200301,5756,-462
200302,5713,-504
200303,5575,-643
200304,5685,-530
200305,5660,-555
200306,5677,-538
200307,5677,-538
200308,5677,-538
200309,5664,-549
200310,5415,-798
200311,5458,-758
200312,5442,-773
200401,5881,-337
200402,5986,-231
200403,5840,-378
200404,5765,-450
