Millard County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,65.8,2.2
199002,65.9,2.3
199003,65.6,2.0
199004,65.4,1.8
199005,65.3,1.7
199006,65.6,2.0
199007,65.4,1.8
199008,65.5,1.9
199009,65.7,2.1
199010,65.8,2.2
199011,65.6,2.0
199012,64.8,1.2
199101,63.9,0.3
199102,64.8,1.2
199103,64.4,0.8
199104,63.9,0.3
199105,63.5,-0.1
199106,63.2,-0.4
199107,63.2,-0.4
199108,63.3,-0.3
199109,62.9,-0.7
199110,62.9,-0.7
199111,62.6,-1.0
199112,62.9,-0.7
199201,63.2,-0.4
199202,63.0,-0.6
199203,63.5,-0.1
199204,64.4,0.8
199205,65.2,1.6
199206,65.3,1.7
199207,65.0,1.4
199208,65.1,1.5
199209,65.3,1.7
199210,65.5,1.9
199211,65.2,1.6
199212,65.3,1.7
199301,65.1,1.5
199302,64.1,0.5
199303,64.1,0.5
199304,63.3,-0.3
199305,63.2,-0.4
199306,62.8,-0.8
199307,62.7,-0.9
199308,62.5,-1.1
199309,62.4,-1.2
199310,61.9,-1.7
199311,62.0,-1.6
199312,62.2,-1.4
199401,63.0,-0.6
199402,63.7,0.1
199403,64.0,0.4
199404,64.1,0.5
199405,64.1,0.5
199406,65.0,1.4
199407,65.5,1.9
199408,65.9,2.3
199409,66.0,2.4
199410,66.0,2.4
199411,65.6,2.0
199412,65.6,2.0
199501,65.3,1.7
199502,66.1,2.5
199503,65.7,2.1
199504,65.4,1.8
199505,64.6,1.0
199506,63.5,-0.1
199507,63.1,-0.5
199508,63.1,-0.5
199509,63.1,-0.5
199510,63.6,0.0
199511,65.1,1.5
199512,65.5,1.9
199601,65.8,2.2
199602,65.2,1.6
199603,65.4,1.8
199604,65.8,2.2
199605,66.5,2.9
199606,67.5,3.9
199607,67.8,4.2
199608,67.8,4.2
199609,67.4,3.8
199610,67.1,3.5
199611,66.4,2.8
199612,66.4,2.8
199701,65.8,2.2
199702,65.3,1.7
199703,65.7,2.1
199704,65.2,1.6
199705,65.4,1.8
199706,64.9,1.3
