Millard County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,36.8,0.7
199002,37.0,0.9
199003,36.9,0.8
199004,36.9,0.8
199005,36.8,0.7
199006,37.0,0.9
199007,37.0,0.9
199008,37.0,0.9
199009,37.4,1.3
199010,37.5,1.4
199011,37.5,1.4
199012,36.8,0.7
199101,36.1,0.0
199102,36.6,0.5
199103,36.2,0.1
199104,35.7,-0.4
199105,35.5,-0.6
199106,35.3,-0.8
199107,35.2,-0.9
199108,35.3,-0.8
199109,34.9,-1.2
199110,34.9,-1.2
199111,35.0,-1.1
199112,35.8,-0.3
199201,36.2,0.1
199202,36.5,0.4
199203,37.0,0.9
199204,37.7,1.6
199205,38.3,2.2
199206,38.4,2.3
199207,38.2,2.1
199208,38.1,2.0
199209,38.2,2.1
199210,38.4,2.3
199211,38.1,2.0
199212,37.9,1.8
199301,38.0,1.9
199302,37.5,1.4
199303,37.3,1.2
199304,36.8,0.7
199305,36.7,0.6
199306,36.4,0.3
199307,36.2,0.1
199308,35.9,-0.2
199309,35.6,-0.5
199310,35.3,-0.8
199311,35.2,-0.9
199312,35.6,-0.5
199401,35.9,-0.2
199402,36.0,-0.1
199403,35.9,-0.2
199404,36.2,0.1
199405,36.1,0.0
199406,36.7,0.6
199407,37.2,1.1
199408,37.6,1.5
199409,38.0,1.9
199410,38.0,1.9
199411,37.9,1.8
199412,38.1,2.0
199501,38.4,2.3
199502,38.8,2.7
199503,38.8,2.7
199504,38.5,2.4
199505,38.1,2.0
199506,37.3,1.2
199507,37.0,0.9
199508,36.9,0.8
199509,36.8,0.7
199510,36.6,0.5
199511,37.2,1.1
199512,37.2,1.1
199601,36.9,0.8
199602,36.5,0.4
199603,36.4,0.3
199604,36.5,0.4
199605,36.7,0.6
199606,37.3,1.2
199607,37.6,1.5
199608,37.4,1.3
199609,37.3,1.2
199610,37.4,1.3
199611,37.4,1.3
199612,37.6,1.5
199701,37.6,1.5
199702,37.5,1.4
199703,37.5,1.4
199704,37.4,1.3
199705,37.4,1.3
199706,37.4,1.3
199707,37.0,0.9
199708,37.3,1.2
199709,37.6,1.5
199710,37.5,1.4
199711,37.5,1.4
199712,36.9,0.8
199801,37.2,1.1
199802,37.6,1.5
199803,37.5,1.4
199804,37.5,1.4
199805,37.3,1.2
199806,36.7,0.6
199807,37.1,1.0
199808,37.0,0.9
199809,37.0,0.9
199810,37.0,0.9
199811,37.1,1.0
199812,36.9,0.8
199901,36.8,0.7
199902,36.6,0.5
199903,36.7,0.6
199904,36.5,0.4
199905,36.5,0.4
199906,36.9,0.8
199907,37.0,0.9
199908,36.9,0.8
199909,36.5,0.4
199910,36.4,0.3
199911,36.3,0.2
199912,36.5,0.4
200001,36.6,0.5
200002,37.0,0.9
200003,37.0,0.9
200004,37.6,1.5
200005,38.1,2.0
200006,38.2,2.1
200007,38.2,2.1
200008,38.5,2.4
200009,38.6,2.5
200010,38.9,2.8
200011,38.2,2.1
200012,38.5,2.4
200101,37.8,1.7
200102,37.4,1.3
200103,37.7,1.6
200104,37.6,1.5
200105,37.5,1.4
200106,37.4,1.3
200107,37.4,1.3
200108,37.3,1.2
200109,37.5,1.4
200110,37.6,1.5
200111,38.3,2.2
200112,38.0,1.9
200201,38.1,2.0
200202,37.6,1.5
200203,36.9,0.8
200204,37.0,0.9
200205,36.7,0.6
200206,36.7,0.6
200207,37.0,0.9
200208,36.7,0.6
200209,36.6,0.5
200210,36.2,0.1
