Millard County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.40,-3.58
199002,-2.59,-2.87
199003,-2.27,-2.50
199004,-2.00,-2.30
199005,-2.32,-2.67
199006,-1.86,-2.22
199007,-2.39,-2.77
199008,-2.85,-3.17
199009,-2.45,-2.76
199010,-2.09,-2.39
199011,-1.90,-2.02
199012,-1.79,-1.93
199101,-1.79,-1.97
199102,-2.21,-2.49
199103,-2.29,-2.52
199104,0.05,-0.25
199105,1.43,1.08
199106,1.41,1.05
199107,0.57,0.19
199108,0.79,0.47
199109,1.22,0.91
199110,1.25,0.95
199111,1.34,1.22
199112,-0.16,-0.30
199201,-0.39,-0.57
199202,-0.72,-1.00
199203,-0.48,-0.71
199204,-1.78,-2.08
199205,-2.24,-2.59
199206,-2.80,-3.16
199207,-2.80,-3.18
199208,-3.20,-3.52
199209,-3.36,-3.67
199210,-2.94,-3.24
199211,-2.83,-2.95
199212,0.14,0.00
199301,1.44,1.26
199302,2.18,1.90
199303,1.99,1.76
199304,1.39,1.09
199305,1.41,1.06
199306,1.75,1.39
199307,1.73,1.35
199308,1.44,1.12
199309,1.12,0.81
199310,1.50,1.20
199311,1.60,1.48
199312,-0.32,-0.46
199401,-0.74,-0.92
199402,-0.62,-0.90
199403,-1.16,-1.39
199404,-0.59,-0.89
199405,-0.97,-1.32
199406,-2.01,-2.37
199407,-2.68,-3.06
199408,0.38,0.06
199409,0.66,0.35
199410,1.84,1.54
199411,2.59,2.47
199412,2.24,2.10
199501,2.29,2.11
199502,1.46,1.18
199503,1.46,1.23
199504,2.00,1.70
199505,4.09,3.74
199506,5.93,5.57
199507,6.81,6.43
199508,0.02,-0.30
199509,-0.31,-0.62
199510,-1.04,-1.34
199511,-1.84,-1.96
199512,-2.02,-2.16
199601,-2.02,-2.20
199602,-1.67,-1.95
199603,-1.25,-1.48
199604,-1.50,-1.80
199605,-1.51,-1.86
199606,-2.26,-2.62
199607,-2.28,-2.66
199608,-3.00,-3.32
199609,0.08,-0.23
199610,0.16,-0.14
199611,0.80,0.68
199612,0.55,0.41
199701,1.56,1.38
199702,1.89,1.61
199703,0.68,0.45
199704,1.03,0.73
199705,1.14,0.79
199706,1.81,1.45
199707,2.11,1.73
199708,2.97,2.65
199709,4.42,4.11
199710,3.81,3.51
199711,3.28,3.16
199712,2.67,2.53
199801,2.08,1.90
199802,3.65,3.37
199803,3.61,3.38
199804,3.68,3.38
199805,3.33,2.98
199806,4.66,4.30
199807,6.02,5.64
199808,5.84,5.52
199809,6.03,5.72
199810,6.24,5.94
199811,-0.07,-0.19
199812,-0.05,-0.19
199901,-0.33,-0.51
199902,-0.76,-1.04
199903,-1.58,-1.81
199904,1.11,0.81
199905,1.31,0.96
199906,1.23,0.87
199907,1.22,0.84
199908,1.56,1.24
199909,-0.19,-0.50
199910,-0.91,-1.21
199911,-1.76,-1.88
199912,-2.08,-2.22
200001,-1.70,-1.88
200002,-1.08,-1.36
200003,-1.43,-1.66
200004,-2.08,-2.38
200005,-2.26,-2.61
200006,-2.67,-3.03
200007,-3.34,-3.72
200008,0.38,0.06
200009,0.49,0.18
200010,2.30,2.00
200011,0.02,-0.10
200012,-0.18,-0.32
200101,-0.25,-0.43
200102,-0.11,-0.39
200103,-0.20,-0.43
200104,-0.14,-0.44
200105,-0.72,-1.07
200106,-1.24,-1.60
200107,-1.42,-1.80
200108,-1.40,-1.72
200109,-2.00,-2.31
200110,-2.51,-2.81
200111,-2.07,-2.19
200112,-1.68,-1.82
200201,-1.91,-2.09
200202,-2.18,-2.46
200203,-2.17,-2.40
200204,-2.22,-2.52
200205,-3.06,-3.41
200206,-3.85,-4.21
200207,-4.14,-4.52
200208,-4.68,-5.00
200209,-3.90,-4.21
200210,-2.89,-3.19
200211,-2.73,-2.85
200212,-2.71,-2.85
200301,-3.04,-3.22
200302,-2.46,-2.74
200303,-2.53,-2.76
200304,-2.13,-2.43
200305,-2.39,-2.74
200306,-2.78,-3.14
200307,-3.60,-3.98
200308,-3.26,-3.58
200309,-3.32,-3.63
200310,-3.81,-4.11
200311,0.37,0.25
200312,1.10,0.96
200401,0.75,0.57
200402,1.69,1.41
200403,0.49,0.26
200404,0.63,0.33
200405,0.24,-0.11
200406,0.37,0.01
200407,0.37,-0.01
200408,0.27,-0.05
200409,0.08,-0.23
200410,1.76,1.46
200411,2.00,1.88
200412,2.15,2.01
200501,2.75,2.57
200502,2.91,2.63
200503,3.43,3.20
200504,4.10,3.80
200505,4.94,4.59
200506,6.19,5.83
200507,6.63,6.25
200508,5.88,5.56
200509,5.31,5.00
200510,5.20,4.90
200511,-0.71,-0.83
200512,-0.92,-1.06
200601,-0.72,-0.90
200602,-0.88,-1.16
200603,-0.06,-0.29
200604,-0.19,-0.49
200605,-0.96,-1.31
200606,-1.59,-1.95
200607,-1.48,-1.86
200608,-1.88,-2.20
200609,0.19,-0.12
200610,1.62,1.32
200611,-0.37,-0.49
200612,-0.29,-0.43
200701,-0.43,-0.61
200702,-0.29,-0.57
200703,-0.78,-1.01
200704,-1.22,-1.52
200705,-1.89,-2.24
200706,-2.44,-2.80
