Millard County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.40,-3.77
199002,-2.59,-3.03
199003,-2.27,-2.70
199004,-2.00,-2.39
199005,-2.32,-2.75
199006,-1.86,-2.24
199007,-2.39,-2.80
199008,-2.85,-3.35
199009,-2.45,-3.02
199010,-2.09,-2.75
199011,-1.90,-2.41
199012,-1.79,-2.21
199101,-1.79,-2.16
199102,-2.21,-2.65
199103,-2.29,-2.72
199104,-2.00,-2.39
199105,1.43,1.00
199106,1.41,1.03
199107,0.57,0.16
199108,0.79,0.29
199109,1.22,0.65
199110,1.25,0.59
199111,1.34,0.83
199112,1.05,0.63
199201,0.69,0.32
199202,-0.72,-1.16
199203,-0.48,-0.91
199204,-1.78,-2.17
199205,-2.24,-2.67
199206,-2.80,-3.18
199207,-2.80,-3.21
199208,-3.20,-3.70
199209,-3.36,-3.93
199210,-2.94,-3.60
199211,-2.83,-3.34
199212,-2.40,-2.82
199301,-0.84,-1.21
199302,2.18,1.74
199303,1.99,1.56
199304,1.39,1.00
199305,1.41,0.98
199306,1.75,1.37
199307,1.73,1.32
199308,1.44,0.94
199309,1.12,0.55
199310,1.50,0.84
199311,1.60,1.09
199312,1.11,0.69
199401,-0.74,-1.11
199402,-0.62,-1.06
199403,-1.16,-1.59
199404,-0.59,-0.98
199405,-0.97,-1.40
199406,-2.01,-2.39
199407,-2.68,-3.09
199408,-2.02,-2.52
199409,-1.50,-2.07
199410,1.84,1.18
199411,2.59,2.08
199412,2.24,1.82
199501,2.29,1.92
199502,1.46,1.02
199503,1.46,1.03
199504,2.00,1.61
199505,4.09,3.66
199506,5.93,5.55
199507,6.81,6.40
199508,6.12,5.62
199509,5.18,4.61
199510,3.89,3.23
199511,2.58,2.07
199512,1.94,1.52
199601,1.53,1.16
199602,1.52,1.08
199603,1.61,1.18
199604,1.07,0.68
199605,0.79,0.36
199606,-2.26,-2.64
199607,-2.28,-2.69
199608,-3.00,-3.50
199609,-2.61,-3.18
199610,-2.26,-2.92
199611,-1.36,-1.87
199612,-1.39,-1.81
199701,1.56,1.19
199702,1.89,1.45
199703,0.68,0.25
199704,1.03,0.64
199705,1.14,0.71
199706,1.81,1.43
199707,2.11,1.70
199708,2.97,2.47
199709,4.42,3.85
199710,3.81,3.15
199711,3.28,2.77
199712,2.67,2.25
199801,2.08,1.71
199802,3.65,3.21
199803,3.61,3.18
199804,3.68,3.29
199805,3.33,2.90
199806,4.66,4.28
199807,6.02,5.61
199808,5.84,5.34
199809,6.03,5.46
199810,6.24,5.58
199811,5.53,5.02
199812,4.97,4.55
199901,4.17,3.80
199902,3.28,2.84
199903,2.04,1.61
199904,2.94,2.55
199905,2.95,2.52
199906,2.71,2.33
199907,2.54,2.13
199908,2.74,2.24
199909,2.27,1.70
199910,1.29,0.63
199911,-1.76,-2.27
199912,-2.08,-2.50
200001,-1.70,-2.07
200002,-1.08,-1.52
200003,-1.43,-1.86
200004,-2.08,-2.47
200005,-2.26,-2.69
200006,-2.67,-3.05
200007,-3.34,-3.75
200008,-2.62,-3.12
200009,-2.20,-2.77
200010,2.30,1.64
200011,2.08,1.57
200012,1.68,1.26
200101,1.42,1.05
200102,1.39,0.95
200103,1.15,0.72
200104,1.06,0.67
200105,-0.72,-1.15
200106,-1.24,-1.62
200107,-1.42,-1.83
200108,-1.40,-1.90
200109,-2.00,-2.57
200110,-2.51,-3.17
200111,-2.07,-2.58
200112,-1.68,-2.10
200201,-1.91,-2.28
200202,-2.18,-2.62
200203,-2.17,-2.60
200204,-2.22,-2.61
200205,-3.06,-3.49
200206,-3.85,-4.23
200207,-4.14,-4.55
200208,-4.68,-5.18
200209,-3.90,-4.47
200210,-2.89,-3.55
200211,-2.73,-3.24
200212,-2.71,-3.13
200301,-3.04,-3.41
200302,-2.46,-2.90
200303,-2.53,-2.96
200304,-2.13,-2.52
200305,-2.39,-2.82
200306,-2.78,-3.16
200307,-3.60,-4.01
200308,-3.26,-3.76
200309,-3.32,-3.89
200310,-3.81,-4.47
200311,-3.04,-3.55
200312,-1.97,-2.39
200401,-2.00,-2.37
200402,-0.77,-1.21
200403,-1.72,-2.15
200404,-1.35,-1.74
200405,-1.54,-1.97
200406,-1.23,-1.61
200407,-1.06,-1.47
200408,-1.02,-1.52
200409,-1.07,-1.64
200410,1.76,1.10
200411,2.00,1.49
200412,2.15,1.73
200501,2.75,2.38
200502,2.91,2.47
200503,3.43,3.00
200504,4.10,3.71
200505,4.94,4.51
200506,6.19,5.81
200507,6.63,6.22
200508,5.88,5.38
200509,5.31,4.74
200510,5.20,4.54
200511,3.95,3.44
200512,3.27,2.85
200601,3.03,2.66
200602,2.48,2.04
200603,2.96,2.53
200604,2.52,2.13
200605,1.47,1.04
200606,0.59,0.21
200607,-1.48,-1.89
200608,-1.88,-2.38
200609,-1.50,-2.07
200610,1.62,0.96
200611,1.08,0.57
200612,1.01,0.59
200701,0.73,0.36
200702,0.76,0.32
200703,-0.78,-1.21
200704,-1.22,-1.61
200705,-1.89,-2.32
200706,-2.44,-2.82
200707,-3.04,-3.45
200708,-3.04,-3.54
200709,-2.51,-3.08
200710,-2.58,-3.24
200711,-3.02,-3.53
200712,-1.69,-2.11
200801,-1.50,-1.87
200802,-1.11,-1.55
200803,-1.27,-1.70
200804,-1.65,-2.04
200805,-1.57,-2.00
200806,-1.25,-1.63
200807,-1.45,-1.86
200808,-1.87,-2.37
200809,-1.68,-2.25
200810,-1.67,-2.33
200811,-1.62,-2.13
200812,-1.33,-1.75
200901,-0.91,-1.28
200902,-0.90,-1.34
200903,-1.31,-1.74
200904,-0.92,-1.31
200905,-1.41,-1.84
200906,-0.72,-1.10
200907,-1.12,-1.53
200908,-1.71,-2.21
200909,-1.92,-2.49
200910,-1.81,-2.47
200911,-2.06,-2.57
200912,-1.62,-2.04
201001,-1.21,-1.58
201002,-0.80,-1.24
201003,-0.81,-1.24
201004,1.04,0.65
201005,1.78,1.35
201006,2.10,1.72
201007,2.09,1.68
201008,1.59,1.09
201009,0.67,0.10
201010,1.34,0.68
201011,1.78,1.27
201012,3.55,3.13
201101,3.04,2.67
201102,2.98,2.54
201103,2.68,2.25
201104,3.45,3.06
201105,5.90,5.47
201106,7.11,6.73
201107,9.35,8.94
201108,8.94,8.44
201109,8.37,7.80
201110,7.81,7.15
201111,6.74,6.23
201112,5.62,5.20
201201,4.86,4.49
201202,4.66,4.22
201203,3.61,3.18
201204,2.50,2.11
201205,0.91,0.48
201206,-3.70,-4.08
201207,-3.66,-4.07
201208,-3.61,-4.11
201209,-2.84,-3.41
201210,-2.79,-3.45
201211,-2.71,-3.22
201212,-1.69,-2.11
201301,-1.39,-1.76
201302,-1.43,-1.87
201303,-1.90,-2.33
201304,-1.14,-1.53
201305,-1.10,-1.53
201306,-1.76,-2.14
201307,-1.61,-2.02
201308,-1.49,-1.99
201309,1.22,0.65
201310,0.95,0.29
201311,0.58,0.07
201312,0.77,0.35
201401,0.61,0.24
201402,-0.69,-1.13
201403,-1.01,-1.44
201404,-1.35,-1.74
201405,-1.97,-2.40
201406,-2.78,-3.16
201407,-3.05,-3.46
201408,-0.93,-1.43
201409,3.28,2.71
201410,2.23,1.57
201411,1.58,1.07
201412,1.51,1.09
201501,1.33,0.96
201502,-1.73,-2.17
201503,-2.75,-3.18
201504,-3.29,-3.68
201505,-2.09,-2.52
201506,-2.78,-3.16
201507,-3.22,-3.63
201508,-3.27,-3.77
201509,-3.64,-4.21
201510,-2.99,-3.65
201511,-2.61,-3.12
201512,-2.23,-2.65
201601,-1.51,-1.88
201602,-1.50,-1.94
201603,-1.97,-2.40
201604,-1.76,-2.15
201605,-1.73,-2.16
201606,-2.18,-2.56
201607,-2.91,-3.32
201608,-3.22,-3.72
201609,-2.64,-3.21
201610,-3.11,-3.77
201611,-3.33,-3.84
201612,-2.39,-2.81
201701,-0.98,-1.35
201702,-0.87,-1.31
201703,2.00,1.57
201704,1.81,1.42
