Millard County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.40,-3.65
199002,-1.97,-2.34
199003,-1.55,-1.87
199004,-1.19,-1.50
199005,-2.05,-2.46
199006,-1.29,-1.66
199007,-2.39,-2.80
199008,-2.85,-3.31
199009,-2.26,-2.77
199010,-1.69,-2.17
199011,-1.49,-1.87
199012,-1.42,-1.69
199101,-1.57,-1.82
199102,-2.21,-2.58
199103,-2.29,-2.61
199104,-1.86,-2.17
199105,1.43,1.02
199106,1.41,1.04
199107,-0.66,-1.07
199108,0.02,-0.44
199109,1.13,0.62
199110,1.25,0.77
199111,1.34,0.96
199112,0.69,0.42
199201,-0.17,-0.42
199202,-0.72,-1.09
199203,-0.48,-0.80
199204,-1.78,-2.09
199205,-2.24,-2.65
199206,-2.80,-3.17
199207,-2.80,-3.21
199208,-3.20,-3.66
199209,-3.36,-3.87
199210,-2.79,-3.27
199211,-2.83,-3.21
199212,-2.17,-2.44
199301,1.08,0.83
199302,2.18,1.81
199303,1.96,1.64
199304,0.76,0.45
199305,0.95,0.54
199306,1.75,1.38
199307,1.73,1.32
199308,1.21,0.75
199309,0.57,0.06
199310,1.50,1.02
199311,1.60,1.22
199312,0.53,0.26
199401,-0.74,-0.99
199402,-0.62,-0.99
199403,-1.16,-1.48
199404,0.38,0.07
199405,-0.77,-1.18
199406,-2.01,-2.38
199407,-2.68,-3.09
199408,-1.48,-1.94
199409,-0.50,-1.01
199410,1.84,1.36
199411,2.59,2.21
199412,2.06,1.79
199501,2.29,2.04
199502,0.61,0.24
199503,0.78,0.46
199504,2.00,1.69
199505,4.09,3.68
199506,5.93,5.56
199507,6.81,6.40
199508,6.09,5.63
199509,4.76,4.25
199510,2.58,2.10
199511,0.30,-0.08
199512,-0.64,-0.91
199601,-1.11,-1.36
199602,-0.84,-1.21
199603,-0.41,-0.73
199604,-1.12,-1.43
199605,-1.35,-1.76
199606,-2.26,-2.63
199607,-2.28,-2.69
199608,-3.00,-3.46
199609,-2.45,-2.96
199610,-1.93,-2.41
199611,-0.18,-0.56
199612,-0.41,-0.68
199701,1.56,1.31
199702,1.89,1.52
199703,-0.82,-1.14
199704,0.13,-0.18
199705,0.49,0.08
199706,1.81,1.44
199707,2.11,1.70
199708,2.97,2.51
199709,4.42,3.91
199710,3.58,3.10
199711,2.84,2.46
199712,1.86,1.59
199801,0.90,0.65
199802,3.65,3.28
199803,3.61,3.29
199804,3.68,3.37
199805,3.32,2.91
199806,4.66,4.29
199807,6.02,5.61
199808,5.84,5.38
199809,6.03,5.52
199810,6.24,5.76
199811,5.40,5.02
199812,4.80,4.53
199901,3.63,3.38
199902,2.20,1.83
199903,-0.01,-0.33
199904,2.06,1.75
199905,2.34,1.93
199906,2.10,1.73
199907,1.98,1.57
199908,2.57,2.11
199909,1.81,1.30
199910,-0.06,-0.54
199911,-1.76,-2.14
199912,-2.08,-2.35
200001,-1.40,-1.65
200002,-0.12,-0.49
200003,-1.05,-1.37
200004,-2.08,-2.39
200005,-2.26,-2.67
200006,-2.67,-3.04
200007,-3.34,-3.75
200008,-2.11,-2.57
200009,-1.46,-1.97
200010,2.30,1.82
200011,2.03,1.65
200012,1.32,1.05
200101,0.89,0.64
200102,0.97,0.60
200103,0.54,0.22
200104,0.47,0.16
200105,-0.72,-1.13
200106,-1.24,-1.61
200107,-1.42,-1.83
200108,-1.40,-1.86
200109,-2.00,-2.51
200110,-2.51,-2.99
200111,-1.77,-2.15
200112,-1.10,-1.37
200201,-1.77,-2.02
200202,-2.18,-2.55
200203,-2.17,-2.49
200204,-2.22,-2.53
200205,-3.06,-3.47
200206,-3.85,-4.22
200207,-4.14,-4.55
200208,-4.68,-5.14
200209,-3.50,-4.01
200210,-1.75,-2.23
200211,-1.73,-2.11
200212,-1.97,-2.24
200301,-2.87,-3.12
200302,-1.92,-2.29
200303,-2.30,-2.62
200304,-1.68,-1.99
200305,-2.39,-2.80
200306,-2.78,-3.15
200307,-3.60,-4.01
200308,-3.24,-3.70
200309,-3.32,-3.83
200310,-3.81,-4.29
200311,-2.55,-2.93
200312,-0.54,-0.81
200401,-0.85,-1.10
200402,1.46,1.09
200403,-0.63,-0.95
200404,-0.10,-0.41
200405,-0.61,-1.02
200406,-0.18,-0.55
200407,-0.02,-0.43
200408,-0.06,-0.52
200409,-0.26,-0.77
200410,1.76,1.28
200411,2.00,1.62
200412,2.15,1.88
200501,2.75,2.50
200502,2.91,2.54
200503,3.43,3.11
200504,4.10,3.79
200505,4.94,4.53
200506,6.19,5.82
200507,6.63,6.22
200508,5.76,5.30
200509,5.17,4.66
200510,5.20,4.72
200511,3.09,2.71
200512,2.07,1.80
200601,1.92,1.67
200602,1.11,0.74
200603,2.31,1.99
200604,1.71,1.40
200605,-0.09,-0.50
200606,-1.56,-1.93
