Millard County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-0.84,-0.96
199002,1.40,1.16
199003,0.14,0.11
199004,0.13,0.09
199005,-1.58,-1.84
199006,0.65,0.56
199007,-2.15,-2.40
199008,-2.14,-2.44
199009,0.32,0.06
199010,0.34,0.16
199011,-0.09,-0.04
199012,-0.25,-0.16
199101,-0.55,-0.67
199102,-1.82,-2.06
199103,-0.91,-0.94
199104,0.16,0.12
199105,4.14,3.88
199106,0.40,0.31
199107,-2.09,-2.34
199108,0.83,0.53
199109,1.53,1.27
199110,0.47,0.29
199111,0.66,0.71
199112,-0.47,-0.38
199201,-0.76,-0.88
199202,-1.10,-1.34
199203,0.51,0.48
199204,-4.06,-4.10
199205,-1.92,-2.18
199206,-2.36,-2.45
199207,-0.88,-1.13
199208,-2.05,-2.35
199209,-1.48,-1.74
199210,0.23,0.05
199211,-0.57,-0.52
199212,0.41,0.50
199301,3.94,3.82
199302,2.68,2.44
199303,0.10,0.07
199304,-1.18,-1.22
199305,0.49,0.23
199306,1.45,1.36
199307,0.48,0.23
199308,-0.32,-0.62
199309,-0.52,-0.78
199310,1.49,1.31
199311,0.75,0.80
199312,-0.97,-0.88
199401,-1.35,-1.47
199402,0.14,-0.10
199403,-1.81,-1.84
199404,1.35,1.31
199405,-1.32,-1.58
199406,-3.42,-3.51
199407,-2.65,-2.90
199408,1.15,0.85
199409,0.96,0.70
199410,3.75,3.57
199411,2.81,2.86
199412,-0.26,-0.17
199501,0.86,0.74
199502,-1.79,-2.03
199503,0.47,0.44
199504,2.06,2.02
199505,6.89,6.63
199506,6.78,6.69
199507,4.46,4.21
199508,0.05,-0.25
199509,-0.93,-1.19
199510,-2.29,-2.47
199511,-2.73,-2.68
199512,-1.12,-1.03
199601,-0.62,-0.74
199602,0.43,0.19
199603,0.74,0.71
199604,-1.13,-1.17
199605,-0.50,-0.76
199606,-2.72,-2.81
199607,-0.74,-0.99
199608,-2.88,-3.18
199609,0.24,-0.02
199610,0.26,0.08
199611,1.98,2.03
199612,-0.51,-0.42
199701,3.18,3.06
199702,1.47,1.23
199703,-3.03,-3.06
199704,1.24,1.20
199705,0.65,0.39
199706,2.38,2.29
199707,1.46,1.21
199708,3.24,2.94
199709,5.25,4.99
199710,-0.45,-0.63
199711,-0.42,-0.37
199712,-0.83,-0.74
199801,-0.93,-1.05
199802,5.36,5.12
199803,1.01,0.98
199804,1.30,1.26
199805,0.11,-0.15
199806,4.99,4.90
199807,5.53,5.28
199808,1.33,1.03
199809,2.35,2.09
199810,2.51,2.33
199811,-0.20,-0.15
199812,0.04,0.13
199901,-0.88,-1.00
199902,-1.37,-1.61
199903,-2.71,-2.74
199904,3.34,3.30
199905,0.94,0.68
199906,0.17,0.08
199907,0.34,0.09
199908,1.39,1.09
199909,-0.58,-0.84
199910,-2.22,-2.40
199911,-2.82,-2.77
199912,-1.50,-1.41
200001,0.50,0.38
200002,1.33,1.09
200003,-1.38,-1.41
200004,-2.41,-2.45
200005,-1.17,-1.43
200006,-1.94,-2.03
200007,-2.82,-3.07
200008,1.13,0.83
200009,0.44,0.18
200010,5.59,5.41
200011,0.05,0.10
200012,-0.55,-0.46
200101,-0.26,-0.38
200102,0.36,0.12
200103,-0.31,-0.34
200104,0.10,0.06
200105,-1.77,-2.03
200106,-1.78,-1.87
200107,-0.92,-1.17
200108,-0.38,-0.68
200109,-2.24,-2.50
200110,-2.14,-2.32
200111,0.55,0.60
200112,0.53,0.62
200201,-1.21,-1.33
200202,-1.41,-1.65
200203,-0.62,-0.65
200204,-0.83,-0.87
200205,-3.21,-3.47
200206,-3.33,-3.42
200207,-2.05,-2.30
200208,-2.91,-3.21
200209,0.91,0.65
200210,1.83,1.65
200211,-0.42,-0.37
200212,-0.79,-0.70
200301,-1.83,-1.95
200302,0.81,0.57
200303,-0.96,-0.99
200304,0.42,0.38
200305,-1.44,-1.70
200306,-1.90,-1.99
200307,-3.33,-3.58
200308,-0.09,-0.39
200309,-1.19,-1.45
200310,-2.49,-2.67
200311,1.11,1.16
200312,2.29,2.38
200401,-0.71,-0.83
200402,3.06,2.82
200403,-3.08,-3.11
200404,0.58,0.54
200405,-0.99,-1.25
200406,0.47,0.38
200407,0.12,-0.13
200408,-0.20,-0.50
200409,-0.48,-0.74
200410,5.07,4.89
200411,1.27,1.32
200412,1.07,1.16
200501,2.45,2.33
200502,1.35,1.11
200503,2.44,2.41
200504,3.09,3.05
200505,3.77,3.51
200506,5.27,5.18
200507,3.23,2.98
200508,-0.18,-0.48
200509,0.09,-0.17
200510,1.31,1.13
200511,-2.14,-2.09
200512,-0.83,-0.74
200601,0.29,0.17
200602,-0.70,-0.94
200603,2.19,2.16
200604,-0.41,-0.45
200605,-2.36,-2.62
200606,-2.19,-2.28
200607,-0.17,-0.42
200608,-1.65,-1.95
200609,0.58,0.32
200610,4.34,4.16
200611,-1.12,-1.07
200612,0.12,0.21
200701,-0.51,-0.63
200702,0.30,0.06
200703,-1.56,-1.59
200704,-1.56,-1.60
200705,-2.40,-2.66
200706,-2.23,-2.32
200707,-2.56,-2.81
200708,-0.94,-1.24
200709,0.66,0.40
200710,-0.99,-1.17
200711,-2.13,-2.08
200712,3.06,3.15
200801,0.06,-0.06
200802,0.69,0.45
200803,-0.82,-0.85
200804,-1.52,-1.56
200805,-0.26,-0.52
200806,0.47,0.38
200807,-1.01,-1.26
200808,-1.70,-2.00
200809,-0.01,-0.27
200810,-0.48,-0.66
200811,-0.38,-0.33
200812,0.36,0.45
200901,0.86,0.74
200902,-0.24,-0.48
200903,-1.52,-1.55
200904,0.77,0.73
200905,-1.73,-1.99
200906,1.61,1.52
200907,-1.42,-1.67
200908,-2.12,-2.42
200909,-1.13,-1.39
200910,-0.29,-0.47
200911,-1.31,-1.26
200912,0.68,0.77
201001,0.74,0.62
201002,0.86,0.62
201003,-0.30,-0.33
201004,1.71,1.67
201005,2.54,2.28
201006,1.52,1.43
201007,0.63,0.38
201008,-0.86,-1.16
201009,-2.27,-2.53
201010,2.20,2.02
201011,1.73,1.78
201012,5.87,5.96
201101,-0.41,-0.53
201102,0.74,0.50
201103,0.03,0.00
201104,3.13,3.09
201105,8.42,8.16
201106,5.45,5.36
201107,8.92,8.67
201108,1.67,1.37
201109,1.03,0.77
201110,0.93,0.75
201111,-0.81,-0.76
201112,-1.27,-1.18
201201,-0.54,-0.66
201202,0.89,0.65
201203,-1.71,-1.74
201204,-2.21,-2.25
201205,-4.00,-4.26
201206,-3.70,-3.79
201207,-1.03,-1.28
201208,-0.98,-1.28
201209,1.18,0.92
201210,-0.72,-0.90
201211,-0.62,-0.57
201212,2.22,2.31
201301,0.38,0.26
201302,-0.55,-0.79
201303,-1.87,-1.90
201304,1.69,1.65
201305,-0.21,-0.47
201306,-2.33,-2.42
201307,-0.09,-0.34
201308,-0.16,-0.46
201309,3.67,3.41
201310,-0.46,-0.64
201311,-0.79,-0.74
201312,0.73,0.82
201401,-0.25,-0.37
201402,-1.56,-1.80
201403,-1.17,-1.20
201404,-1.34,-1.38
201405,-2.29,-2.55
201406,-3.01,-3.10
