Millard County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,6.15,-3.68
199002,6.81,-3.03
199003,7.75,-2.10
199004,8.93,-0.89
199005,8.41,-1.43
199006,9.36,-0.48
199007,9.27,-0.57
199008,8.55,-1.30
199009,9.09,-0.76
199010,9.45,-0.42
199011,9.95,0.08
199012,10.50,0.63
199101,10.47,0.64
199102,9.54,-0.30
199103,8.76,-1.09
199104,8.16,-1.66
199105,10.34,0.50
199106,9.61,-0.23
199107,9.65,-0.19
199108,10.56,0.71
199109,10.80,0.95
199110,10.84,0.97
199111,11.07,1.20
199112,10.96,1.09
199201,10.87,1.04
199202,11.20,1.36
199203,12.17,2.32
199204,11.38,1.56
199205,9.73,-0.11
199206,9.34,-0.50
199207,9.74,-0.10
199208,8.89,-0.96
199209,8.02,-1.83
199210,8.04,-1.83
199211,7.39,-2.48
199212,7.74,-2.13
199301,9.31,-0.52
199302,10.04,0.20
199303,9.45,-0.40
199304,9.69,-0.13
199305,9.73,-0.11
199306,10.27,0.43
199307,9.99,0.15
199308,10.23,0.38
199309,10.42,0.57
199310,10.63,0.76
199311,11.11,1.24
199312,10.57,0.70
199401,8.88,-0.95
199402,8.31,-1.53
199403,7.96,-1.89
199404,9.50,-0.32
199405,9.10,-0.74
199406,8.33,-1.51
199407,8.24,-1.60
199408,9.02,-0.83
199409,9.61,-0.24
199410,10.41,0.54
199411,11.07,1.20
199412,11.18,1.31
199501,11.73,1.90
199502,11.33,1.49
199503,11.87,2.02
199504,11.59,1.77
199505,14.14,4.30
199506,15.92,6.08
199507,15.91,6.07
199508,15.04,5.19
199509,14.35,4.50
199510,12.26,2.39
199511,10.95,1.08
199512,10.90,1.03
199601,10.63,0.80
199602,11.30,1.46
199603,11.59,1.74
199604,10.57,0.75
199605,8.60,-1.24
199606,6.81,-3.03
199607,7.33,-2.51
199608,6.94,-2.91
199609,7.30,-2.55
199610,8.17,-1.70
199611,9.63,-0.24
199612,9.80,-0.07
199701,10.91,1.08
199702,10.79,0.95
199703,9.25,-0.60
199704,10.14,0.32
199705,10.05,0.21
199706,11.27,1.43
199707,11.25,1.41
199708,12.84,2.99
199709,14.36,4.51
199710,14.12,4.25
199711,13.24,3.37
199712,13.11,3.24
199801,12.05,2.22
199802,13.72,3.88
199803,15.01,5.16
199804,14.73,4.91
199805,14.00,4.16
199806,14.75,4.91
199807,15.46,5.62
199808,14.70,4.85
199809,13.80,3.95
199810,14.77,4.90
199811,14.86,4.99
199812,15.13,5.26
199901,14.98,5.15
199902,12.79,2.95
199903,11.81,1.96
199904,12.84,3.02
199905,13.51,3.67
199906,12.41,2.57
199907,11.78,1.94
199908,12.10,2.25
199909,11.21,1.36
199910,9.74,-0.13
199911,9.04,-0.83
199912,8.57,-1.30
200001,9.24,-0.59
200002,10.39,0.55
200003,10.67,0.82
200004,9.06,-0.76
200005,9.28,-0.56
200006,8.88,-0.96
200007,8.18,-1.66
200008,8.27,-1.58
200009,8.66,-1.19
200010,11.34,1.47
200011,11.63,1.76
200012,11.79,1.92
200101,11.13,1.30
200102,10.33,0.49
200103,10.87,1.02
200104,11.32,1.50
200105,10.46,0.62
200106,10.18,0.34
200107,10.64,0.80
200108,10.18,0.33
200109,9.44,-0.41
200110,6.84,-3.03
200111,7.56,-2.31
200112,8.05,-1.82
200201,7.80,-2.03
200202,7.18,-2.66
200203,6.79,-3.06
200204,6.78,-3.04
