Morgan County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,43.8,1.2
199002,44.1,1.5
199003,44.1,1.5
199004,44.1,1.5
199005,43.9,1.3
199006,44.1,1.5
199007,43.9,1.3
199008,44.0,1.4
199009,44.4,1.8
199010,44.4,1.8
199011,44.4,1.8
199012,43.6,1.0
199101,43.2,0.6
199102,43.8,1.2
199103,43.4,0.8
199104,42.9,0.3
199105,42.8,0.2
199106,42.6,0.0
199107,42.6,0.0
199108,42.7,0.1
199109,42.2,-0.4
199110,42.2,-0.4
199111,42.0,-0.6
199112,42.8,0.2
199201,43.1,0.5
199202,43.2,0.6
199203,43.8,1.2
199204,44.5,1.9
199205,45.2,2.6
199206,45.3,2.7
199207,45.0,2.4
199208,44.9,2.3
199209,45.0,2.4
199210,45.2,2.6
199211,44.9,2.3
199212,44.6,2.0
199301,44.4,1.8
199302,43.6,1.0
199303,43.3,0.7
199304,42.5,-0.1
199305,42.4,-0.2
199306,42.0,-0.6
199307,41.6,-1.0
199308,41.2,-1.4
199309,41.1,-1.5
199310,40.8,-1.8
199311,40.9,-1.7
199312,41.1,-1.5
199401,41.7,-0.9
199402,41.9,-0.7
199403,42.1,-0.5
199404,42.4,-0.2
199405,42.5,-0.1
199406,43.2,0.6
199407,44.0,1.4
199408,44.6,2.0
199409,45.0,2.4
199410,44.9,2.3
199411,44.7,2.1
199412,44.9,2.3
199501,44.7,2.1
199502,45.4,2.8
199503,45.1,2.5
199504,44.8,2.2
199505,44.2,1.6
199506,43.5,0.9
199507,43.2,0.6
199508,43.0,0.4
199509,42.8,0.2
199510,42.9,0.3
199511,43.9,1.3
199512,44.1,1.5
199601,44.1,1.5
199602,43.6,1.0
199603,43.6,1.0
199604,43.7,1.1
199605,43.9,1.3
199606,44.5,1.9
199607,44.9,2.3
199608,44.8,2.2
199609,44.5,1.9
199610,44.6,2.0
199611,44.3,1.7
199612,44.0,1.4
199701,43.9,1.3
199702,43.6,1.0
199703,43.7,1.1
199704,43.5,0.9
199705,43.8,1.2
199706,43.6,1.0
199707,43.3,0.7
199708,43.3,0.7
199709,43.6,1.0
199710,43.6,1.0
199711,43.5,0.9
199712,43.2,0.6
199801,43.5,0.9
199802,43.8,1.2
199803,43.5,0.9
199804,43.7,1.1
199805,43.4,0.8
199806,42.9,0.3
199807,43.3,0.7
199808,43.3,0.7
199809,43.5,0.9
199810,43.4,0.8
199811,43.5,0.9
199812,43.6,1.0
199901,43.6,1.0
199902,43.7,1.1
199903,44.0,1.4
199904,43.8,1.2
199905,43.7,1.1
199906,44.0,1.4
199907,43.8,1.2
199908,43.8,1.2
199909,43.4,0.8
199910,43.7,1.1
199911,44.2,1.6
199912,44.4,1.8
200001,44.3,1.7
200002,44.6,2.0
200003,44.4,1.8
200004,45.1,2.5
200005,45.5,2.9
200006,45.8,3.2
200007,46.0,3.4
200008,46.3,3.7
200009,46.4,3.8
200010,46.2,3.6
200011,44.9,2.3
200012,44.9,2.3
200101,44.5,1.9
200102,44.1,1.5
200103,44.3,1.7
200104,44.0,1.4
200105,44.1,1.5
200106,44.0,1.4
200107,44.0,1.4
200108,44.0,1.4
200109,44.4,1.8
200110,44.6,2.0
200111,45.5,2.9
200112,45.2,2.6
200201,45.1,2.5
200202,44.8,2.2
200203,44.3,1.7
200204,44.4,1.8
200205,44.1,1.5
200206,44.2,1.6
200207,44.4,1.8
200208,44.0,1.4
200209,43.6,1.0
200210,43.2,0.6
200211,42.9,0.3
200212,43.3,0.7
200301,44.3,1.7
200302,44.4,1.8
200303,44.9,2.3
200304,44.8,2.2
200305,44.9,2.3
200306,44.7,2.1
200307,44.8,2.2
200308,45.1,2.5
200309,45.1,2.5
200310,45.8,3.2
200311,45.5,2.9
200312,45.5,2.9
200401,44.6,2.0
200402,44.4,1.8
200403,44.8,2.2
200404,44.9,2.3
200405,44.8,2.2
200406,44.8,2.2
200407,44.3,1.7
200408,43.9,1.3
200409,43.7,1.1
200410,43.3,0.7
200411,43.6,1.0
200412,43.6,1.0
200501,44.2,1.6
200502,44.7,2.1
200503,44.2,1.6
200504,44.1,1.5
200505,44.1,1.5
200506,43.7,1.1
200507,43.9,1.3
200508,44.1,1.5
200509,44.2,1.6
200510,44.3,1.7
200511,44.5,1.9
200512,44.3,1.7
200601,44.1,1.5
200602,43.8,1.2
200603,43.6,1.0
200604,43.8,1.2
200605,44.0,1.4
200606,44.6,2.0
200607,44.7,2.1
200608,44.7,2.1
200609,44.5,1.9
200610,44.2,1.6
200611,44.1,1.5
200612,44.2,1.6
200701,43.6,1.0
200702,44.0,1.4
200703,44.5,1.9
200704,44.5,1.9
200705,44.5,1.9
200706,44.4,1.8
200707,44.5,1.9
200708,44.8,2.2
200709,45.0,2.4
200710,45.3,2.7
200711,45.5,2.9
200712,45.1,2.5
200801,45.1,2.5
200802,44.8,2.2
200803,44.1,1.5
200804,43.5,0.9
200805,43.1,0.5
200806,42.8,0.2
200807,42.5,-0.1
200808,42.4,-0.2
200809,42.4,-0.2
200810,42.4,-0.2
200811,42.5,-0.1
200812,42.7,0.1
200901,43.3,0.7
200902,43.5,0.9
200903,43.7,1.1
200904,44.1,1.5
200905,44.4,1.8
200906,44.3,1.7
200907,44.1,1.5
200908,43.9,1.3
200909,44.2,1.6
200910,43.7,1.1
200911,43.6,1.0
200912,43.2,0.6
201001,43.2,0.6
201002,43.0,0.4
201003,43.1,0.5
201004,43.0,0.4
201005,42.4,-0.2
201006,42.6,0.0
201007,42.6,0.0
201008,42.7,0.1
201009,42.6,0.0
201010,43.1,0.5
201011,42.7,0.1
201012,43.5,0.9
201101,43.2,0.6
201102,43.1,0.5
201103,43.0,0.4
201104,42.8,0.2
