Morgan County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,193,56
199002,193,56
199003,193,56
199004,193,56
199005,193,56
199006,204,67
199007,158,20
199008,179,40
199009,203,64
199010,203,64
199011,203,64
199012,203,64
199101,203,66
199102,203,66
199103,203,66
199104,203,66
199105,203,66
199106,193,56
199107,193,55
199108,211,72
199109,181,42
199110,181,42
199111,181,42
199112,181,42
199201,181,44
199202,181,44
199203,181,44
199204,181,44
199205,187,50
199206,192,55
199207,136,-2
199208,128,-11
199209,134,-5
199210,134,-5
199211,134,-5
199212,134,-5
199301,134,-3
199302,134,-3
199303,134,-3
199304,134,-3
199305,128,-9
199306,110,-27
199307,83,-55
199308,28,-111
199309,22,-117
199310,22,-117
199311,22,-117
199312,22,-117
199401,22,-115
199402,22,-115
199403,22,-115
199404,22,-115
199405,22,-115
199406,65,-72
199407,172,34
199408,273,134
199409,289,150
199410,289,150
199411,289,150
199412,289,150
199501,289,152
199502,289,152
199503,289,152
199504,289,152
199505,289,152
199506,251,114
199507,177,39
199508,141,2
199509,133,-6
199510,133,-6
199511,133,-6
199512,133,-6
199601,133,-4
199602,133,-4
199603,133,-4
199604,133,-4
199605,133,-4
199606,166,29
199607,229,91
199608,223,84
199609,215,76
199610,215,76
199611,215,76
199612,215,76
199701,215,78
199702,215,78
199703,215,78
199704,215,78
199705,215,78
199706,197,60
199707,137,-1
199708,137,-2
199709,144,5
199710,144,5
199711,144,5
199712,144,5
199801,144,7
199802,144,7
199803,144,7
199804,144,7
199805,144,7
199806,124,-13
199807,204,66
199808,210,71
199809,217,78
199810,217,78
199811,217,78
199812,217,78
199901,217,80
199902,217,80
199903,217,80
199904,217,80
199905,217,80
199906,230,93
199907,186,48
199908,174,35
199909,160,21
199910,160,21
199911,160,21
199912,160,21
200001,160,23
200002,160,23
200003,160,23
200004,160,23
200005,160,23
200006,178,41
200007,240,102
200008,298,159
200009,303,164
200010,303,164
200011,303,164
200012,303,164
200101,303,166
200102,303,166
200103,303,166
