Morgan County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7893,-399
199002,7762,-529
199003,7774,-518
199004,7782,-509
199005,7850,-440
199006,7797,-494
199007,7818,-472
199008,7793,-496
199009,7668,-620
199010,7677,-611
199011,7683,-608
199012,7971,-321
199101,8105,-187
199102,7934,-357
199103,8056,-236
199104,8256,-35
199105,8297,7
199106,8345,54
199107,8345,55
199108,8329,40
199109,8487,199
199110,8479,191
199111,8557,266
199112,8279,-13
199201,8168,-124
199202,8125,-166
199203,7912,-380
199204,7639,-652
199205,7394,-896
199206,7363,-928
199207,7421,-869
199208,7428,-861
199209,7400,-888
199210,7322,-966
199211,7447,-844
199212,7556,-736
199301,7635,-657
199302,7901,-390
199303,8030,-262
199304,8283,-8
199305,8340,50
199306,8475,184
199307,8585,295
199308,8672,383
199309,8717,429
199310,8830,542
199311,8807,516
199312,8701,409
199401,8498,206
199402,8422,131
199403,8358,66
199404,8232,-59
199405,8201,-89
199406,7995,-296
199407,7813,-477
199408,7694,-595
199409,7566,-722
199410,7595,-693
199411,7648,-643
199412,7603,-689
199501,7666,-626
199502,7423,-868
199503,7520,-772
199504,7631,-660
199505,7871,-419
199506,8061,-230
199507,8124,-166
199508,8148,-141
199509,8203,-85
199510,8191,-97
199511,7831,-460
199512,7727,-565
199601,7742,-550
199602,7915,-376
199603,7905,-387
199604,7883,-408
199605,7782,-508
199606,7602,-689
199607,7545,-745
199608,7549,-740
199609,7652,-636
199610,7626,-662
199611,7747,-544
199612,7837,-455
199701,7885,-407
199702,7982,-309
199703,7950,-342
199704,8031,-260
199705,7921,-369
199706,7974,-317
199707,8027,-263
199708,8027,-262
199709,7933,-355
199710,7926,-362
199711,7956,-335
199712,8079,-213
199801,7952,-340
199802,7843,-448
199803,7951,-341
199804,7884,-407
199805,8001,-289
199806,8164,-127
199807,8102,-188
199808,8097,-192
199809,8044,-244
199810,8066,-222
199811,8020,-271
199812,7991,-301
199901,7985,-307
199902,7962,-329
199903,7833,-459
199904,7910,-381
199905,7970,-320
199906,7846,-445
199907,7871,-419
199908,7882,-407
199909,8012,-276
199910,7894,-394
199911,7714,-577
199912,7655,-637
200001,7673,-619
200002,7590,-701
200003,7669,-623
200004,7414,-877
200005,7246,-1044
200006,7171,-1120
200007,7140,-1150
200008,7103,-1186
200009,7058,-1230
200010,7150,-1138
200011,7611,-680
200012,7595,-697
200101,7745,-547
200102,7900,-391
200103,7817,-475
200104,7930,-361
200105,7897,-393
200106,7903,-388
200107,7911,-379
200108,7909,-380
200109,7776,-512
200110,7705,-583
200111,7385,-906
200112,7513,-779
200201,7551,-741
200202,7643,-648
200203,7832,-460
200204,7798,-493
200205,7894,-396
200206,7877,-414
200207,7864,-426
200208,7912,-377
200209,8036,-252
200210,8190,-98
200211,8315,24
200212,8131,-161
200301,7792,-500
200302,7731,-560
200303,7564,-728
200304,7604,-687
200305,7568,-722
200306,7617,-674
200307,7614,-676
200308,7572,-717
200309,7571,-717
200310,7312,-976
200311,7406,-885
200312,7403,-889
200401,7755,-537
200402,7809,-482
200403,7682,-610
200404,7632,-659
200405,7681,-609
200406,7676,-615
200407,7716,-574
200408,7801,-488
200409,7844,-444
200410,8014,-274
200411,7890,-401
200412,7914,-378
200501,7660,-632
200502,7521,-770
200503,7692,-600
200504,7744,-547
200505,7740,-550
200506,7845,-446
200507,7819,-471
200508,7775,-514
200509,7757,-531
200510,7701,-587
200511,7635,-656
200512,7716,-576
200601,7796,-496
200602,7883,-408
200603,7948,-344
200604,7883,-408
200605,7801,-489
200606,7641,-650
200607,7631,-659
200608,7641,-648
200609,7701,-587
200610,7817,-471
200611,7848,-443
200612,7817,-475
200701,8023,-269
200702,7895,-396
200703,7697,-595
200704,7707,-584
200705,7723,-567
200706,7727,-564
200707,7724,-566
200708,7677,-612
200709,7593,-695
200710,7512,-776
200711,7437,-854
200712,7559,-733
200801,7580,-712
200802,7693,-598
200803,7940,-352
200804,8157,-134
200805,8305,15
200806,8394,103
200807,8411,121
200808,8434,145
200809,8437,149
200810,8418,130
200811,8392,101
200812,8305,13
200901,8084,-208
200902,8020,-271
200903,7937,-355
200904,7811,-480
200905,7681,-609
200906,7732,-559
200907,7761,-529
200908,7806,-483
200909,7702,-586
200910,7874,-414
200911,7915,-376
200912,8079,-213
201001,8086,-206
201002,8125,-166
201003,8096,-196
201004,8125,-166
201005,8356,66
201006,8307,16
201007,8295,5
201008,8276,-13
201009,8326,38
201010,8113,-175
201011,8253,-38
201012,7963,-329
201101,8065,-227
201102,8124,-167
201103,8145,-147
201104,8220,-71
201105,8201,-89
201106,8248,-43
201107,8254,-36
201108,8213,-76
201109,8195,-93
201110,8230,-58
201111,8212,-79
201112,8325,33
201201,8176,-116
201202,8092,-199
201203,7915,-377
201204,7679,-612
201205,7491,-799
201206,7362,-929
201207,7333,-957
201208,7316,-973
201209,7303,-985
201210,7326,-962
201211,7129,-1162
201212,7109,-1183
201301,7349,-943
201302,7445,-846
201303,7553,-739
201304,7740,-551
201305,7710,-580
201306,7699,-592
201307,7697,-593
201308,7714,-575
201309,7772,-516
201310,7856,-432
201311,7934,-357
201312,8059,-233
201401,7852,-440
201402,7673,-618
201403,7637,-655
201404,7557,-734
201405,7547,-743
201406,7627,-664
201407,7631,-659
201408,7707,-582
201409,7657,-631
201410,7451,-837
201411,7517,-774
201412,7277,-1015
201501,7152,-1140
201502,7032,-1259
201503,6902,-1390
201504,6854,-1437
201505,6932,-1358
201506,6796,-1495
201507,6858,-1432
201508,6808,-1481
201509,6772,-1516
201510,6723,-1565
201511,6793,-1498
201512,6934,-1358
201601,7123,-1169
201602,7231,-1060
201603,7342,-950
201604,7294,-997
201605,7297,-993
201606,7310,-981
201607,7254,-1036
201608,7244,-1045
201609,7339,-949
201610,7404,-884
201611,7160,-1131
201612,7193,-1099
201701,7270,-1022
201702,7246,-1045
201703,7134,-1158
201704,7242,-1049
201705,7196,-1094
201706,7225,-1066
201707,7207,-1083
201708,7187,-1102
201709,7200,-1088
201710,7363,-925
201711,7364,-927
201712,7236,-1056
201801,6970,-1322
201802,7046,-1245
201803,7222,-1070
201804,7138,-1153
201805,7072,-1218
201806,7096,-1195
201807,7096,-1194
201808,7097,-1192
201809,6988,-1300
201810,6958,-1330
201811,7178,-1113
201812,7276,-1016
201901,7483,-809
201902,7585,-706
201903,7640,-652
201904,7645,-646
201905,7821,-469
201906,7895,-396
201907,7910,-380
201908,7915,-374
201909,7996,-292
201910,8204,-84
201911,8116,-175
201912,8062,-230
202001,7956,-336
202002,7945,-346
202003,7847,-445
202004,7882,-409
202005,7724,-566
202006,7727,-564
202007,7735,-555
202008,7708,-581
