Morgan County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,54.9,1.6
199002,55.3,2.0
199003,55.3,2.0
199004,55.3,1.9
199005,55.1,1.8
199006,55.4,2.0
199007,55.1,1.7
199008,55.3,1.9
199009,55.6,2.2
199010,55.6,2.2
199011,55.5,2.1
199012,54.9,1.5
199101,54.6,1.3
199102,55.1,1.8
199103,54.8,1.5
199104,54.2,0.8
199105,54.0,0.7
199106,53.7,0.3
199107,53.7,0.3
199108,53.8,0.4
199109,53.2,-0.2
199110,53.3,-0.1
199111,52.9,-0.5
199112,53.6,0.2
199201,54.0,0.7
199202,53.9,0.6
199203,54.6,1.3
199204,55.5,2.1
199205,56.3,3.0
199206,56.5,3.1
199207,56.1,2.7
199208,56.2,2.8
199209,56.3,2.9
199210,56.5,3.1
199211,56.2,2.8
199212,55.8,2.4
199301,55.5,2.2
199302,54.8,1.5
199303,54.3,1.0
199304,53.5,0.1
199305,53.2,-0.1
199306,52.8,-0.6
199307,52.4,-1.0
199308,52.0,-1.4
199309,51.9,-1.5
199310,51.4,-2.0
199311,51.7,-1.7
199312,52.0,-1.4
199401,52.6,-0.7
199402,52.9,-0.4
199403,53.2,-0.1
199404,53.6,0.2
199405,53.8,0.5
199406,54.6,1.2
199407,55.6,2.2
199408,56.2,2.8
199409,56.6,3.2
199410,56.5,3.1
199411,56.1,2.7
199412,56.2,2.8
199501,55.9,2.6
199502,56.6,3.3
199503,56.2,2.9
199504,55.9,2.5
199505,55.0,1.7
199506,54.2,0.8
199507,53.8,0.4
199508,53.6,0.2
199509,53.4,0.0
199510,53.7,0.3
199511,54.8,1.4
199512,55.1,1.7
199601,55.1,1.8
199602,54.6,1.3
199603,54.7,1.4
199604,54.8,1.4
199605,55.1,1.8
199606,55.9,2.5
199607,56.2,2.8
199608,56.3,2.9
199609,55.9,2.5
199610,55.9,2.5
199611,55.5,2.1
199612,55.2,1.8
199701,55.0,1.7
199702,54.7,1.4
