Morgan County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,32.6,0.8
199002,33.0,1.2
199003,32.9,1.1
199004,32.8,1.0
199005,32.7,0.9
199006,32.8,1.0
199007,32.7,0.9
199008,32.8,1.0
199009,33.3,1.5
199010,33.2,1.4
199011,33.3,1.5
199012,32.4,0.6
199101,32.0,0.2
199102,32.4,0.6
199103,32.1,0.3
199104,31.6,-0.2
199105,31.6,-0.2
199106,31.6,-0.2
199107,31.5,-0.3
199108,31.7,-0.1
199109,31.2,-0.6
199110,31.2,-0.6
199111,31.1,-0.7
199112,31.9,0.1
199201,32.1,0.3
199202,32.4,0.6
199203,32.9,1.1
199204,33.5,1.7
199205,34.0,2.2
199206,34.1,2.3
199207,33.8,2.0
199208,33.7,1.9
199209,33.7,1.9
199210,34.0,2.2
199211,33.6,1.8
199212,33.3,1.5
199301,33.2,1.4
199302,32.4,0.6
199303,32.2,0.4
199304,31.6,-0.2
199305,31.5,-0.3
199306,31.2,-0.6
199307,30.8,-1.0
199308,30.4,-1.4
199309,30.3,-1.5
199310,30.1,-1.7
199311,30.0,-1.8
199312,30.2,-1.6
199401,30.8,-1.0
199402,30.9,-0.9
199403,30.9,-0.9
199404,31.2,-0.6
199405,31.3,-0.5
199406,31.7,-0.1
199407,32.4,0.6
199408,32.9,1.1
199409,33.3,1.5
199410,33.3,1.5
199411,33.3,1.5
199412,33.5,1.7
199501,33.4,1.6
199502,34.2,2.4
199503,34.0,2.2
199504,33.8,2.0
199505,33.3,1.5
199506,32.8,1.0
199507,32.6,0.8
199508,32.4,0.6
199509,32.3,0.5
199510,32.1,0.3
199511,32.9,1.1
199512,33.2,1.4
199601,33.1,1.3
199602,32.6,0.8
199603,32.6,0.8
199604,32.6,0.8
199605,32.8,1.0
199606,33.2,1.4
199607,33.5,1.7
199608,33.4,1.6
199609,33.2,1.4
199610,33.3,1.5
199611,33.0,1.2
199612,32.9,1.1
199701,32.8,1.0
199702,32.5,0.7
199703,32.5,0.7
199704,32.3,0.5
199705,32.4,0.6
199706,32.4,0.6
199707,32.1,0.3
199708,32.3,0.5
199709,32.7,0.9
199710,32.7,0.9
199711,32.7,0.9
199712,32.2,0.4
199801,32.5,0.7
199802,33.0,1.2
199803,32.8,1.0
199804,33.0,1.2
199805,32.8,1.0
199806,32.4,0.6
199807,32.8,1.0
199808,32.7,0.9
199809,32.9,1.1
199810,33.0,1.2
199811,33.1,1.3
199812,33.1,1.3
199901,33.1,1.3
199902,33.0,1.2
199903,33.3,1.5
199904,33.1,1.3
199905,32.9,1.1
199906,33.1,1.3
199907,32.9,1.1
199908,32.9,1.1
199909,32.3,0.5
199910,32.3,0.5
199911,32.5,0.7
199912,32.7,0.9
200001,32.7,0.9
200002,33.0,1.2
200003,32.9,1.1
200004,33.5,1.7
200005,33.9,2.1
200006,34.1,2.3
200007,34.3,2.5
200008,34.5,2.7
200009,34.8,3.0
200010,34.9,3.1
200011,33.9,2.1
200012,33.9,2.1
200101,33.4,1.6
200102,32.9,1.1
200103,33.2,1.4
200104,33.0,1.2
200105,33.0,1.2
200106,33.0,1.2
200107,33.0,1.2
200108,33.0,1.2
200109,33.3,1.5
200110,33.3,1.5
200111,34.2,2.4
200112,33.9,2.1
200201,33.8,2.0
200202,33.3,1.5
200203,32.7,0.9
200204,32.7,0.9
200205,32.5,0.7
200206,32.5,0.7
200207,32.6,0.8
200208,32.3,0.5
200209,32.1,0.3
200210,31.9,0.1
200211,31.5,-0.3
200212,32.0,0.2
200301,32.9,1.1
200302,33.3,1.5
200303,33.8,2.0
200304,33.8,2.0
200305,33.9,2.1
200306,33.8,2.0
200307,33.9,2.1
200308,34.2,2.4
200309,34.1,2.3
200310,34.5,2.7
200311,34.5,2.7
200312,34.5,2.7
200401,33.6,1.8
200402,33.5,1.7
200403,33.6,1.8
200404,33.8,2.0
200405,33.7,1.9
200406,33.7,1.9
200407,33.4,1.6
200408,32.9,1.1
200409,32.9,1.1
200410,32.7,0.9
200411,32.9,1.1
200412,32.8,1.0
200501,33.5,1.7
200502,33.8,2.0
200503,33.4,1.6
200504,33.3,1.5
200505,33.3,1.5
200506,33.0,1.2
200507,33.1,1.3
200508,33.3,1.5
200509,33.3,1.5
200510,33.3,1.5
200511,33.5,1.7
200512,33.2,1.4
200601,32.9,1.1
200602,32.6,0.8
200603,32.5,0.7
200604,32.7,0.9
200605,32.8,1.0
200606,33.2,1.4
200607,33.4,1.6
200608,33.3,1.5
200609,33.2,1.4
200610,33.0,1.2
200611,32.9,1.1
200612,32.9,1.1
200701,32.2,0.4
200702,32.7,0.9
200703,33.0,1.2
200704,33.0,1.2
200705,32.9,1.1
200706,32.8,1.0
200707,32.9,1.1
200708,33.2,1.4
200709,33.4,1.6
200710,33.5,1.7
200711,33.6,1.8
200712,33.3,1.5
200801,33.3,1.5
200802,33.0,1.2
200803,32.4,0.6
200804,31.8,0.0
200805,31.5,-0.3
200806,31.3,-0.5
200807,31.1,-0.7
200808,30.8,-1.0
200809,30.8,-1.0
200810,30.8,-1.0
200811,31.1,-0.7
200812,31.3,-0.5
200901,31.9,0.1
200902,32.1,0.3
200903,32.3,0.5
200904,32.8,1.0
200905,33.1,1.3
200906,33.0,1.2
200907,32.9,1.1
200908,32.7,0.9
200909,33.0,1.2
200910,32.7,0.9
200911,32.4,0.6
200912,32.0,0.2
201001,32.0,0.2
201002,31.9,0.1
201003,32.0,0.2
201004,31.9,0.1
201005,31.4,-0.4
201006,31.4,-0.4
201007,31.5,-0.3
201008,31.6,-0.2
201009,31.3,-0.5
201010,31.9,0.1
201011,31.7,-0.1
201012,32.6,0.8
201101,32.3,0.5
201102,32.1,0.3
201103,32.2,0.4
201104,32.0,0.2
201105,32.1,0.3
201106,31.9,0.1
201107,32.0,0.2
201108,32.2,0.4
201109,32.4,0.6
201110,32.3,0.5
201111,32.2,0.4
201112,31.7,-0.1
201201,32.0,0.2
201202,32.3,0.5
201203,32.7,0.9
201204,33.1,1.3
201205,33.5,1.7
201206,33.7,1.9
201207,33.9,2.1
201208,34.0,2.2
201209,34.1,2.3
201210,34.0,2.2
201211,34.5,2.7
201212,34.8,3.0
201301,34.2,2.4
201302,33.8,2.0
201303,33.5,1.7
201304,33.1,1.3
201305,33.2,1.4
201306,33.3,1.5
201307,33.3,1.5
201308,33.2,1.4
201309,33.2,1.4
201310,33.1,1.3
201311,32.9,1.1
201312,32.4,0.6
201401,33.0,1.2
201402,33.7,1.9
201403,33.8,2.0
201404,34.0,2.2
201405,34.0,2.2
201406,33.9,2.1
201407,33.8,2.0
201408,33.5,1.7
201409,33.6,1.8
201410,34.0,2.2
201411,33.8,2.0
201412,34.5,2.7
201501,34.9,3.1
201502,35.1,3.3
201503,35.4,3.6
201504,35.5,3.7
201505,35.5,3.7
201506,36.0,4.2
201507,35.7,3.9
201508,35.8,4.0
201509,35.9,4.1
201510,36.2,4.4
201511,36.0,4.2
201512,35.6,3.8
201601,35.1,3.3
201602,34.8,3.0
201603,34.7,2.9
201604,34.8,3.0
201605,34.7,2.9
201606,34.6,2.8
201607,34.9,3.1
201608,34.8,3.0
201609,34.5,2.7
201610,34.3,2.5
201611,35.0,3.2
201612,34.8,3.0
201701,34.6,2.8
201702,34.8,3.0
201703,35.1,3.3
201704,34.8,3.0
201705,34.8,3.0
201706,34.7,2.9
201707,34.9,3.1
201708,35.1,3.3
201709,35.1,3.3
201710,34.6,2.8
201711,34.6,2.8
201712,34.9,3.1
201801,35.6,3.8
201802,35.4,3.6
201803,35.0,3.2
201804,35.1,3.3
201805,35.3,3.5
201806,35.2,3.4
201807,35.2,3.4
201808,35.1,3.3
201809,35.2,3.4
201810,35.5,3.7
201811,35.0,3.2
201812,34.9,3.1
201901,34.3,2.5
201902,34.0,2.2
201903,33.9,2.1
201904,34.0,2.2
201905,33.7,1.9
201906,33.6,1.8
201907,33.3,1.5
201908,33.2,1.4
201909,33.2,1.4
201910,32.5,0.7
201911,32.6,0.8
201912,32.8,1.0
202001,33.1,1.3
202002,33.0,1.2
202003,33.2,1.4
202004,33.0,1.2
202005,33.2,1.4
202006,33.2,1.4
202007,33.1,1.3
202008,33.3,1.5
202009,33.2,1.4
202010,33.9,2.1
202011,34.0,2.2
202012,33.8,2.0
202101,33.6,1.8
202102,33.9,2.1
202103,33.6,1.8
202104,33.5,1.7
202105,33.4,1.6
202106,34.0,2.2
202107,34.4,2.6
202108,34.1,2.3
202109,34.3,2.5
202110,34.3,2.5
202111,34.7,2.9
202112,35.1,3.3
202201,34.9,3.1
202202,34.5,2.7
202203,34.6,2.8
202204,34.5,2.7
202205,34.2,2.4
202206,33.7,1.9
202207,33.6,1.8
202208,33.9,2.1
202209,34.1,2.3
202210,34.1,2.3
202211,33.2,1.4
202212,32.9,1.1
202301,32.9,1.1
202302,32.9,1.1
202303,32.3,0.5
202304,32.3,0.5
202305,32.8,1.0
202306,32.7,0.9
202307,32.6,0.8
202308,32.5,0.7
202309,32.3,0.5
202310,32.3,0.5
202311,32.9,1.1
202312,33.3,1.5
202401,33.6,1.8
202402,34.2,2.4
202403,34.7,2.9
