Morgan County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.22,-3.60
199002,-3.48,-3.82
199003,-3.67,-4.03
199004,-3.64,-3.88
199005,-3.23,-3.47
199006,-2.84,-2.97
199007,-2.48,-2.66
199008,-2.54,-2.63
199009,-2.46,-2.66
199010,-2.49,-2.72
199011,-2.41,-2.56
199012,-2.58,-2.71
199101,-2.77,-3.15
199102,-2.83,-3.17
199103,0.09,-0.27
199104,0.50,0.26
199105,1.17,0.93
199106,1.20,1.07
199107,1.05,0.87
199108,0.93,0.84
199109,1.47,1.27
199110,1.61,1.38
199111,1.93,1.78
199112,-0.63,-0.76
199201,-1.21,-1.59
199202,-1.14,-1.48
199203,-2.12,-2.48
199204,-2.94,-3.18
199205,-3.28,-3.52
199206,-3.30,-3.43
199207,-2.87,-3.05
199208,-3.06,-3.15
199209,-3.09,-3.29
199210,0.16,-0.07
199211,0.42,0.27
199212,0.63,0.50
199301,1.41,1.03
199302,1.47,1.13
199303,1.20,0.84
199304,1.20,0.96
199305,1.78,1.54
199306,2.55,2.42
199307,3.81,3.63
199308,4.28,4.19
199309,3.66,3.46
199310,3.93,3.70
199311,-0.16,-0.31
199312,-0.67,-0.80
199401,-0.88,-1.26
199402,-0.17,-0.51
199403,-0.37,-0.73
199404,-0.34,-0.58
199405,-0.76,-1.00
199406,-1.53,-1.66
199407,-2.48,-2.66
199408,-2.81,-2.90
199409,-2.90,-3.10
199410,0.78,0.55
199411,1.74,1.59
199412,1.49,1.36
199501,2.01,1.63
199502,1.55,1.21
199503,2.32,1.96
199504,1.96,1.72
199505,3.11,2.87
199506,3.54,3.41
199507,3.95,3.77
199508,3.54,3.45
199509,3.11,2.91
199510,2.40,2.17
199511,1.66,1.51
199512,1.39,1.26
199601,2.65,2.27
199602,2.53,2.19
199603,2.41,2.05
199604,2.27,2.03
199605,2.11,1.87
199606,-0.55,-0.68
199607,-0.83,-1.01
199608,-1.57,-1.66
199609,0.11,-0.09
199610,0.23,0.00
199611,0.54,0.39
199612,1.87,1.74
199701,2.89,2.51
199702,2.34,2.00
199703,1.36,1.00
199704,1.52,1.28
199705,1.31,1.07
199706,1.57,1.44
199707,1.85,1.67
199708,2.28,2.19
199709,2.79,2.59
199710,2.64,2.41
199711,2.00,1.85
199712,1.34,1.21
199801,2.14,1.76
199802,2.88,2.54
199803,2.78,2.42
199804,2.35,2.11
199805,2.63,2.39
199806,4.15,4.02
199807,4.76,4.58
199808,4.68,4.59
199809,4.31,4.11
199810,4.08,3.85
199811,3.53,3.38
199812,2.64,2.51
199901,2.83,2.45
199902,2.82,2.48
199903,1.76,1.40
199904,2.51,2.27
199905,3.11,2.87
199906,3.00,2.87
199907,3.01,2.83
199908,-0.04,-0.13
199909,-0.27,-0.47
199910,-1.17,-1.40
199911,-2.22,-2.37
199912,-2.70,-2.83
200001,-2.47,-2.85
200002,-1.73,-2.07
200003,-1.77,-2.13
200004,-2.44,-2.68
200005,-2.42,-2.66
200006,-2.82,-2.95
200007,-3.39,-3.57
200008,-2.54,-2.63
200009,-2.19,-2.39
200010,-1.74,-1.97
200011,-1.82,-1.97
200012,-1.90,-2.03
200101,-2.40,-2.78
200102,-2.00,-2.34
200103,-2.51,-2.87
200104,-2.01,-2.25
200105,-2.71,-2.95
200106,-2.94,-3.07
200107,-2.97,-3.15
200108,-3.14,-3.23
200109,-3.52,-3.72
200110,-3.44,-3.67
200111,-2.69,-2.84
200112,-2.31,-2.44
200201,-2.31,-2.69
200202,-2.73,-3.07
200203,-2.27,-2.63
200204,-2.14,-2.38
200205,-2.18,-2.42
200206,-2.59,-2.72
200207,-3.14,-3.32
200208,-3.67,-3.76
200209,-2.85,-3.05
200210,-2.63,-2.86
200211,-2.67,-2.82
200212,-2.87,-3.00
200301,-3.34,-3.72
200302,-3.21,-3.55
200303,-3.16,-3.52
