Morgan County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.22,-3.46
199002,-3.48,-3.86
199003,-3.67,-4.14
199004,-3.64,-4.01
199005,-3.23,-3.65
199006,-2.84,-3.14
199007,-2.48,-2.74
199008,-2.54,-2.78
199009,-2.46,-2.70
199010,-2.49,-2.71
199011,-2.41,-2.53
199012,-2.58,-2.71
199101,-2.77,-3.01
199102,-2.83,-3.21
199103,-2.45,-2.92
199104,-1.78,-2.15
199105,-0.87,-1.29
199106,-0.63,-0.93
199107,-0.59,-0.85
199108,0.93,0.69
199109,1.47,1.23
199110,1.61,1.39
199111,1.93,1.81
199112,1.10,0.97
199201,-1.21,-1.45
199202,-1.14,-1.52
199203,-2.12,-2.59
199204,-2.94,-3.31
199205,-3.28,-3.70
199206,-3.30,-3.60
199207,-2.87,-3.13
199208,-3.06,-3.30
199209,-3.09,-3.33
199210,-2.61,-2.83
199211,-2.06,-2.18
199212,-1.60,-1.73
199301,-0.59,-0.83
199302,1.47,1.09
199303,1.20,0.73
199304,1.20,0.83
199305,1.78,1.36
199306,2.55,2.25
199307,3.81,3.55
199308,4.28,4.04
199309,3.66,3.42
199310,3.93,3.71
199311,3.36,3.24
199312,2.49,2.36
199401,1.95,1.71
199402,2.37,1.99
199403,1.91,1.44
199404,1.71,1.34
199405,1.07,0.65
199406,-1.53,-1.83
199407,-2.48,-2.74
199408,-2.81,-3.05
199409,-2.90,-3.14
199410,-1.82,-2.04
199411,-0.59,-0.71
199412,-0.60,-0.73
199501,2.01,1.77
199502,1.55,1.17
199503,2.32,1.85
199504,1.96,1.59
199505,3.11,2.69
199506,3.54,3.24
199507,3.95,3.69
199508,3.54,3.30
199509,3.11,2.87
199510,2.40,2.18
199511,1.66,1.54
199512,1.39,1.26
199601,2.65,2.41
199602,2.53,2.15
199603,2.41,1.94
199604,2.27,1.90
199605,2.11,1.69
199606,1.34,1.04
199607,0.87,0.61
199608,-1.57,-1.81
199609,-1.30,-1.54
199610,-1.03,-1.25
199611,-0.59,-0.71
199612,1.87,1.74
199701,2.89,2.65
199702,2.34,1.96
199703,1.36,0.89
199704,1.52,1.15
199705,1.31,0.89
199706,1.57,1.27
199707,1.85,1.59
199708,2.28,2.04
199709,2.79,2.55
199710,2.64,2.42
199711,2.00,1.88
199712,1.34,1.21
199801,2.14,1.90
199802,2.88,2.50
199803,2.78,2.31
199804,2.35,1.98
199805,2.63,2.21
199806,4.15,3.85
199807,4.76,4.50
199808,4.68,4.44
199809,4.31,4.07
199810,4.08,3.86
199811,3.53,3.41
199812,2.64,2.51
199901,2.83,2.59
199902,2.82,2.44
199903,1.76,1.29
199904,2.51,2.14
199905,3.11,2.69
199906,3.00,2.70
199907,3.01,2.75
199908,2.66,2.42
199909,2.15,1.91
199910,1.00,0.78
199911,-2.22,-2.34
199912,-2.70,-2.83
200001,-2.47,-2.71
