Morgan County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-1.32,-1.67
199002,-1.78,-2.03
199003,-1.65,-1.85
199004,-1.06,-1.00
199005,0.11,-0.06
199006,0.18,0.24
199007,0.20,0.11
199008,-0.95,-1.01
199009,-0.56,-0.70
199010,-0.85,-1.00
199011,-0.52,-0.42
199012,-1.25,-1.14
199101,-1.38,-1.73
199102,-1.03,-1.28
199103,0.27,0.07
199104,1.25,1.31
199105,2.18,2.01
199106,0.45,0.51
199107,-0.09,-0.18
199108,-0.03,-0.09
199109,1.90,1.76
199110,0.88,0.73
199111,1.44,1.54
199112,-1.89,-1.78
199201,-1.92,-2.27
199202,-0.15,-0.40
199203,-3.30,-3.50
199204,-3.13,-3.07
199205,-1.91,-2.08
199206,-1.07,-1.01
199207,0.28,0.19
199208,-1.45,-1.51
199209,-1.05,-1.19
199210,0.48,0.33
199211,0.85,0.95
199212,0.74,0.85
199301,2.53,2.18
199302,0.62,0.37
199303,-0.36,-0.56
199304,0.37,0.43
199305,2.13,1.96
199306,2.86,2.92
199307,4.56,4.47
199308,2.59,2.53
199309,-0.55,-0.69
199310,1.93,1.78
199311,-0.47,-0.37
199312,-1.58,-1.47
199401,-0.86,-1.21
199402,1.86,1.61
199403,-0.63,-0.83
199404,-0.02,0.04
199405,-1.38,-1.55
199406,-2.53,-2.47
199407,-3.34,-3.43
199408,-1.77,-1.83
199409,-1.13,-1.27
199410,2.34,2.19
199411,3.12,3.22
199412,-0.21,-0.10
199501,2.02,1.67
199502,-0.77,-1.02
199503,2.80,2.60
199504,-0.37,-0.31
199505,4.04,3.87
199506,2.25,2.31
199507,2.32,2.23
199508,0.01,-0.05
199509,-0.22,-0.36
199510,-1.16,-1.31
199511,-1.48,-1.38
199512,-0.29,-0.18
199601,4.22,3.87
199602,0.45,0.20
199603,0.42,0.22
199604,0.32,0.38
199605,0.22,0.05
199606,-1.66,-1.60
199607,-0.99,-1.08
199608,-2.48,-2.54
199609,0.33,0.19
199610,0.40,0.25
199611,1.01,1.11
199612,4.14,4.25
199701,3.63,3.28
199702,-0.74,-0.99
199703,-2.21,-2.41
199704,0.90,0.96
199705,-0.16,-0.33
199706,1.18,1.24
199707,1.32,1.23
199708,1.89,1.83
199709,2.21,2.07
199710,0.41,0.26
199711,-1.10,-1.00
199712,-1.35,-1.24
199801,2.80,2.45
199802,2.89,2.64
199803,0.59,0.39
199804,-0.44,-0.38
199805,1.57,1.40
199806,5.38,5.44
199807,3.10,3.01
199808,1.25,1.19
199809,0.32,0.18
199810,0.66,0.51
199811,-0.40,-0.30
199812,-1.57,-1.46
199901,1.37,1.02
199902,0.86,0.61
199903,-2.32,-2.52
199904,2.79,2.85
199905,2.57,2.40
199906,0.63,0.69
199907,0.97,0.88
199908,-0.11,-0.17
