Morgan County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,20.63,-5.37
199002,19.45,-6.56
199003,18.06,-7.97
199004,18.75,-7.25
199005,19.30,-6.71
199006,19.75,-6.26
199007,19.77,-6.24
199008,19.46,-6.57
199009,19.57,-6.46
199010,19.06,-6.98
199011,19.64,-6.36
199012,21.31,-4.71
199101,20.51,-5.49
199102,20.70,-5.31
199103,21.51,-4.52
199104,22.60,-3.40
199105,24.03,-1.98
199106,24.10,-1.91
199107,23.64,-2.37
199108,24.29,-1.74
199109,25.61,-0.42
199110,26.91,0.87
199111,27.81,1.81
199112,26.52,0.50
199201,25.54,-0.46
199202,26.19,0.18
199203,24.61,-1.42
199204,22.13,-3.87
199205,20.26,-5.75
199206,19.89,-6.12
199207,21.24,-4.77
199208,20.36,-5.67
199209,18.49,-7.54
199210,18.47,-7.57
199211,18.21,-7.79
199212,20.77,-5.25
199301,24.13,-1.87
199302,24.71,-1.30
199303,26.21,0.18
199304,28.05,2.05
199305,30.46,4.45
199306,32.37,6.36
199307,33.14,7.13
199308,33.83,7.80
199309,33.42,7.39
199310,33.89,7.85
199311,31.96,5.96
199312,29.74,3.72
199401,27.18,1.18
199402,28.10,2.09
199403,28.17,2.14
199404,28.35,2.35
199405,25.83,-0.18
199406,22.72,-3.29
199407,20.50,-5.51
199408,20.25,-5.78
199409,20.90,-5.13
199410,21.52,-4.52
199411,24.88,-1.12
199412,25.68,-0.34
199501,27.84,1.84
199502,26.07,0.06
199503,28.01,1.98
199504,27.29,1.29
199505,30.60,4.59
199506,33.30,7.29
199507,34.24,8.23
199508,33.86,7.83
199509,34.02,7.99
199510,31.19,5.15
199511,28.62,2.62
199512,29.75,3.73
199601,32.00,6.00
199602,32.72,6.71
199603,31.14,5.11
199604,31.79,5.79
199605,29.23,3.22
199606,26.81,0.80
199607,26.50,0.49
199608,26.03,0.00
199609,26.47,0.44
199610,27.88,1.84
199611,29.36,3.36
199612,32.61,6.59
199701,31.63,5.63
199702,30.74,4.73
199703,29.09,3.06
199704,29.24,3.24
199705,29.30,3.29
199706,31.27,5.26
199707,31.62,5.61
199708,33.64,7.61
199709,34.76,8.73
199710,34.56,8.52
199711,32.44,6.44
199712,27.92,1.90
199801,27.79,1.79
199802,30.50,4.49
199803,31.96,5.93
199804,31.14,5.14
199805,32.07,6.06
199806,34.70,8.69
199807,35.04,9.03
199808,34.15,8.12
199809,32.90,6.87
199810,33.06,7.02
199811,33.74,7.74
199812,33.38,7.36
199901,32.15,6.15
199902,30.64,4.63
199903,29.18,3.15
199904,31.48,5.48
199905,32.05,6.04
199906,28.87,2.86
199907,28.20,2.19
199908,28.06,2.03
199909,27.36,1.33
199910,25.17,-0.87
199911,23.87,-2.13
199912,24.41,-1.61
200001,24.52,-1.48
200002,25.11,-0.90
200003,25.94,-0.09
200004,22.60,-3.40
200005,20.90,-5.11
200006,19.46,-6.55
200007,19.05,-6.96
200008,20.77,-5.26
200009,21.67,-4.36
200010,24.12,-1.92
200011,25.14,-0.86
200012,25.52,-0.50
200101,22.65,-3.35
200102,21.75,-4.26
200103,21.06,-4.97
200104,23.31,-2.69
200105,21.66,-4.35
200106,22.38,-3.63
200107,23.24,-2.77
200108,21.36,-4.67
200109,20.05,-5.98
200110,19.13,-6.91
200111,21.56,-4.44
200112,22.32,-3.70
200201,23.03,-2.97
200202,21.22,-4.79
200203,22.49,-3.54
200204,21.78,-4.22
200205,22.94,-3.07
200206,22.15,-3.86
200207,21.40,-4.61
200208,20.72,-5.31
200209,22.81,-3.22
200210,22.84,-3.20
200211,20.53,-5.47
200212,19.39,-6.63
200301,18.97,-7.03
200302,20.25,-5.76
200303,19.77,-6.26
200304,18.96,-7.04
200305,19.52,-6.49
200306,20.83,-5.18
200307,20.64,-5.37
200308,21.43,-4.60
200309,19.97,-6.06
200310,18.99,-7.05
200311,20.78,-5.22
200312,23.67,-2.35
200401,24.06,-1.94
200402,24.90,-1.11
200403,23.84,-2.19
200404,24.19,-1.81
200405,23.88,-2.13
200406,23.88,-2.13
200407,24.48,-1.53
200408,24.82,-1.21
200409,25.01,-1.02
200410,30.56,4.52
200411,28.83,2.83
200412,26.94,0.92
200501,28.68,2.68
200502,27.80,1.79
200503,30.07,4.04
200504,30.79,4.79
200505,33.04,7.03
200506,34.08,8.07
200507,33.21,7.20
200508,32.86,6.83
200509,32.33,6.30
200510,27.61,1.57
200511,28.37,2.37
200512,29.79,3.77
200601,30.48,4.48
200602,30.08,4.07
200603,30.72,4.69
200604,30.75,4.75
200605,28.08,2.07
200606,26.72,0.71
200607,27.21,1.20
200608,27.88,1.85
200609,30.26,4.23
200610,31.39,5.35
200611,31.45,5.45
200612,28.72,2.70
200701,25.65,-0.35
200702,26.72,0.71
200703,24.27,-1.76
200704,22.67,-3.33
200705,22.44,-3.57
200706,22.60,-3.41
200707,22.85,-3.16
200708,22.06,-3.97
200709,21.12,-4.91
200710,21.01,-5.03
200711,18.77,-7.23
200712,21.49,-4.53
200801,24.58,-1.42
200802,24.97,-1.04
200803,24.94,-1.09
200804,24.82,-1.18
200805,25.49,-0.52
200806,25.08,-0.93
200807,24.32,-1.69
200808,24.54,-1.49
200809,23.83,-2.20
200810,22.80,-3.24
200811,24.36,-1.64
200812,23.06,-2.96
200901,22.43,-3.57
200902,21.67,-4.34
200903,22.83,-3.20
200904,25.31,-0.69
200905,24.98,-1.03
200906,28.23,2.22
200907,28.60,2.59
200908,28.23,2.20
200909,28.04,2.01
200910,28.82,2.78
200911,27.23,1.23
200912,26.87,0.85
201001,25.14,-0.86
201002,23.75,-2.26
201003,22.48,-3.55
201004,22.12,-3.88
201005,24.31,-1.70
201006,21.91,-4.10
201007,21.91,-4.10
201008,22.62,-3.41
201009,21.81,-4.22
201010,23.22,-2.82
201011,26.17,0.17
201012,30.13,4.11
201101,30.38,4.38
201102,32.04,6.03
201103,34.34,8.31
201104,36.33,10.33
201105,37.67,11.66
201106,36.88,10.87
201107,37.31,11.30
201108,37.74,11.71
201109,38.37,12.34
201110,36.39,10.35
201111,35.63,9.63
201112,29.41,3.39
201201,30.22,4.22
201202,28.71,2.70
201203,26.18,0.15
201204,22.68,-3.32
201205,18.96,-7.05
201206,17.95,-8.06
201207,17.96,-8.05
201208,16.37,-9.66
201209,16.55,-9.48
201210,17.41,-8.63
201211,16.39,-9.61
201212,19.30,-6.72
201301,18.26,-7.74
201302,17.91,-8.10
201303,17.61,-8.42
201304,18.20,-7.80
201305,18.72,-7.29
201306,18.70,-7.31
201307,19.00,-7.01
201308,19.33,-6.70
201309,20.63,-5.40
201310,19.60,-6.44
201311,19.00,-7.00
201312,18.44,-7.58
201401,18.55,-7.45
201402,21.89,-4.12
201403,23.41,-2.62
201404,22.84,-3.16
201405,22.44,-3.57
201406,23.77,-2.24
201407,24.19,-1.82
201408,26.51,0.48
201409,27.52,1.49
201410,26.15,0.11
201411,27.13,1.13
201412,27.37,1.35
201501,26.79,0.79
201502,23.62,-2.39
201503,22.20,-3.83
201504,22.28,-3.72
201505,25.85,-0.16
201506,25.33,-0.68
201507,25.44,-0.57
201508,24.34,-1.69
201509,22.60,-3.43
201510,23.80,-2.24
201511,23.27,-2.73
201512,24.03,-1.99
201601,26.10,0.10
201602,26.33,0.32
201603,28.09,2.06
201604,28.88,2.88
201605,26.48,0.47
201606,26.11,0.10
201607,24.43,-1.58
201608,23.03,-3.00
201609,24.49,-1.54
201610,25.27,-0.77
201611,25.97,-0.03
201612,26.61,0.59
201701,29.44,3.44
201702,32.89,6.88
201703,33.03,7.00
201704,33.82,7.82
201705,32.38,6.37
201706,32.79,6.78
201707,33.44,7.43
201708,33.52,7.49
201709,33.24,7.21
201710,31.41,5.37
201711,31.61,5.61
201712,29.10,3.08
201801,24.70,-1.30
201802,21.61,-4.40
201803,21.52,-4.51
201804,20.05,-5.95
201805,20.65,-5.36
201806,20.04,-5.97
201807,19.53,-6.48
201808,19.73,-6.30
201809,16.75,-9.28
201810,20.15,-5.89
201811,20.87,-5.13
201812,21.12,-4.90
201901,22.78,-3.22
201902,25.24,-0.77
201903,27.10,1.07
201904,28.79,2.79
201905,31.05,5.04
201906,31.50,5.49
201907,31.69,5.68
201908,31.53,5.50
201909,34.19,8.16
201910,31.58,5.54
201911,30.24,4.24
201912,31.45,5.43
202001,31.08,5.08
202002,28.88,2.87
202003,26.66,0.63
202004,23.76,-2.24
202005,20.54,-5.47
202006,22.51,-3.50
202007,22.35,-3.66
202008,21.89,-4.14
202009,19.45,-6.58
202010,18.83,-7.21
202011,18.98,-7.02
202012,16.59,-9.43
202101,15.25,-10.75
202102,16.58,-9.43
202103,15.37,-10.66
202104,16.06,-9.94
202105,16.33,-9.68
202106,14.01,-12.00
202107,14.89,-11.12
202108,17.97,-8.06
202109,18.35,-7.68
202110,22.31,-3.73
202111,21.26,-4.74
202112,24.54,-1.48
202201,24.54,-1.46
202202,21.64,-4.37
202203,22.15,-3.88
202204,23.06,-2.94
202205,24.58,-1.43
202206,25.04,-0.97
202207,24.28,-1.73
202208,23.04,-2.99
202209,24.02,-2.01
202210,20.67,-5.37
202211,23.43,-2.57
202212,23.17,-2.85
202301,26.82,0.82
202302,29.08,3.07
202303,33.54,7.51
202304,33.83,7.83
202305,32.39,6.38
202306,32.86,6.85
202307,33.04,7.03
202308,33.30,7.27
202309,33.78,7.75
202310,34.96,8.92
202311,32.96,6.96
202312,31.58,5.56
202401,29.83,3.83
202402,31.74,5.73
202403,29.23,3.20
