Piute County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,43.8,1.3
199002,44.0,1.5
199003,43.8,1.3
199004,43.6,1.1
199005,43.5,1.0
199006,43.8,1.3
199007,43.8,1.3
199008,43.9,1.4
199009,44.1,1.6
199010,44.2,1.7
199011,44.2,1.7
199012,43.6,1.1
199101,43.1,0.6
199102,43.6,1.1
199103,43.1,0.6
199104,42.7,0.2
199105,42.4,-0.1
199106,42.1,-0.4
199107,42.0,-0.5
199108,42.1,-0.4
199109,41.9,-0.6
199110,41.9,-0.6
199111,41.8,-0.7
199112,42.5,0.0
199201,42.8,0.3
199202,42.7,0.2
199203,43.2,0.7
199204,44.0,1.5
199205,44.5,2.0
199206,44.6,2.1
199207,44.4,1.9
199208,44.4,1.9
199209,44.4,1.9
199210,44.6,2.1
199211,44.3,1.8
199212,43.8,1.3
199301,44.0,1.5
199302,43.5,1.0
199303,43.6,1.1
199304,43.0,0.5
199305,43.0,0.5
199306,42.7,0.2
199307,42.7,0.2
199308,42.6,0.1
199309,42.4,-0.1
199310,42.1,-0.4
199311,42.2,-0.3
199312,42.5,0.0
199401,42.6,0.1
199402,42.5,0.0
199403,42.6,0.1
199404,42.7,0.2
199405,42.7,0.2
199406,43.4,0.9
199407,43.8,1.3
199408,44.2,1.7
199409,44.4,1.9
199410,44.3,1.8
199411,44.1,1.6
199412,44.3,1.8
199501,44.2,1.7
199502,45.1,2.6
199503,44.9,2.4
199504,44.6,2.1
199505,44.1,1.6
199506,43.3,0.8
199507,43.0,0.5
199508,42.9,0.4
199509,42.9,0.4
199510,43.1,0.6
199511,44.0,1.5
199512,44.2,1.7
199601,44.2,1.7
199602,43.9,1.4
199603,43.9,1.4
199604,44.1,1.6
199605,44.7,2.2
199606,45.4,2.9
199607,45.8,3.3
199608,45.8,3.3
199609,45.4,2.9
199610,45.2,2.7
199611,44.8,2.3
199612,44.7,2.2
199701,44.6,2.1
199702,44.0,1.5
199703,44.2,1.7
199704,44.0,1.5
199705,44.0,1.5
199706,43.7,1.2
199707,43.3,0.8
199708,43.1,0.6
199709,43.4,0.9
199710,43.5,1.0
199711,43.5,1.0
199712,43.3,0.8
199801,43.5,1.0
199802,43.5,1.0
199803,43.1,0.6
199804,43.2,0.7
199805,42.8,0.3
199806,42.4,-0.1
199807,42.7,0.2
199808,42.8,0.3
199809,42.8,0.3
199810,42.6,0.1
199811,42.6,0.1
199812,42.7,0.2
199901,42.7,0.2
199902,43.1,0.6
199903,43.5,1.0
199904,43.3,0.8
199905,43.2,0.7
199906,43.6,1.1
199907,43.5,1.0
199908,43.2,0.7
199909,43.1,0.6
199910,43.5,1.0
199911,43.9,1.4
199912,44.0,1.5
200001,44.0,1.5
200002,44.2,1.7
200003,43.9,1.4
200004,44.8,2.3
200005,45.3,2.8
200006,45.6,3.1
200007,45.8,3.3
200008,46.1,3.6
200009,46.3,3.8
200010,46.0,3.5
200011,44.9,2.4
200012,45.1,2.6
200101,44.7,2.2
200102,44.4,1.9
200103,44.6,2.1
200104,44.2,1.7
200105,44.2,1.7
200106,44.2,1.7
200107,44.1,1.6
200108,44.1,1.6
200109,44.3,1.8
200110,44.6,2.1
200111,45.3,2.8
200112,44.9,2.4
200201,44.8,2.3
200202,44.6,2.1
200203,44.3,1.8
200204,44.6,2.1
200205,44.3,1.8
200206,44.5,2.0
200207,44.8,2.3
200208,44.8,2.3
200209,44.4,1.9
200210,44.0,1.5
200211,43.8,1.3
200212,43.9,1.4
200301,44.7,2.2
200302,44.6,2.1
200303,44.9,2.4
200304,44.4,1.9
200305,44.5,2.0
200306,44.2,1.7
200307,44.3,1.8
200308,44.3,1.8
200309,44.4,1.9
200310,45.2,2.7
200311,45.1,2.6
200312,45.4,2.9
200401,44.6,2.1
200402,44.3,1.8
200403,44.9,2.4
200404,45.1,2.6
200405,45.2,2.7
200406,45.2,2.7
200407,44.7,2.2
200408,44.5,2.0
200409,44.3,1.8
200410,43.6,1.1
200411,43.6,1.1
200412,43.6,1.1
200501,44.3,1.8
200502,44.9,2.4
200503,44.3,1.8
200504,44.2,1.7
200505,44.1,1.6
200506,43.7,1.2
200507,43.9,1.4
200508,43.9,1.4
200509,43.9,1.4
200510,44.1,1.6
200511,44.5,2.0
200512,44.5,2.0
200601,44.2,1.7
200602,44.0,1.5
200603,43.7,1.2
200604,43.9,1.4
200605,44.0,1.5
200606,44.6,2.1
200607,44.6,2.1
200608,44.7,2.2
200609,44.4,1.9
200610,44.3,1.8
200611,44.2,1.7
200612,43.9,1.4
200701,43.4,0.9
200702,43.6,1.1
200703,44.2,1.7
200704,44.2,1.7
200705,44.1,1.6
200706,44.0,1.5
200707,44.1,1.6
200708,44.3,1.8
200709,44.6,2.1
200710,44.7,2.2
200711,44.9,2.4
200712,44.7,2.2
200801,44.7,2.2
200802,44.4,1.9
200803,44.0,1.5
200804,43.6,1.1
200805,43.2,0.7
200806,43.0,0.5
200807,42.8,0.3
200808,42.8,0.3
200809,42.8,0.3
200810,42.9,0.4
200811,42.8,0.3
200812,43.0,0.5
200901,43.6,1.1
200902,43.8,1.3
200903,43.8,1.3
200904,43.9,1.4
200905,44.5,2.0
200906,44.3,1.8
