Piute County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,7787,-462
199002,7724,-524
199003,7787,-462
199004,7863,-383
199005,7898,-347
199006,7794,-451
199007,7804,-441
199008,7776,-467
199009,7688,-553
199010,7657,-583
199011,7676,-567
199012,7897,-345
199101,8063,-186
199102,7884,-364
199103,8072,-177
199104,8249,3
199105,8327,82
199106,8439,194
199107,8452,207
199108,8435,192
199109,8509,268
199110,8504,264
199111,8537,294
199112,8273,31
199201,8162,-87
199202,8176,-72
199203,8010,-239
199204,7722,-524
199205,7541,-704
199206,7509,-736
199207,7547,-698
199208,7558,-685
199209,7536,-705
199210,7473,-767
199211,7589,-654
199212,7749,-493
199301,7704,-545
199302,7842,-406
199303,7823,-426
199304,8022,-224
199305,8054,-191
199306,8128,-117
199307,8147,-98
199308,8183,-60
199309,8235,-6
199310,8353,113
199311,8305,62
199312,8190,-52
199401,8152,-97
199402,8175,-73
199403,8152,-97
199404,8123,-123
199405,8119,-126
199406,7925,-320
199407,7838,-407
199408,7746,-497
199409,7669,-572
199410,7697,-543
199411,7781,-462
199412,7720,-522
199501,7737,-512
199502,7453,-795
199503,7524,-725
199504,7607,-639
199505,7794,-451
199506,8041,-204
199507,8107,-138
199508,8121,-122
199509,8124,-117
199510,8050,-190
199511,7710,-533
199512,7664,-578
199601,7646,-603
199602,7745,-503
199603,7732,-517
199604,7669,-577
199605,7454,-791
199606,7232,-1013
199607,7162,-1083
199608,7169,-1074
199609,7278,-963
199610,7365,-875
199611,7494,-749
199612,7539,-703
199701,7603,-646
199702,7784,-464
199703,7705,-544
199704,7799,-447
199705,7802,-443
199706,7881,-364
199707,7947,-298
199708,7986,-257
199709,7900,-341
199710,7858,-382
199711,7849,-394
199712,7941,-301
199801,7849,-400
199802,7843,-405
199803,7988,-261
199804,7983,-263
199805,8112,-133
199806,8249,4
199807,8196,-49
199808,8161,-82
199809,8174,-67
199810,8222,-18
199811,8229,-14
199812,8209,-33
199901,8185,-64
199902,8054,-194
199903,7928,-321
199904,7990,-256
199905,8008,-237
199906,7890,-355
199907,7917,-328
199908,7986,-257
199909,8034,-207
199910,7883,-357
199911,7717,-526
199912,7677,-565
200001,7681,-568
200002,7634,-614
200003,7730,-519
200004,7420,-826
200005,7212,-1033
200006,7131,-1114
200007,7099,-1146
200008,7026,-1217
200009,6958,-1283
200010,7063,-1177
200011,7472,-771
200012,7390,-852
200101,7517,-732
200102,7621,-627
200103,7577,-672
200104,7708,-538
200105,7713,-532
200106,7712,-533
200107,7734,-511
200108,7725,-518
200109,7656,-585
200110,7542,-698
200111,7295,-948
200112,7458,-784
200201,7484,-765
200202,7530,-718
200203,7665,-584
200204,7564,-682
200205,7657,-588
200206,7615,-630
200207,7574,-671
200208,7581,-662
200209,7696,-545
200210,7862,-378
200211,7916,-327
200212,7879,-363
200301,7611,-638
200302,7622,-626
200303,7530,-719
200304,7691,-555
200305,7678,-567
200306,7745,-500
200307,7737,-508
200308,7737,-506
200309,7681,-560
200310,7400,-840
200311,7431,-812
200312,7321,-921
200401,7624,-625
200402,7705,-543
200403,7492,-757
200404,7409,-837
200405,7402,-843
200406,7402,-843
200407,7458,-787
200408,7520,-723
200409,7591,-650
200410,7837,-403
200411,7827,-416
200412,7829,-413
200501,7581,-668
200502,7379,-869
200503,7601,-648
200504,7647,-599
200505,7674,-571
200506,7805,-440
200507,7766,-479
200508,7779,-464
200509,7762,-479
200510,7690,-550
200511,7557,-686
200512,7566,-676
200601,7687,-562
200602,7756,-492
200603,7860,-389
200604,7797,-449
200605,7736,-509
200606,7562,-683
200607,7566,-679
200608,7528,-715
200609,7622,-619
200610,7683,-557
200611,7705,-538
200612,7803,-439
200701,7998,-251
200702,7938,-310
200703,7700,-549
200704,7703,-543
200705,7731,-514
200706,7754,-491
200707,7746,-499
200708,7703,-540
200709,7592,-649
200710,7569,-671
200711,7497,-746
200712,7571,-671
200801,7571,-678
