Piute County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,57.9,2.8
199002,58.0,2.9
199003,57.6,2.5
199004,57.2,2.0
199005,57.1,1.9
199006,57.6,2.4
199007,57.4,2.2
199008,57.5,2.3
199009,57.6,2.4
199010,57.7,2.5
199011,57.4,2.2
199012,56.7,1.5
199101,56.2,1.1
199102,56.9,1.8
199103,56.3,1.2
199104,55.9,0.7
199105,55.6,0.4
199106,55.1,-0.1
199107,55.1,-0.1
199108,55.1,-0.1
199109,54.9,-0.3
199110,54.9,-0.3
199111,54.6,-0.6
199112,55.2,0.0
199201,55.5,0.4
199202,55.2,0.1
199203,55.7,0.6
199204,56.6,1.4
199205,57.0,1.8
199206,57.1,1.9
199207,56.9,1.7
199208,56.9,1.7
199209,57.1,1.9
199210,57.2,2.0
199211,56.9,1.7
199212,56.5,1.3
199301,56.3,1.2
199302,55.7,0.6
199303,55.8,0.7
199304,55.2,0.0
199305,55.2,0.0
199306,54.8,-0.4
199307,54.9,-0.3
199308,54.8,-0.4
199309,54.7,-0.5
199310,54.3,-0.9
199311,54.6,-0.6
199312,55.0,-0.2
199401,55.4,0.3
199402,55.6,0.5
199403,55.8,0.7
199404,55.9,0.7
199405,55.9,0.7
199406,56.7,1.5
199407,57.1,1.9
199408,57.5,2.3
199409,57.5,2.3
199410,57.4,2.2
199411,57.1,1.9
199412,57.1,1.9
199501,56.7,1.6
199502,57.6,2.5
199503,57.2,2.1
199504,57.0,1.8
199505,56.3,1.1
199506,55.3,0.1
199507,54.9,-0.3
199508,54.9,-0.3
199509,55.0,-0.2
199510,55.5,0.3
199511,56.7,1.5
199512,56.9,1.7
199601,57.2,2.1
199602,56.7,1.6
199603,57.0,1.9
199604,57.4,2.2
199605,58.1,2.9
199606,59.1,3.9
199607,59.4,4.2
199608,59.5,4.3
199609,59.0,3.8
199610,58.6,3.4
199611,58.1,2.9
199612,57.8,2.6
199701,57.5,2.4
199702,56.9,1.8
199703,57.3,2.2
199704,56.8,1.6
199705,56.9,1.7
199706,56.4,1.2
199707,56.0,0.8
199708,55.6,0.4
199709,55.7,0.5
199710,55.9,0.7
199711,55.9,0.7
199712,55.7,0.5
199801,56.1,1.0
199802,56.0,0.9
199803,55.4,0.3
199804,55.4,0.2
199805,55.0,-0.2
199806,54.6,-0.6
199807,54.8,-0.4
199808,55.1,-0.1
199809,55.2,0.0
199810,54.9,-0.3
199811,54.9,-0.3
199812,55.0,-0.2
199901,55.1,0.0
199902,55.8,0.7
199903,56.2,1.1
199904,56.0,0.8
199905,56.0,0.8
199906,56.5,1.3
199907,56.2,1.0
199908,55.8,0.6
199909,55.8,0.6
199910,56.6,1.4
199911,57.4,2.2
199912,57.5,2.3
200001,57.4,2.3
200002,57.3,2.2
200003,57.0,1.9
200004,58.0,2.8
200005,58.7,3.5
200006,59.0,3.8
200007,59.4,4.2
200008,59.7,4.5
200009,59.9,4.7
200010,59.1,3.9
200011,57.6,2.4
200012,57.8,2.6
200101,57.6,2.5
200102,57.4,2.3
200103,57.4,2.3
200104,56.9,1.7
200105,56.9,1.7
200106,57.0,1.8
200107,56.7,1.5
200108,56.9,1.7
200109,57.2,2.0
200110,57.8,2.6
200111,58.5,3.3
200112,58.0,2.8
200201,58.0,2.9
200202,58.1,3.0
200203,57.9,2.8
200204,58.3,3.1
200205,58.2,3.0
200206,58.4,3.2
200207,58.8,3.6
200208,58.9,3.7
200209,58.4,3.2
200210,57.7,2.5
200211,57.6,2.4
200212,57.7,2.5
200301,58.5,3.4
200302,58.1,3.0
200303,58.2,3.1
200304,57.6,2.4
200305,57.5,2.3
200306,57.2,2.0
200307,57.3,2.1
200308,57.1,1.9
200309,57.4,2.2
200310,58.4,3.2
200311,58.1,2.9
200312,58.4,3.2
200401,57.6,2.5
200402,57.3,2.2
200403,58.1,3.0
200404,58.3,3.1
200405,58.3,3.1
200406,58.2,3.0
200407,57.7,2.5
200408,57.5,2.3
200409,57.2,2.0
200410,56.2,1.0
200411,56.2,1.0
200412,56.3,1.1
200501,56.8,1.7
200502,57.3,2.2
200503,56.6,1.5
200504,56.5,1.3
200505,56.4,1.2
200506,55.9,0.7
200507,56.2,1.0
200508,56.1,0.9
200509,56.2,1.0
200510,56.6,1.4
200511,57.1,1.9
200512,57.1,1.9
200601,56.9,1.8
200602,57.0,1.9
200603,56.7,1.6
200604,56.9,1.7
200605,57.2,2.0
200606,58.0,2.8
200607,57.8,2.6
200608,58.0,2.8
200609,57.6,2.4
200610,57.3,2.1
200611,57.3,2.1
200612,57.1,1.9
200701,56.7,1.6
200702,56.6,1.5
200703,57.5,2.4
200704,57.4,2.2
200705,57.3,2.1
200706,57.2,2.0
200707,57.4,2.2
200708,57.6,2.4
200709,57.9,2.7
200710,58.2,3.0
200711,58.5,3.3
200712,58.2,3.0
200801,58.1,3.0
200802,57.8,2.7
200803,57.3,2.2
200804,57.1,1.9
200805,56.6,1.4
200806,56.3,1.1
200807,56.2,1.0
200808,56.2,1.0
200809,56.3,1.1
200810,56.5,1.3
200811,56.3,1.1
200812,56.5,1.3
200901,57.1,2.0
200902,57.3,2.2
200903,57.4,2.3
200904,57.4,2.2
200905,58.0,2.8
200906,57.6,2.4
200907,57.6,2.4
200908,57.5,2.3
200909,57.6,2.4
200910,57.1,1.9
200911,57.1,1.9
200912,56.8,1.6
201001,56.5,1.4
201002,56.2,1.1
201003,56.0,0.9
201004,55.9,0.7
201005,55.1,-0.1
201006,55.5,0.3
201007,55.4,0.2
201008,55.3,0.1
201009,55.5,0.3
201010,55.8,0.6
201011,55.2,0.0
201012,55.9,0.7
201101,56.1,1.0
201102,56.1,1.0
201103,56.2,1.1
201104,56.2,1.0
201105,56.2,1.0
201106,56.0,0.8
201107,55.8,0.6
201108,56.1,0.9
201109,55.7,0.5
201110,55.8,0.6
201111,56.0,0.8
201112,55.8,0.6
201201,56.2,1.1
201202,56.4,1.3
201203,56.7,1.6
201204,57.1,1.9
201205,57.9,2.7
201206,58.5,3.3
201207,58.5,3.3
201208,58.3,3.1
201209,58.4,3.2
201210,58.5,3.3
201211,59.0,3.8
201212,58.7,3.5
201301,58.1,3.0
201302,57.9,2.8
201303,57.9,2.8
201304,57.5,2.3
201305,57.2,2.0
201306,57.2,2.0
201307,57.3,2.1
201308,57.2,2.0
201309,56.8,1.6
201310,56.3,1.1
201311,56.1,0.9
201312,56.2,1.0
201401,56.8,1.7
201402,57.3,2.2
201403,57.3,2.2
201404,57.5,2.3
201405,57.5,2.3
201406,57.2,2.0
201407,57.3,2.1
201408,57.2,2.0
201409,57.6,2.4
201410,58.3,3.1
201411,58.3,3.1
201412,58.6,3.4
201501,58.6,3.5
201502,59.0,3.9
201503,59.4,4.3
201504,59.3,4.1
201505,58.9,3.7
201506,59.2,4.0
201507,58.8,3.6
201508,59.1,3.9
201509,59.3,4.1
201510,59.2,4.0
201511,58.9,3.7
201512,58.6,3.4
201601,58.0,2.9
201602,57.8,2.7
201603,57.5,2.4
201604,57.6,2.4
201605,57.7,2.5
201606,57.9,2.7
201607,58.2,3.0
201608,58.2,3.0
