Piute County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,29.7,-0.2
199002,30.0,0.1
199003,30.0,0.1
199004,29.9,0.0
199005,29.9,0.0
199006,30.1,0.2
199007,30.1,0.2
199008,30.2,0.3
199009,30.7,0.8
199010,30.8,0.9
199011,30.9,1.0
199012,30.4,0.5
199101,30.0,0.1
199102,30.4,0.5
199103,30.0,0.1
199104,29.5,-0.4
199105,29.3,-0.6
199106,29.0,-0.9
199107,28.9,-1.0
199108,29.1,-0.8
199109,28.8,-1.1
199110,28.9,-1.0
199111,29.0,-0.9
199112,29.8,-0.1
199201,30.1,0.2
199202,30.3,0.4
199203,30.7,0.8
199204,31.4,1.5
199205,31.9,2.0
199206,32.0,2.1
199207,31.9,2.0
199208,31.8,1.9
199209,31.7,1.8
199210,32.0,2.1
199211,31.7,1.8
199212,31.2,1.3
199301,31.7,1.8
199302,31.4,1.5
199303,31.4,1.5
199304,30.9,1.0
199305,30.8,0.9
199306,30.6,0.7
199307,30.5,0.6
199308,30.3,0.4
199309,30.1,0.2
199310,29.8,-0.1
199311,29.9,0.0
199312,30.1,0.2
199401,29.8,-0.1
199402,29.5,-0.4
199403,29.4,-0.5
199404,29.5,-0.4
199405,29.6,-0.3
199406,30.1,0.2
199407,30.5,0.6
199408,30.9,1.0
199409,31.3,1.4
199410,31.3,1.4
199411,31.1,1.2
199412,31.5,1.6
199501,31.8,1.9
199502,32.5,2.6
199503,32.6,2.7
199504,32.4,2.5
199505,32.0,2.1
199506,31.3,1.4
199507,31.0,1.1
199508,30.9,1.0
199509,30.8,0.9
199510,30.7,0.8
199511,31.3,1.4
199512,31.4,1.5
199601,31.2,1.3
199602,31.1,1.2
199603,30.9,1.0
199604,30.9,1.0
199605,31.2,1.3
199606,31.7,1.8
199607,32.2,2.3
199608,32.0,2.1
199609,31.8,1.9
199610,31.8,1.9
199611,31.6,1.7
199612,31.6,1.7
199701,31.6,1.7
199702,31.1,1.2
199703,31.2,1.3
199704,31.1,1.2
199705,31.1,1.2
199706,31.0,1.1
199707,30.6,0.7
199708,30.6,0.7
199709,31.1,1.2
199710,31.1,1.2
199711,31.1,1.2
199712,30.8,0.9
199801,30.9,1.0
199802,31.1,1.2
199803,30.9,1.0
199804,30.9,1.0
199805,30.7,0.8
199806,30.2,0.3
199807,30.5,0.6
199808,30.5,0.6
199809,30.4,0.5
199810,30.4,0.5
199811,30.4,0.5
199812,30.3,0.4
199901,30.4,0.5
199902,30.5,0.6
199903,30.7,0.8
199904,30.6,0.7
199905,30.5,0.6
199906,30.7,0.8
199907,30.7,0.8
199908,30.6,0.7
199909,30.3,0.4
199910,30.3,0.4
199911,30.4,0.5
199912,30.5,0.6
200001,30.6,0.7
200002,31.0,1.1
200003,30.8,0.9
200004,31.5,1.6
200005,32.0,2.1
200006,32.2,2.3
200007,32.2,2.3
200008,32.5,2.6
200009,32.6,2.7
200010,32.9,3.0
200011,32.1,2.2
200012,32.3,2.4
200101,31.8,1.9
200102,31.5,1.6
200103,31.7,1.8
200104,31.4,1.5
200105,31.4,1.5
200106,31.3,1.4
200107,31.3,1.4
200108,31.3,1.4
200109,31.4,1.5
200110,31.4,1.5
200111,32.1,2.2
200112,31.7,1.8
200201,31.6,1.7
200202,31.2,1.3
200203,30.6,0.7
200204,30.8,0.9
200205,30.5,0.6
200206,30.6,0.7
200207,30.8,0.9
200208,30.6,0.7
200209,30.5,0.6
200210,30.2,0.3
200211,30.1,0.2
200212,30.2,0.3
200301,30.8,0.9
200302,31.1,1.2
200303,31.5,1.6
200304,31.2,1.3
200305,31.4,1.5
200306,31.2,1.3
200307,31.3,1.4
200308,31.5,1.6
200309,31.5,1.6
200310,32.1,2.2
200311,32.1,2.2
200312,32.4,2.5
200401,31.6,1.7
200402,31.3,1.4
