Piute County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.21,-4.45
199002,-4.42,-4.76
199003,-4.57,-4.97
199004,-4.33,-4.66
199005,-4.34,-4.59
199006,-4.45,-4.74
199007,-4.61,-4.87
199008,-4.78,-4.95
199009,-4.26,-4.49
199010,-3.85,-4.06
199011,-3.82,-4.00
199012,-3.66,-3.80
199101,-3.54,-3.78
199102,-3.82,-4.16
199103,0.10,-0.30
199104,0.34,0.01
199105,0.91,0.66
199106,0.86,0.57
199107,0.87,0.61
199108,1.22,1.05
199109,1.42,1.19
199110,1.25,1.04
199111,1.27,1.09
199112,-0.34,-0.48
199201,-0.77,-1.01
199202,-0.65,-0.99
199203,0.00,-0.40
199204,-0.83,-1.16
199205,0.98,0.73
199206,0.91,0.62
199207,0.61,0.35
199208,0.91,0.74
199209,0.35,0.12
199210,0.62,0.41
199211,0.35,0.17
199212,0.39,0.25
199301,1.54,1.30
199302,3.12,2.78
199303,3.10,2.70
199304,-0.39,-0.72
199305,0.15,-0.10
199306,0.52,0.23
199307,-0.36,-0.62
199308,-0.38,-0.55
199309,-0.87,-1.10
199310,-0.28,-0.49
199311,-0.40,-0.58
199312,-0.74,-0.88
199401,-1.39,-1.63
199402,-1.37,-1.71
199403,-1.93,-2.33
199404,-1.35,-1.68
199405,-1.64,-1.89
199406,-2.05,-2.34
199407,-2.84,-3.10
199408,-2.78,-2.95
199409,0.06,-0.17
199410,0.84,0.63
199411,1.45,1.27
199412,1.10,0.96
199501,1.37,1.13
199502,1.04,0.70
199503,2.11,1.71
199504,2.63,2.30
199505,3.76,3.51
199506,4.47,4.18
199507,4.35,4.09
199508,-0.21,-0.38
199509,-0.43,-0.66
199510,-1.07,-1.28
199511,-1.68,-1.86
199512,-1.81,-1.95
199601,-1.56,-1.80
199602,-1.13,-1.47
199603,-1.19,-1.59
199604,-1.37,-1.70
199605,-1.17,-1.42
199606,-1.39,-1.68
199607,-1.83,-2.09
199608,-2.58,-2.75
199609,0.35,0.12
199610,0.45,0.24
199611,0.76,0.58
199612,0.92,0.78
199701,2.35,2.11
199702,2.27,1.93
199703,1.18,0.78
199704,1.89,1.56
199705,1.32,1.07
199706,1.88,1.59
199707,1.91,1.65
199708,2.72,2.55
199709,4.15,3.92
199710,3.87,3.66
199711,3.48,3.30
199712,2.94,2.80
199801,2.66,2.42
199802,3.52,3.18
199803,3.29,2.89
199804,3.27,2.94
199805,2.67,2.42
199806,3.21,2.92
199807,3.69,3.43
199808,2.88,2.71
199809,3.58,3.35
199810,4.06,3.85
199811,3.61,3.43
