Piute County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.21,-4.45
199002,-4.42,-4.70
199003,-4.57,-4.86
199004,-4.33,-4.67
199005,-4.34,-4.70
199006,-4.45,-4.74
199007,-4.61,-5.02
199008,-4.78,-5.22
199009,-4.26,-4.72
199010,-3.85,-4.29
199011,-3.82,-4.21
199012,-3.66,-3.82
199101,-3.54,-3.78
199102,-3.82,-4.10
199103,-3.33,-3.62
199104,-2.74,-3.08
199105,-1.85,-2.21
199106,-1.61,-1.90
199107,-1.35,-1.76
199108,-0.77,-1.21
199109,1.42,0.96
199110,1.25,0.81
199111,1.27,0.88
199112,0.81,0.65
199201,-0.77,-1.01
199202,-0.65,-0.93
199203,0.00,-0.29
199204,-0.83,-1.17
199205,0.98,0.62
199206,0.91,0.62
199207,0.61,0.20
199208,0.91,0.47
199209,0.35,-0.11
199210,0.62,0.18
199211,0.35,-0.04
199212,0.39,0.23
199301,1.54,1.30
199302,3.12,2.84
199303,3.10,2.81
199304,2.40,2.06
199305,2.30,1.94
199306,2.45,2.16
199307,1.83,1.42
199308,1.59,1.15
199309,0.89,0.43
199310,1.30,0.86
199311,1.02,0.63
199312,-0.74,-0.90
199401,-1.39,-1.63
199402,-1.37,-1.65
199403,-1.93,-2.22
199404,-1.35,-1.69
199405,-1.64,-2.00
199406,-2.05,-2.34
199407,-2.84,-3.25
199408,-2.78,-3.22
199409,-2.43,-2.89
199410,-1.39,-1.83
199411,-0.55,-0.94
199412,-0.70,-0.86
199501,1.37,1.13
199502,1.04,0.76
199503,2.11,1.82
199504,2.63,2.29
199505,3.76,3.40
199506,4.47,4.18
199507,4.35,3.94
199508,3.69,3.25
199509,3.07,2.61
199510,2.07,1.63
199511,1.13,0.74
199512,0.72,0.56
199601,0.71,0.47
199602,0.91,0.63
199603,0.64,0.35
199604,-1.37,-1.71
199605,-1.17,-1.53
199606,-1.39,-1.68
199607,-1.83,-2.24
199608,-2.58,-3.02
199609,-1.96,-2.42
199610,-1.62,-2.06
199611,-1.10,-1.49
199612,-0.75,-0.91
199701,2.35,2.11
199702,2.27,1.99
199703,1.18,0.89
199704,1.89,1.55
199705,1.32,0.96
199706,1.88,1.59
199707,1.91,1.50
