Piute County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-4.21,-4.41
199002,-4.42,-4.78
199003,-4.57,-4.90
199004,-4.33,-4.64
199005,-4.34,-4.62
199006,-4.45,-4.72
199007,-4.61,-4.94
199008,-4.78,-5.12
199009,-4.17,-4.49
199010,-3.73,-4.04
199011,-3.82,-4.07
199012,-3.66,-3.81
199101,-3.54,-3.74
199102,-3.82,-4.18
199103,-3.16,-3.49
199104,-2.21,-2.52
199105,-0.59,-0.87
199106,-0.30,-0.57
199107,0.04,-0.29
199108,1.01,0.67
199109,1.42,1.10
199110,1.12,0.81
199111,1.27,1.02
199112,0.12,-0.03
199201,-0.77,-0.97
199202,-0.65,-1.01
199203,0.62,0.29
199204,-0.83,-1.14
199205,0.98,0.70
199206,0.91,0.64
199207,0.61,0.28
199208,0.91,0.57
199209,-0.47,-0.79
199210,0.62,0.31
199211,0.35,0.10
199212,0.39,0.24
199301,1.54,1.34
199302,3.12,2.76
199303,3.10,2.77
199304,1.86,1.55
199305,1.89,1.61
199306,2.44,2.17
199307,1.29,0.96
199308,0.93,0.59
199309,-0.45,-0.77
199310,0.57,0.26
199311,0.11,-0.14
199312,-0.74,-0.89
199401,-1.39,-1.59
199402,-1.37,-1.73
199403,-1.93,-2.26
199404,-0.74,-1.05
199405,-1.56,-1.84
199406,-2.05,-2.32
199407,-2.84,-3.17
199408,-2.78,-3.12
199409,-2.29,-2.61
199410,-0.21,-0.52
199411,1.45,1.20
199412,0.94,0.79
199501,1.37,1.17
199502,0.64,0.28
199503,2.11,1.78
199504,2.63,2.32
199505,3.76,3.48
199506,4.47,4.20
199507,4.35,4.02
199508,3.39,3.05
199509,2.43,2.11
199510,0.64,0.33
199511,-1.07,-1.32
199512,-1.64,-1.79
199601,-1.42,-1.62
199602,-0.84,-1.20
199603,-1.12,-1.45
199604,-1.37,-1.68
199605,-0.97,-1.25
199606,-1.39,-1.66
199607,-1.83,-2.16
199608,-2.58,-2.92
199609,-1.45,-1.77
199610,-0.89,-1.20
199611,0.09,-0.16
199612,0.70,0.55
199701,2.35,2.15
199702,2.27,1.91
199703,-0.03,-0.36
199704,1.72,1.41
199705,0.61,0.33
199706,1.88,1.61
199707,1.91,1.58
199708,2.72,2.38
199709,4.15,3.83
199710,3.87,3.56
199711,3.42,3.17
199712,2.61,2.46
199801,2.30,2.10
199802,3.52,3.16
199803,3.29,2.96
199804,3.27,2.96
199805,2.29,2.01
199806,3.21,2.94
199807,3.69,3.36
199808,2.31,1.97
199809,3.58,3.26
199810,4.06,3.75
199811,3.51,3.26
199812,2.83,2.68
199901,2.13,1.93
199902,1.38,1.02
199903,-0.73,-1.06
199904,1.33,1.02
199905,1.69,1.41
199906,2.41,2.14
199907,3.13,2.80
