Piute County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.99,-3.15
199002,-1.92,-2.22
199003,-1.82,-1.92
199004,-0.69,-0.78
199005,-1.35,-1.41
199006,-1.68,-1.69
199007,-1.85,-2.05
199008,-1.94,-2.14
199009,0.08,-0.10
199010,-0.07,-0.22
199011,-1.12,-1.11
199012,-0.69,-0.60
199101,-0.76,-0.92
199102,-1.96,-2.26
199103,0.29,0.19
199104,0.76,0.67
199105,1.81,1.75
199106,0.15,0.14
199107,0.28,0.08
199108,1.33,1.13
199109,0.96,0.78
199110,-0.07,-0.22
199111,0.46,0.47
199112,-1.01,-0.92
199201,-1.41,-1.57
199202,0.11,-0.19
199203,1.75,1.65
199204,-2.47,-2.56
199205,2.95,2.89
199206,0.09,0.08
199207,-0.61,-0.81
199208,1.09,0.89
199209,-1.41,-1.59
199210,0.90,0.75
199211,-0.60,-0.59
199212,0.23,0.32
199301,3.55,3.39
199302,5.23,4.93
199303,0.90,0.80
199304,-1.16,-1.25
199305,0.44,0.38
199306,1.16,1.15
199307,-1.09,-1.29
199308,-0.16,-0.36
199309,-1.60,-1.78
199310,1.51,1.36
199311,-0.44,-0.43
199312,-1.15,-1.06
199401,-2.16,-2.32
199402,-0.39,-0.69
199403,-2.10,-2.20
199404,1.15,1.06
199405,-1.29,-1.35
199406,-1.74,-1.75
199407,-3.01,-3.21
199408,-0.68,-0.88
199409,0.18,0.00
199410,2.37,2.22
199411,2.09,2.10
199412,-0.62,-0.53
199501,1.14,0.98
199502,-0.56,-0.86
199503,3.53,3.43
199504,2.22,2.13
199505,4.20,4.14
199506,3.30,3.29
199507,1.00,0.80
199508,-0.63,-0.83
199509,-0.73,-0.91
199510,-2.03,-2.18
199511,-2.19,-2.18
199512,-0.89,-0.80
199601,0.19,0.03
199602,0.81,0.51
199603,-0.53,-0.63
199604,-0.92,-1.01
199605,0.19,0.13
199606,-1.05,-1.06
199607,-1.75,-1.95
199608,-2.79,-2.99
199609,1.05,0.87
199610,0.41,0.26
199611,1.05,1.06
199612,0.73,0.82
199701,4.57,4.41
199702,0.51,0.21
199703,-2.58,-2.68
199704,2.49,2.40
199705,-1.12,-1.18
199706,2.08,2.07
199707,0.67,0.47
199708,3.04,2.84
199709,5.11,4.93
199710,0.46,0.31
