Piute County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,9.99,-6.95
199002,10.41,-6.55
199003,10.91,-6.06
199004,12.24,-4.69
199005,12.20,-4.73
199006,12.24,-4.70
199007,12.15,-4.79
199008,11.66,-5.30
199009,12.65,-4.31
199010,13.29,-3.70
199011,13.48,-3.50
199012,14.73,-2.26
199101,15.56,-1.38
199102,14.78,-2.18
199103,15.02,-1.95
199104,14.71,-2.22
199105,16.06,-0.87
199106,15.75,-1.19
199107,15.77,-1.17
199108,17.10,0.14
199109,17.17,0.21
199110,17.06,0.07
199111,17.66,0.68
199112,17.07,0.08
199201,16.37,-0.57
199202,17.49,0.53
199203,18.33,1.36
199204,17.41,0.48
199205,18.54,1.61
199206,18.68,1.74
199207,18.45,1.51
199208,18.40,1.44
199209,17.24,0.28
199210,17.98,0.99
199211,17.41,0.43
199212,18.33,1.34
199301,21.18,4.24
199302,23.19,6.23
199303,22.30,5.33
199304,22.39,5.46
199305,20.89,3.96
199306,21.44,4.50
199307,20.99,4.05
199308,20.28,3.32
199309,20.13,3.17
199310,20.22,3.23
199311,20.22,3.24
199312,19.29,2.30
199401,16.09,-0.85
199402,14.00,-2.96
199403,12.86,-4.11
199404,14.61,-2.32
199405,13.67,-3.26
199406,12.66,-4.28
199407,12.75,-4.19
199408,13.10,-3.86
199409,14.36,-2.60
199410,14.83,-2.16
199411,16.20,-0.78
199412,16.12,-0.87
199501,17.57,0.63
199502,16.92,-0.04
199503,19.57,2.60
199504,19.62,2.69
199505,22.13,5.20
199506,23.96,7.02
199507,24.13,7.19
199508,23.37,6.41
199509,22.60,5.64
199510,20.22,3.23
199511,18.64,1.66
199512,19.27,2.28
199601,19.54,2.60
199602,20.69,3.73
199603,18.37,1.40
199604,16.74,-0.19
199605,15.10,-1.83
199606,13.35,-3.59
199607,13.67,-3.27
199608,13.16,-3.80
199609,14.18,-2.78
199610,15.43,-1.56
199611,16.83,-0.15
199612,17.37,0.38
199701,19.21,2.27
199702,18.06,1.10
199703,16.80,-0.17
199704,18.60,1.67
199705,17.88,0.95
199706,19.55,2.61
199707,19.98,3.04
199708,22.46,5.50
199709,24.38,7.42
199710,24.01,7.02
199711,23.10,6.12
199712,22.13,5.14
199801,19.52,2.58
199802,21.70,4.74
199803,23.06,6.09
199804,22.07,5.14
199805,21.95,5.02
199806,21.85,4.91
199807,22.52,5.58
199808,20.18,3.22
199809,19.18,2.22
199810,20.62,3.63
199811,20.50,3.52
199812,20.58,3.59
199901,20.22,3.28
199902,17.94,0.98
199903,16.73,-0.24
199904,17.98,1.05
199905,18.88,1.95
199906,18.32,1.38
199907,18.64,1.70
199908,20.30,3.34
199909,18.75,1.79
199910,16.49,-0.50
199911,15.78,-1.20
199912,15.45,-1.54
200001,16.85,-0.09
200002,18.17,1.21
200003,18.70,1.73
200004,16.15,-0.78
200005,15.44,-1.49
200006,15.31,-1.63
200007,13.53,-3.41
200008,13.74,-3.22
200009,13.43,-3.53
200010,17.03,0.04
200011,17.27,0.29
200012,17.36,0.37
200101,16.05,-0.89
200102,15.54,-1.42
200103,16.33,-0.64
200104,17.18,0.25
200105,17.10,0.17
200106,16.90,-0.04
200107,17.81,0.87
200108,17.59,0.63
200109,16.89,-0.07
200110,13.87,-3.12
200111,15.43,-1.55
200112,15.59,-1.40
200201,14.68,-2.26
200202,13.50,-3.46
200203,12.42,-4.55
200204,12.02,-4.91
200205,11.35,-5.58
200206,10.59,-6.35
200207,10.29,-6.65
200208,8.27,-8.69
200209,11.10,-5.86
200210,12.17,-4.82
200211,11.49,-5.49
200212,11.86,-5.13
200301,12.13,-4.81
200302,13.25,-3.71
200303,14.78,-2.19
200304,14.77,-2.16
200305,15.82,-1.11
200306,15.81,-1.13
200307,15.68,-1.26
200308,17.60,0.64
200309,15.15,-1.81
200310,13.88,-3.11
200311,13.74,-3.24
200312,14.75,-2.24
200401,15.38,-1.56
200402,15.37,-1.59
200403,13.53,-3.44
200404,15.49,-1.44
200405,15.13,-1.80
200406,15.56,-1.38
200407,15.82,-1.12
200408,14.98,-1.98
200409,15.01,-1.95
200410,18.57,1.58
200411,19.16,2.18
200412,18.27,1.28
200501,19.55,2.61
200502,19.64,2.68
200503,21.68,4.71
200504,20.96,4.03
200505,21.70,4.77
200506,24.60,7.66
200507,23.75,6.81
200508,24.07,7.11
200509,24.29,7.33
200510,21.89,4.90
200511,20.53,3.55
200512,20.37,3.38
200601,19.39,2.45
200602,18.52,1.56
200603,18.94,1.97
200604,18.10,1.17
200605,16.71,-0.22
200606,13.38,-3.56
200607,15.09,-1.85
200608,14.68,-2.28
200609,15.63,-1.33
200610,18.01,1.02
200611,18.60,1.62
200612,18.58,1.59
200701,17.85,0.91
200702,18.21,1.25
200703,16.30,-0.67
200704,16.61,-0.32
200705,17.00,0.07
200706,17.40,0.46
200707,17.08,0.14
200708,17.37,0.41
200709,17.22,0.26
200710,13.78,-3.21
200711,13.25,-3.73
200712,15.59,-1.40
200801,16.95,0.01
200802,17.36,0.40
200803,17.34,0.37
200804,16.05,-0.88
200805,16.56,-0.37
200806,16.59,-0.35
200807,15.85,-1.09
200808,15.63,-1.33
200809,14.59,-2.37
200810,14.70,-2.29
200811,15.75,-1.23
200812,14.28,-2.71
200901,13.42,-3.52
200902,13.22,-3.74
200903,13.75,-3.22
200904,14.94,-1.99
200905,14.51,-2.42
200906,14.84,-2.10
200907,14.70,-2.24
200908,13.53,-3.43
200909,13.46,-3.50
200910,12.94,-4.05
200911,12.43,-4.55
200912,12.69,-4.30
201001,13.10,-3.84
201002,14.35,-2.61
201003,14.29,-2.68
201004,14.41,-2.52
201005,14.78,-2.15
201006,14.56,-2.38
201007,15.20,-1.74
201008,16.52,-0.44
201009,16.04,-0.92
201010,20.49,3.50
201011,20.91,3.93
201012,22.98,5.99
201101,21.56,4.62
201102,20.18,3.22
201103,21.31,4.34
201104,22.73,5.80
201105,24.42,7.49
201106,24.07,7.13
201107,24.81,7.87
201108,25.39,8.43
201109,27.38,10.42
201110,24.26,7.27
201111,23.39,6.41
201112,19.40,2.41
201201,20.05,3.11
201202,20.63,3.67
201203,19.39,2.42
201204,17.46,0.53
201205,14.87,-2.06
201206,14.60,-2.34
201207,14.65,-2.29
201208,15.14,-1.82
201209,14.05,-2.91
201210,13.75,-3.24
201211,13.88,-3.10
201212,15.72,-1.27
201301,16.24,-0.70
201302,15.00,-1.96
