Rich County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,40.5,1.1
199002,41.1,1.7
199003,41.1,1.7
199004,41.1,1.7
199005,40.9,1.5
199006,41.1,1.7
199007,40.9,1.5
199008,41.1,1.7
199009,41.5,2.1
199010,41.4,2.0
199011,41.4,2.0
199012,40.6,1.2
199101,40.1,0.7
199102,40.5,1.1
199103,40.2,0.8
199104,39.6,0.2
199105,39.6,0.2
199106,39.5,0.1
199107,39.5,0.1
199108,39.6,0.2
199109,39.2,-0.2
199110,39.2,-0.2
199111,38.9,-0.5
199112,39.6,0.2
199201,39.7,0.3
199202,39.8,0.4
199203,40.3,0.9
199204,41.0,1.6
199205,41.6,2.2
199206,41.8,2.4
199207,41.5,2.1
199208,41.5,2.1
199209,41.5,2.1
199210,41.8,2.4
199211,41.5,2.1
199212,41.3,1.9
199301,41.1,1.7
199302,40.2,0.8
199303,39.6,0.2
199304,39.0,-0.4
199305,38.8,-0.6
199306,38.4,-1.0
199307,38.0,-1.4
199308,37.6,-1.8
199309,37.4,-2.0
199310,37.1,-2.3
199311,37.1,-2.3
199312,37.4,-2.0
199401,38.1,-1.3
199402,38.5,-0.9
199403,38.8,-0.6
199404,39.1,-0.3
199405,39.3,-0.1
199406,39.9,0.5
199407,40.6,1.2
199408,41.2,1.8
199409,41.6,2.2
199410,41.5,2.1
199411,41.4,2.0
199412,41.6,2.2
199501,41.3,1.9
199502,42.0,2.6
199503,41.7,2.3
199504,41.4,2.0
199505,40.8,1.4
199506,40.2,0.8
199507,39.9,0.5
199508,39.7,0.3
199509,39.5,0.1
199510,39.5,0.1
199511,40.5,1.1
199512,40.9,1.5
199601,40.9,1.5
199602,40.5,1.1
199603,40.5,1.1
199604,40.6,1.2
199605,40.8,1.4
199606,41.3,1.9
199607,41.6,2.2
199608,41.6,2.2
199609,41.3,1.9
199610,41.4,2.0
199611,41.0,1.6
199612,40.7,1.3
199701,40.6,1.2
199702,40.3,0.9
199703,40.3,0.9
199704,40.0,0.6
199705,40.3,0.9
199706,40.2,0.8
199707,39.9,0.5
199708,39.9,0.5
199709,40.2,0.8
199710,40.2,0.8
199711,40.0,0.6
199712,39.6,0.2
199801,39.9,0.5
199802,40.3,0.9
199803,40.1,0.7
199804,40.3,0.9
199805,40.0,0.6
199806,39.5,0.1
199807,39.9,0.5
199808,39.9,0.5
199809,40.1,0.7
199810,40.1,0.7
199811,40.3,0.9
199812,40.5,1.1
199901,40.6,1.2
199902,40.7,1.3
199903,41.0,1.6
199904,40.9,1.5
199905,40.7,1.3
199906,41.0,1.6
199907,40.8,1.4
199908,40.8,1.4
199909,40.3,0.9
199910,40.5,1.1
199911,41.0,1.6
199912,41.0,1.6
200001,40.9,1.5
200002,41.1,1.7
200003,41.0,1.6
200004,41.7,2.3
200005,42.1,2.7
200006,42.3,2.9
200007,42.6,3.2
200008,42.8,3.4
200009,42.9,3.5
200010,42.8,3.4
200011,41.5,2.1
200012,41.5,2.1
200101,40.9,1.5
200102,40.3,0.9
200103,40.4,1.0
200104,40.1,0.7
200105,40.2,0.8
200106,40.1,0.7
200107,40.1,0.7
200108,40.1,0.7
200109,40.5,1.1
200110,40.7,1.3
200111,41.6,2.2
200112,41.2,1.8
200201,41.3,1.9
200202,40.9,1.5
200203,40.4,1.0
200204,40.5,1.1
200205,40.2,0.8
200206,40.3,0.9
200207,40.4,1.0
200208,40.1,0.7
200209,39.8,0.4
200210,39.4,0.0
200211,39.0,-0.4
200212,39.7,0.3
200301,40.7,1.3
200302,41.2,1.8
200303,41.8,2.4
200304,41.8,2.4
200305,41.9,2.5
200306,41.7,2.3
200307,41.8,2.4
200308,42.1,2.7
200309,42.0,2.6
200310,42.7,3.3
200311,42.4,3.0
200312,42.3,2.9
200401,41.2,1.8
200402,41.0,1.6
200403,41.2,1.8
200404,41.3,1.9
200405,41.1,1.7
200406,41.2,1.8
200407,40.8,1.4
200408,40.3,0.9
200409,40.2,0.8
200410,39.8,0.4
200411,40.2,0.8
200412,40.2,0.8
200501,40.8,1.4
200502,40.9,1.5
200503,40.4,1.0
200504,40.2,0.8
200505,40.3,0.9
200506,39.9,0.5
200507,40.1,0.7
200508,40.3,0.9
200509,40.4,1.0
200510,40.5,1.1
200511,40.6,1.2
200512,40.3,0.9
200601,40.4,1.0
200602,40.3,0.9
200603,40.3,0.9
200604,40.4,1.0
200605,40.6,1.2
200606,41.2,1.8
200607,41.3,1.9
200608,41.3,1.9
200609,41.1,1.7
200610,40.8,1.4
200611,40.8,1.4
200612,41.0,1.6
200701,40.3,0.9
200702,40.9,1.5
200703,41.4,2.0
200704,41.4,2.0
200705,41.4,2.0
200706,41.4,2.0
200707,41.5,2.1
200708,41.7,2.3
200709,42.0,2.6
200710,42.2,2.8
200711,42.4,3.0
200712,42.0,2.6
200801,42.0,2.6
200802,41.5,2.1
200803,40.6,1.2
200804,39.9,0.5
200805,39.6,0.2
200806,39.3,-0.1
200807,39.0,-0.4
200808,38.8,-0.6
200809,38.8,-0.6
200810,38.8,-0.6
200811,38.9,-0.5
200812,39.2,-0.2
200901,39.9,0.5
200902,40.2,0.8
200903,40.6,1.2
200904,41.0,1.6
200905,41.3,1.9
200906,41.2,1.8
200907,41.0,1.6
200908,40.8,1.4
200909,41.1,1.7
200910,40.7,1.3
200911,40.5,1.1
200912,40.0,0.6
201001,39.9,0.5
201002,39.9,0.5
201003,40.1,0.7
201004,40.0,0.6
201005,39.4,0.0
201006,39.5,0.1
201007,39.5,0.1
201008,39.6,0.2
201009,39.4,0.0
201010,39.9,0.5
201011,39.6,0.2
201012,40.3,0.9
201101,40.0,0.6
201102,39.6,0.2
201103,39.4,0.0
201104,39.2,-0.2
201105,39.3,-0.1
201106,39.2,-0.2
201107,39.2,-0.2
201108,39.4,0.0
201109,39.5,0.1
201110,39.4,0.0
201111,39.3,-0.1
201112,38.9,-0.5
201201,39.4,0.0
201202,39.8,0.4
201203,40.4,1.0
201204,41.0,1.6
201205,41.5,2.1
201206,41.9,2.5
201207,42.1,2.7
201208,42.2,2.8
201209,42.3,2.9
201210,42.2,2.8
201211,42.9,3.5
201212,43.1,3.7
201301,42.3,2.9
201302,41.8,2.4
201303,41.4,2.0
201304,40.9,1.5
201305,41.0,1.6
201306,41.0,1.6
201307,41.0,1.6
201308,40.9,1.5
201309,40.8,1.4
201310,40.7,1.3
201311,40.4,1.0
201312,40.1,0.7
201401,40.7,1.3
201402,41.4,2.0
201403,41.7,2.3
201404,41.9,2.5
201405,42.0,2.6
201406,41.6,2.2
201407,41.6,2.2
201408,41.2,1.8
201409,41.3,1.9
201410,41.7,2.3
201411,41.5,2.1
201412,42.3,2.9
201501,42.8,3.4
201502,43.2,3.8
201503,43.4,4.0
201504,43.6,4.2
201505,43.4,4.0
201506,43.9,4.5
201507,43.6,4.2
201508,43.8,4.4
201509,43.9,4.5
201510,44.1,4.7
201511,43.9,4.5
201512,43.3,3.9
201601,42.6,3.2
201602,42.1,2.7
201603,41.8,2.4
201604,41.9,2.5
201605,41.9,2.5
201606,41.8,2.4
201607,42.1,2.7
201608,42.1,2.7
201609,41.8,2.4
201610,41.5,2.1
201611,42.2,2.8
201612,42.2,2.8
201701,41.9,2.5
201702,41.9,2.5
201703,42.1,2.7
201704,41.8,2.4
201705,41.9,2.5
201706,41.7,2.3
201707,41.8,2.4
201708,41.9,2.5
201709,41.8,2.4
201710,41.4,2.0
201711,41.3,1.9
201712,41.8,2.4
201801,42.8,3.4
201802,42.7,3.3
201803,42.4,3.0
201804,42.6,3.2
201805,42.8,3.4
201806,42.8,3.4
201807,42.8,3.4
201808,42.8,3.4
201809,43.1,3.7
201810,43.3,3.9
201811,42.8,3.4
201812,42.2,2.8
201901,41.5,2.1
201902,41.1,1.7
201903,40.5,1.1
201904,40.5,1.1
201905,40.0,0.6
201906,39.7,0.3
201907,39.5,0.1
201908,39.5,0.1
201909,39.2,-0.2
201910,38.6,-0.8
201911,38.8,-0.6
201912,38.9,-0.5
202001,39.2,-0.2
202002,39.2,-0.2
202003,39.8,0.4
202004,39.7,0.3
202005,40.0,0.6
202006,40.0,0.6
202007,40.0,0.6
202008,40.2,0.8
202009,40.3,0.9
202010,41.0,1.6
202011,41.0,1.6
202012,41.2,1.8
202101,41.1,1.7
202102,41.4,2.0
202103,41.4,2.0
202104,41.3,1.9
202105,41.3,1.9
202106,42.0,2.6
202107,42.5,3.1
202108,42.1,2.7
202109,42.3,2.9
202110,42.2,2.8
202111,42.7,3.3
202112,43.0,3.6
202201,42.8,3.4
202202,42.5,3.1
202203,42.5,3.1
202204,42.3,2.9
202205,42.0,2.6
202206,41.5,2.1
202207,41.4,2.0
202208,41.6,2.2
202209,41.8,2.4
202210,41.9,2.5
202211,41.0,1.6
202212,40.6,1.2
202301,40.4,1.0
202302,40.1,0.7
202303,39.1,-0.3
202304,38.9,-0.5
202305,39.4,0.0
202306,39.2,-0.2
202307,39.1,-0.3
202308,38.9,-0.5
202309,38.6,-0.8
202310,38.5,-0.9
202311,39.1,-0.3
202312,39.6,0.2
202401,40.1,0.7
202402,40.9,1.5
202403,41.8,2.4
