Rich County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,84,24
199002,84,24
199003,84,24
199004,84,24
199005,84,24
199006,91,31
199007,63,2
199008,73,12
199009,83,22
199010,83,22
199011,83,22
199012,83,22
199101,83,23
199102,83,23
199103,83,23
199104,83,23
199105,83,23
199106,81,21
199107,81,20
199108,97,36
199109,87,26
199110,87,26
199111,87,26
199112,87,26
199201,87,27
199202,87,27
199203,87,27
199204,87,27
199205,87,27
199206,90,30
199207,59,-2
199208,56,-5
199209,56,-5
199210,56,-5
199211,56,-5
199212,56,-5
199301,56,-4
199302,56,-4
199303,56,-4
199304,56,-4
199305,56,-4
199306,48,-12
199307,36,-25
199308,5,-56
199309,5,-56
199310,5,-56
199311,5,-56
199312,5,-56
199401,5,-55
199402,5,-55
199403,5,-55
199404,5,-55
199405,5,-55
199406,21,-39
199407,74,13
199408,138,77
199409,138,77
199410,138,77
199411,138,77
199412,138,77
199501,138,78
199502,138,78
199503,138,78
199504,138,78
199505,138,78
199506,122,62
199507,82,21
199508,42,-19
199509,42,-19
199510,42,-19
199511,42,-19
199512,42,-19
199601,42,-18
199602,42,-18
199603,42,-18
199604,42,-18
199605,42,-18
199606,56,-4
199607,94,33
199608,92,31
199609,92,31
199610,92,31
199611,92,31
199612,92,31
199701,92,32
199702,92,32
199703,92,32
199704,92,32
199705,92,32
199706,87,27
199707,51,-10
199708,57,-4
199709,57,-4
199710,57,-4
199711,57,-4
199712,57,-4
199801,57,-3
199802,57,-3
199803,57,-3
199804,57,-3
199805,57,-3
199806,48,-12
199807,105,44
199808,107,46
199809,107,46
199810,107,46
199811,107,46
199812,107,46
199901,107,47
199902,107,47
199903,107,47
199904,107,47
199905,107,47
199906,107,47
199907,67,6
199908,61,0
199909,61,0
199910,61,0
199911,61,0
199912,61,0
200001,61,1
200002,61,1
200003,61,1
200004,61,1
200005,61,1
200006,72,12
200007,117,56
200008,161,100
200009,161,100
200010,161,100
200011,161,100
200012,161,100
200101,161,101
200102,161,101
200103,161,101
200104,161,101
200105,161,101
200106,160,100
200107,147,86
200108,144,83
200109,152,91
200110,152,91
200111,152,91
200112,152,91
200201,152,92
200202,152,92
200203,152,92
200204,152,92
200205,152,92
200206,155,95
200207,190,129
200208,142,81
200209,134,73
200210,134,73
200211,134,73
200212,134,73
200301,134,74
200302,134,74
200303,134,74
200304,134,74
200305,134,74
200306,128,68
200307,152,91
200308,198,137
200309,198,137
200310,198,137
200311,198,137
200312,198,137
200401,198,138
200402,198,138
200403,198,138
200404,198,138
200405,198,138
200406,198,138
200407,112,51
200408,55,-6
200409,55,-6
200410,55,-6
200411,55,-6
200412,55,-6
200501,55,-5
200502,55,-5
200503,55,-5
200504,55,-5
200505,55,-5
200506,48,-12
200507,79,18
200508,93,32
200509,93,32
200510,93,32
200511,93,32
200512,93,32
200601,93,33
200602,93,33
200603,93,33
200604,93,33
200605,93,33
200606,110,50
200607,142,81
200608,137,76
200609,137,76
200610,137,76
200611,137,76
200612,137,76
200701,137,77
200702,137,77
200703,137,77
200704,137,77
200705,137,77
200706,134,74
200707,154,93
200708,195,134
200709,195,134
200710,195,134
200711,195,134
200712,195,134
