Rich County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,8954,-421
199002,8778,-596
199003,8764,-612
199004,8755,-620
199005,8830,-544
199006,8779,-596
199007,8809,-566
199008,8771,-602
199009,8629,-744
199010,8647,-726
199011,8659,-717
199012,8948,-429
199101,9154,-221
199102,9005,-369
199103,9131,-245
199104,9337,-38
199105,9350,-24
199106,9376,1
199107,9376,1
199108,9347,-26
199109,9498,125
199110,9480,107
199111,9574,198
199112,9344,-33
199201,9279,-96
199202,9265,-109
199203,9077,-299
199204,8812,-563
199205,8577,-797
199206,8538,-837
199207,8609,-766
199208,8613,-760
199209,8592,-781
199210,8510,-863
199211,8613,-763
199212,8684,-693
199301,8760,-615
199302,9071,-303
199303,9258,-118
199304,9490,115
199305,9552,178
199306,9703,328
199307,9843,468
199308,9967,594
199309,10021,648
199310,10126,753
199311,10145,769
199312,10045,668
199401,9761,386
199402,9632,258
199403,9526,150
199404,9403,28
199405,9361,-13
199406,9152,-223
199407,8929,-446
199408,8767,-606
199409,8643,-730
199410,8673,-700
199411,8702,-674
199412,8627,-750
199501,8741,-634
199502,8509,-865
199503,8611,-765
199504,8721,-654
199505,8959,-415
199506,9139,-236
199507,9221,-154
199508,9271,-102
199509,9316,-57
199510,9330,-43
199511,8950,-426
199512,8811,-566
199601,8810,-565
199602,8959,-415
199603,8941,-435
199604,8927,-448
199605,8849,-525
199606,8679,-696
199607,8600,-775
199608,8605,-768
199609,8717,-656
199610,8680,-693
199611,8798,-578
199612,8901,-476
199701,8944,-431
199702,9064,-310
199703,9074,-302
199704,9167,-208
199705,9055,-319
199706,9096,-279
199707,9163,-212
199708,9151,-222
199709,9050,-323
199710,9055,-318
199711,9138,-238
199712,9297,-80
199801,9169,-206
199802,9026,-348
199803,9130,-246
199804,9050,-325
199805,9157,-217
199806,9335,-40
199807,9247,-128
199808,9244,-129
199809,9183,-190
199810,9183,-190
199811,9095,-281
199812,9015,-362
199901,8974,-401
199902,8965,-409
199903,8825,-551
199904,8889,-486
199905,8940,-434
199906,8826,-549
199907,8871,-504
199908,8882,-491
199909,9036,-337
199910,8968,-405
199911,8802,-574
199912,8789,-588
200001,8844,-531
200002,8759,-615
200003,8792,-584
200004,8561,-814
200005,8413,-961
200006,8330,-1045
200007,8281,-1094
200008,8226,-1147
200009,8187,-1186
200010,8246,-1127
200011,8704,-672
200012,8703,-674
200101,8923,-452
200102,9135,-239
200103,9110,-266
200104,9212,-163
200105,9181,-193
200106,9189,-186
200107,9200,-175
200108,9202,-171
200109,9042,-331
200110,8980,-393
200111,8662,-714
200112,8797,-580
200201,8773,-602
200202,8898,-476
200203,9089,-287
200204,9065,-310
200205,9166,-208
200206,9146,-229
200207,9118,-257
200208,9187,-186
200209,9289,-84
200210,9430,57
200211,9566,190
200212,9328,-49
200301,8932,-443
200302,8779,-595
200303,8548,-828
200304,8570,-805
200305,8519,-855
200306,8573,-802
200307,8563,-812
200308,8496,-877
200309,8517,-856
200310,8286,-1087
200311,8397,-979
200312,8404,-973
200401,8842,-533
200402,8905,-469
200403,8834,-542
200404,8789,-586
200405,8847,-527
200406,8838,-537
200407,8907,-468
200408,9018,-355
200409,9068,-305
200410,9191,-182
200411,9046,-330
200412,9069,-308
200501,8855,-520
200502,8807,-567
200503,8999,-377
200504,9057,-318
200505,9043,-331
200506,9148,-227
200507,9114,-261
200508,9062,-311
200509,9043,-330
200510,9006,-367
200511,8935,-441
200512,9053,-324
200601,9039,-336
200602,9065,-309
200603,9069,-307
200604,9008,-367
200605,8943,-431
200606,8769,-606
200607,8744,-631
200608,8759,-614
200609,8817,-556
200610,8921,-452
200611,8938,-438
200612,8860,-517
200701,9097,-278
200702,8901,-473
200703,8712,-664
200704,8710,-665
200705,8716,-658
200706,8728,-647
200707,8718,-657
200708,8651,-722
200709,8562,-811
200710,8486,-887
200711,8421,-955
200712,8544,-833
200801,8578,-797
200802,8741,-633
200803,9050,-326
200804,9305,-70
200805,9440,66
200806,9545,170
200807,9583,208
200808,9620,247
200809,9636,263
200810,9634,261
200811,9590,214
200812,9490,113
200901,9203,-172
200902,9129,-245
200903,8984,-392
200904,8824,-551
200905,8711,-663
200906,8743,-632
200907,8782,-593
200908,8846,-527
200909,8726,-647
200910,8883,-490
200911,8971,-405
200912,9147,-230
201001,9170,-205
201002,9172,-202
201003,9114,-262
201004,9144,-231
201005,9370,-4
201006,9344,-31
201007,9336,-39
201008,9308,-65
201009,9380,7
201010,9175,-198
201011,9291,-85
201012,9033,-344
201101,9156,-219
201102,9276,-98
201103,9359,-17
201104,9430,55
201105,9394,20
201106,9430,55
201107,9432,57
201108,9378,5
201109,9359,-14
201110,9382,9
201111,9404,28
201112,9566,189
201201,9396,21
201202,9244,-130
201203,9027,-349
201204,8802,-573
201205,8638,-736
201206,8509,-866
201207,8465,-910
201208,8435,-938
201209,8407,-966
201210,8452,-921
201211,8214,-1162
201212,8141,-1236
201301,8429,-946
201302,8583,-791
201303,8724,-652
201304,8910,-465
201305,8894,-480
201306,8878,-497
201307,8875,-500
201308,8899,-474
201309,8927,-446
201310,8985,-388
201311,9068,-308
201312,9175,-202
201401,8975,-400
201402,8738,-636
201403,8643,-733
201404,8566,-809
201405,8532,-842
201406,8633,-742
201407,8646,-729
201408,8736,-637
201409,8720,-653
201410,8554,-819
201411,8621,-755
201412,8345,-1032
201501,8160,-1215
201502,8021,-1353
201503,7923,-1453
201504,7873,-1502
201505,7954,-1420
201506,7780,-1595
201507,7860,-1515
201508,7806,-1567
201509,7774,-1599
201510,7700,-1673
201511,7768,-1608
201512,7987,-1390
201601,8253,-1122
201602,8427,-947
201603,8530,-846
201604,8482,-893
201605,8487,-887
201606,8507,-868
201607,8442,-933
201608,8448,-925
201609,8537,-836
201610,8633,-740
201611,8395,-981
201612,8402,-975
201701,8516,-859
201702,8500,-874
201703,8453,-923
201704,8561,-814
201705,8522,-852
201706,8584,-791
201707,8553,-822
201708,8535,-838
201709,8570,-803
201710,8731,-642
201711,8756,-620
201712,8565,-812
201801,8192,-1183
201802,8230,-1144
201803,8352,-1024
201804,8278,-1097
201805,8203,-1171
201806,8208,-1167
201807,8204,-1171
201808,8201,-1172
201809,8083,-1290
201810,8041,-1332
201811,8215,-1161
201812,8424,-953
201901,8679,-696
201902,8832,-542
201903,9033,-343
201904,9053,-322
201905,9231,-143
201906,9325,-50
201907,9366,-9
201908,9366,-7
201909,9450,77
201910,9669,296
201911,9608,232
201912,9582,205
202001,9458,83
202002,9475,101
202003,9258,-118
202004,9291,-84
202005,9156,-218
202006,9153,-222
202007,9168,-207
202008,9122,-251
202009,9097,-276
202010,8805,-568
202011,8820,-556
202012,8763,-614
202101,8776,-599
202102,8671,-703
202103,8694,-682
202104,8716,-659
202105,8731,-643
202106,8520,-855
202107,8445,-930
202108,8515,-858
202109,8451,-922
202110,8492,-881
202111,8319,-1057
202112,8198,-1179
202201,8282,-1093
202202,8398,-976
202203,8396,-980
202204,8449,-926
202205,8565,-809
202206,8704,-671
202207,8717,-658
202208,8662,-711
202209,8614,-759
202210,8551,-822
202211,8895,-481
202212,9057,-320
202301,9122,-253
202302,9219,-155
202303,9574,198
202304,9644,269
202305,9467,93
202306,9541,166
202307,9558,183
202308,9594,221
202309,9700,327
202310,9724,351
202311,9512,136
202312,9320,-57
202401,9152,-223
202402,8880,-494
202403,8546,-830
