Rich County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,53.0,1.7
199002,53.6,2.3
199003,53.7,2.4
199004,53.7,2.4
199005,53.5,2.2
199006,53.8,2.5
199007,53.5,2.2
199008,53.7,2.4
199009,54.0,2.7
199010,54.0,2.7
199011,53.8,2.5
199012,53.1,1.8
199101,52.7,1.4
199102,53.2,1.9
199103,52.8,1.5
199104,52.1,0.8
199105,51.9,0.6
199106,51.7,0.4
199107,51.7,0.4
199108,51.8,0.5
199109,51.3,0.0
199110,51.4,0.1
199111,51.0,-0.3
199112,51.5,0.2
199201,51.7,0.4
199202,51.7,0.4
199203,52.3,1.0
199204,53.2,1.9
199205,54.0,2.7
199206,54.2,2.9
199207,53.8,2.5
199208,53.8,2.5
199209,54.0,2.7
199210,54.2,2.9
199211,54.0,2.7
199212,53.8,2.5
199301,53.5,2.2
199302,52.6,1.3
199303,51.9,0.6
199304,51.1,-0.2
199305,50.9,-0.4
199306,50.4,-0.9
199307,50.0,-1.3
199308,49.5,-1.8
199309,49.3,-2.0
199310,48.9,-2.4
199311,49.1,-2.2
199312,49.3,-2.0
199401,50.1,-1.2
199402,50.6,-0.7
199403,51.0,-0.3
199404,51.4,0.1
199405,51.6,0.3
199406,52.5,1.2
199407,53.4,2.1
199408,54.1,2.8
199409,54.5,3.2
199410,54.3,3.0
199411,54.0,2.7
199412,54.2,2.9
199501,53.8,2.5
199502,54.4,3.1
199503,54.0,2.7
199504,53.6,2.3
199505,52.7,1.4
199506,52.0,0.7
199507,51.5,0.2
199508,51.3,0.0
199509,51.1,-0.2
199510,51.4,0.1
199511,52.5,1.2
199512,52.9,1.6
199601,52.9,1.6
199602,52.5,1.2
199603,52.7,1.4
199604,52.8,1.5
199605,53.1,1.8
199606,53.8,2.5
199607,54.1,2.8
199608,54.2,2.9
199609,53.8,2.5
199610,53.8,2.5
199611,53.4,2.1
199612,53.0,1.7
199701,52.9,1.6
199702,52.5,1.2
199703,52.6,1.3
199704,52.2,0.9
199705,52.7,1.4
199706,52.4,1.1
199707,52.1,0.8
199708,51.8,0.5
199709,52.0,0.7
199710,52.0,0.7
199711,51.7,0.4
199712,51.5,0.2
199801,51.9,0.6
199802,52.2,0.9
199803,51.9,0.6
199804,52.1,0.8
199805,51.7,0.4
199806,51.0,-0.3
199807,51.4,0.1
199808,51.6,0.3
199809,51.9,0.6
199810,51.7,0.4
199811,51.9,0.6
199812,52.1,0.8
199901,52.3,1.0
199902,52.4,1.1
199903,52.8,1.5
199904,52.5,1.2
199905,52.4,1.1
199906,52.9,1.6
199907,52.7,1.4
199908,52.7,1.4
199909,52.4,1.1
199910,53.1,1.8
199911,53.8,2.5
199912,53.9,2.6
200001,53.8,2.5
200002,54.0,2.7
200003,53.9,2.6
200004,54.8,3.5
200005,55.2,3.9
200006,55.7,4.4
200007,56.0,4.7
200008,56.3,5.0
200009,56.3,5.0
200010,55.7,4.4
200011,54.2,2.9
200012,54.1,2.8
200101,53.6,2.3
200102,53.0,1.7
200103,52.9,1.6
200104,52.5,1.2
200105,52.7,1.4
200106,52.6,1.3
200107,52.5,1.2
200108,52.5,1.2
200109,53.2,1.9
200110,53.6,2.3
200111,54.4,3.1
200112,54.0,2.7
200201,54.0,2.7
200202,53.8,2.5
200203,53.3,2.0
200204,53.5,2.2
200205,53.2,1.9
200206,53.2,1.9
200207,53.5,2.2
200208,53.1,1.8
200209,52.6,1.3
200210,52.0,0.7
200211,51.6,0.3
200212,52.2,0.9
200301,53.3,2.0
200302,53.5,2.2
200303,54.0,2.7
200304,53.9,2.6
200305,54.0,2.7
200306,53.7,2.4
200307,53.8,2.5
200308,54.0,2.7
200309,54.1,2.8
200310,55.0,3.7
200311,54.5,3.2
200312,54.5,3.2
200401,53.4,2.1
200402,53.2,1.9
200403,53.6,2.3
200404,53.7,2.4
200405,53.5,2.2
200406,53.5,2.2
200407,53.0,1.7
200408,52.5,1.2
200409,52.2,0.9
200410,51.5,0.2
200411,52.1,0.8
200412,52.0,0.7
200501,52.5,1.2
200502,52.7,1.4
200503,52.1,0.8
200504,51.9,0.6
200505,51.9,0.6
200506,51.6,0.3
200507,51.8,0.5
200508,52.1,0.8
200509,52.3,1.0
200510,52.6,1.3
200511,52.8,1.5
200512,52.5,1.2
200601,52.6,1.3
200602,52.6,1.3
200603,52.6,1.3
200604,52.8,1.5
200605,53.1,1.8
200606,53.8,2.5
200607,53.9,2.6
200608,53.9,2.6
200609,53.6,2.3
200610,53.2,1.9
200611,53.2,1.9
200612,53.4,2.1
200701,53.0,1.7
200702,53.5,2.2
200703,54.2,2.9
200704,54.2,2.9
200705,54.2,2.9
200706,54.3,3.0
200707,54.4,3.1
200708,54.7,3.4
200709,55.0,3.7
200710,55.3,4.0
200711,55.7,4.4
200712,55.4,4.1
200801,55.2,3.9
200802,54.7,3.4
200803,53.7,2.4
200804,53.0,1.7
200805,52.5,1.2
200806,52.0,0.7
200807,51.8,0.5
200808,51.7,0.4
200809,51.6,0.3
200810,51.7,0.4
200811,51.5,0.2
200812,51.9,0.6
200901,52.6,1.3
200902,52.8,1.5
200903,53.2,1.9
200904,53.6,2.3
200905,53.9,2.6
200906,53.7,2.4
200907,53.4,2.1
200908,53.1,1.8
200909,53.5,2.2
200910,52.9,1.6
200911,52.8,1.5
200912,52.4,1.1
201001,52.3,1.0
201002,52.3,1.0
201003,52.5,1.2
201004,52.4,1.1
201005,51.7,0.4
201006,51.9,0.6
201007,51.9,0.6
201008,52.0,0.7
201009,51.9,0.6
201010,52.6,1.3
201011,52.0,0.7
201012,52.6,1.3
201101,52.2,0.9
201102,51.9,0.6
201103,51.5,0.2
201104,51.2,-0.1
201105,51.2,-0.1
201106,51.2,-0.1
201107,51.0,-0.3
201108,51.2,-0.1
201109,51.1,-0.2
201110,51.0,-0.3
201111,51.1,-0.2
