Rich County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.44,-3.95
199002,-3.86,-4.47
199003,-4.62,-5.22
199004,-4.61,-5.25
199005,-4.29,-4.83
199006,-4.08,-4.46
199007,-4.27,-4.68
199008,-4.32,-4.76
199009,-3.92,-4.32
199010,-3.86,-4.39
199011,-3.49,-3.87
199012,-3.56,-3.90
199101,-3.95,-4.46
199102,-4.48,-5.09
199103,-4.50,-5.10
199104,0.19,-0.45
199105,1.40,0.86
199106,1.96,1.58
199107,2.24,1.83
199108,2.69,2.25
199109,2.99,2.59
199110,3.12,2.59
199111,3.41,3.03
199112,-0.48,-0.82
199201,-0.79,-1.30
199202,-1.05,-1.66
199203,-1.96,-2.56
199204,-2.78,-3.42
199205,-3.17,-3.71
199206,-3.47,-3.85
199207,-3.26,-3.67
199208,-3.61,-4.05
199209,-3.74,-4.14
199210,0.23,-0.30
199211,0.23,-0.15
199212,0.21,-0.13
199301,0.54,0.03
199302,0.87,0.26
199303,1.16,0.56
199304,1.43,0.79
199305,1.82,1.28
199306,2.29,1.91
199307,3.49,3.08
199308,4.40,3.96
199309,3.65,3.25
199310,3.77,3.24
199311,-0.10,-0.48
199312,-0.51,-0.85
199401,-0.82,-1.33
199402,0.29,-0.32
199403,0.77,0.17
199404,-0.13,-0.77
199405,-0.62,-1.16
199406,-1.45,-1.83
199407,-2.45,-2.86
199408,-2.96,-3.40
199409,-3.24,-3.64
199410,0.80,0.27
199411,1.38,1.00
199412,1.12,0.78
199501,1.43,0.92
199502,2.04,1.43
199503,3.18,2.58
199504,2.93,2.29
199505,3.93,3.39
199506,4.47,4.09
199507,5.08,4.67
199508,4.76,4.32
199509,4.12,3.72
199510,3.54,3.01
199511,2.99,2.61
199512,3.00,2.66
199601,3.59,3.08
199602,3.71,3.10
199603,3.65,3.05
199604,3.23,2.59
199605,3.50,2.96
199606,2.68,2.30
199607,2.42,2.01
199608,1.51,1.07
199609,1.08,0.68
199610,1.19,0.66
199611,1.75,1.37
199612,3.39,3.05
199701,4.59,4.08
199702,4.15,3.54
199703,3.62,3.02
199704,4.19,3.55
199705,3.69,3.15
199706,3.71,3.33
199707,3.87,3.46
199708,4.64,4.20
199709,5.49,5.09
199710,4.96,4.43
199711,4.57,4.19
199712,3.94,3.60
199801,4.51,4.00
199802,5.09,4.48
199803,5.30,4.70
199804,4.56,3.92
199805,4.70,4.16
199806,6.53,6.15
199807,7.00,6.59
199808,7.27,6.83
199809,6.63,6.23
199810,6.54,6.01
199811,5.79,5.41
199812,4.88,4.54
199901,4.86,4.35
199902,5.41,4.80
199903,4.87,4.27
199904,5.84,5.20
199905,5.96,5.42
199906,5.77,5.39
199907,5.70,5.29
199908,5.21,4.77
199909,-0.07,-0.47
199910,-0.91,-1.44
199911,-2.01,-2.39
199912,-2.62,-2.96
200001,-2.40,-2.91
200002,-2.24,-2.85
200003,-2.31,-2.91
200004,-2.78,-3.42
200005,-2.44,-2.98
200006,-2.89,-3.27
200007,-3.52,-3.93
200008,-2.84,-3.28
200009,-2.46,-2.86
200010,-2.16,-2.69
200011,-2.32,-2.70
200012,-2.42,-2.76
200101,-3.06,-3.57
200102,-2.82,-3.43
200103,-3.16,-3.76
200104,-2.84,-3.48
200105,-3.17,-3.71
200106,-3.41,-3.79
200107,-3.47,-3.88
200108,-3.85,-4.29
200109,-4.27,-4.67
200110,-4.26,-4.79
200111,-3.43,-3.81
200112,-2.84,-3.18
200201,-2.64,-3.15
200202,-2.84,-3.45
200203,-2.58,-3.18
200204,-2.23,-2.87
200205,-2.27,-2.81
200206,-2.70,-3.08
200207,-2.60,-3.01
200208,-3.17,-3.61
200209,-2.61,-3.01
200210,-1.96,-2.49
200211,-1.67,-2.05
200212,-1.93,-2.27
200301,-2.41,-2.92
200302,-2.10,-2.71
200303,-1.81,-2.41
200304,-2.22,-2.86
200305,-1.82,-2.36
200306,-1.62,-2.00
200307,-1.94,-2.35
200308,-1.91,-2.35
200309,-2.18,-2.58
200310,-2.61,-3.14
200311,0.23,-0.15
200312,0.46,0.12
200401,-0.21,-0.72
200402,-0.01,-0.62
200403,-0.61,-1.21
200404,-0.59,-1.23
200405,-0.46,-1.00
200406,-0.32,-0.70
200407,-0.48,-0.89
200408,0.31,-0.13
200409,0.26,-0.14
200410,1.70,1.17
200411,1.82,1.44
200412,1.93,1.59
200501,3.52,3.01
200502,3.48,2.87
200503,3.28,2.68
200504,3.84,3.20
200505,4.21,3.67
200506,4.48,4.10
200507,4.25,3.84
200508,3.69,3.25
200509,2.86,2.46
200510,2.31,1.78
200511,2.01,1.63
200512,2.33,1.99
200601,2.68,2.17
200602,2.59,1.98
200603,2.98,2.38
200604,-0.33,-0.97
200605,-0.83,-1.37
200606,-1.14,-1.52
200607,-1.68,-2.09
200608,-0.02,-0.46
200609,0.92,0.52
200610,1.08,0.55
200611,1.22,0.84
200612,-0.30,-0.64
200701,-0.81,-1.32
200702,-0.75,-1.36
200703,-0.92,-1.52
200704,-1.53,-2.17
200705,-1.79,-2.33
200706,-2.39,-2.77
200707,-2.97,-3.38
200708,-3.06,-3.50
200709,-2.66,-3.06
200710,-2.51,-3.04
200711,-3.23,-3.61
200712,-2.90,-3.24
200801,-2.33,-2.84
200802,-1.94,-2.55
200803,-1.68,-2.28
200804,-1.63,-2.27
200805,-0.93,-1.47
200806,-0.99,-1.37
200807,-1.20,-1.61
200808,-1.16,-1.60
200809,-1.21,-1.61
200810,-1.43,-1.96
200811,-1.81,-2.19
200812,-1.92,-2.26
200901,-1.83,-2.34
200902,-1.87,-2.48
200903,0.10,-0.50
200904,0.55,-0.09
200905,0.33,-0.21
200906,1.97,1.59
200907,2.22,1.81
200908,2.22,1.78
200909,-0.44,-0.84
200910,0.54,0.01
200911,-0.52,-0.90
200912,-0.90,-1.24
201001,-1.32,-1.83
201002,-1.93,-2.54
201003,-2.30,-2.90
201004,0.26,-0.38
201005,1.63,1.09
201006,1.97,1.59
201007,2.06,1.65
201008,2.18,1.74
201009,1.36,0.96
201010,1.67,1.14
201011,2.10,1.72
201012,3.42,3.08
201101,3.33,2.82
201102,3.62,3.01
201103,4.02,3.42
201104,4.99,4.35
201105,6.45,5.91
201106,5.73,5.35
201107,5.58,5.17
201108,5.39,4.95
201109,-0.31,-0.71
201110,-0.51,-1.04
201111,-0.21,-0.59
201112,-0.84,-1.18
201201,-1.01,-1.52
201202,-1.55,-2.16
201203,-2.49,-3.09
201204,-3.11,-3.75
