Rich County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.44,-3.81
199002,-3.86,-4.27
199003,-4.62,-5.20
199004,-4.61,-5.26
199005,-4.29,-4.95
199006,-4.08,-4.68
199007,-4.27,-4.85
199008,-4.32,-4.89
199009,-3.92,-4.43
199010,-3.86,-4.36
199011,-3.49,-3.86
199012,-3.56,-3.80
199101,-3.95,-4.32
199102,-4.48,-4.89
199103,-4.50,-5.08
199104,-3.84,-4.49
199105,-2.22,-2.88
199106,-1.29,-1.89
199107,-0.67,-1.25
199108,2.69,2.12
199109,2.99,2.48
199110,3.12,2.62
199111,3.41,3.04
199112,2.58,2.34
199201,1.96,1.59
199202,1.41,1.00
199203,-1.96,-2.54
199204,-2.78,-3.43
199205,-3.17,-3.83
199206,-3.47,-4.07
199207,-3.26,-3.84
199208,-3.61,-4.18
199209,-3.74,-4.25
199210,-3.12,-3.62
199211,-2.77,-3.14
199212,-2.49,-2.73
199301,-1.88,-2.25
199302,-1.30,-1.71
199303,-0.79,-1.37
199304,1.43,0.78
199305,1.82,1.16
199306,2.29,1.69
199307,3.49,2.91
199308,4.40,3.83
199309,3.65,3.14
199310,3.77,3.27
199311,3.28,2.91
199312,2.53,2.29
199401,1.90,1.53
199402,2.00,1.59
199403,2.30,1.72
199404,1.93,1.28
199405,1.22,0.56
199406,-1.45,-2.05
199407,-2.45,-3.03
199408,-2.96,-3.53
199409,-3.24,-3.75
199410,-2.11,-2.61
199411,-1.23,-1.60
199412,-1.22,-1.46
199501,-0.67,-1.04
199502,2.04,1.63
199503,3.18,2.60
199504,2.93,2.28
199505,3.93,3.27
199506,4.47,3.87
199507,5.08,4.50
199508,4.76,4.19
199509,4.12,3.61
199510,3.54,3.04
199511,2.99,2.62
199512,3.00,2.76
199601,3.59,3.22
199602,3.71,3.30
199603,3.65,3.07
199604,3.23,2.58
199605,3.50,2.84
199606,2.68,2.08
199607,2.42,1.84
199608,1.51,0.94
199609,1.08,0.57
199610,1.19,0.69
199611,1.75,1.38
199612,3.39,3.15
199701,4.59,4.22
199702,4.15,3.74
199703,3.62,3.04
199704,4.19,3.54
199705,3.69,3.03
199706,3.71,3.11
199707,3.87,3.29
199708,4.64,4.07
199709,5.49,4.98
199710,4.96,4.46
