Rich County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.44,-3.79
199002,-3.86,-4.36
199003,-4.62,-5.30
199004,-4.61,-5.27
199005,-4.29,-4.93
199006,-4.08,-4.59
199007,-4.27,-4.76
199008,-4.32,-4.74
199009,-3.90,-4.23
199010,-3.86,-4.32
199011,-3.45,-3.80
199012,-3.56,-3.77
199101,-3.95,-4.30
199102,-4.48,-4.98
199103,-4.50,-5.18
199104,-3.56,-4.22
199105,-0.49,-1.13
199106,1.17,0.66
199107,2.12,1.63
199108,2.69,2.27
199109,2.99,2.66
199110,3.12,2.66
199111,3.41,3.06
199112,1.95,1.74
199201,0.86,0.51
199202,-0.08,-0.58
199203,-1.96,-2.64
199204,-2.78,-3.44
199205,-3.17,-3.81
199206,-3.47,-3.98
199207,-3.26,-3.75
199208,-3.61,-4.03
199209,-3.74,-4.07
199210,-2.79,-3.25
199211,-2.36,-2.71
199212,-2.03,-2.24
199301,-0.96,-1.31
199302,0.06,-0.44
199303,0.91,0.23
199304,1.43,0.77
199305,1.82,1.18
199306,2.29,1.78
199307,3.49,3.00
199308,4.40,3.98
199309,3.25,2.92
199310,3.77,3.31
199311,3.10,2.75
199312,1.80,1.59
199401,0.72,0.37
199402,1.13,0.63
199403,1.93,1.25
199404,1.37,0.71
199405,0.09,-0.55
199406,-1.45,-1.96
199407,-2.45,-2.94
199408,-2.96,-3.38
199409,-3.24,-3.57
199410,-1.08,-1.54
199411,0.59,0.24
199412,0.40,0.19
199501,1.31,0.96
199502,2.04,1.54
199503,3.18,2.50
199504,2.93,2.27
199505,3.93,3.29
199506,4.47,3.96
199507,5.08,4.59
199508,4.76,4.34
199509,3.89,3.56
199510,3.08,2.62
199511,2.28,1.93
199512,2.60,2.39
199601,3.59,3.24
199602,3.71,3.21
199603,3.65,2.97
199604,3.13,2.47
199605,3.50,2.86
199606,2.07,1.56
199607,1.78,1.29
199608,0.08,-0.34
199609,-0.63,-0.96
199610,-0.21,-0.67
199611,1.02,0.67
199612,3.39,3.18
199701,4.59,4.24
199702,4.12,3.62
199703,3.41,2.73
199704,4.19,3.53
199705,3.54,2.90
199706,3.71,3.20
