Rich County, Utah January-December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,14.26,-2.45
199002,13.44,-3.27
199003,12.24,-4.48
199004,12.56,-4.13
199005,12.57,-4.14
199006,12.51,-4.20
199007,12.65,-4.06
199008,12.70,-4.03
199009,12.75,-3.98
199010,12.75,-3.97
199011,13.44,-3.26
199012,14.04,-2.66
199101,13.19,-3.52
199102,12.84,-3.87
199103,13.54,-3.18
199104,13.58,-3.11
199105,15.41,-1.30
199106,16.17,-0.54
199107,16.19,-0.52
199108,17.27,0.54
199109,17.74,1.01
199110,18.92,2.20
199111,19.50,2.80
199112,18.80,2.10
199201,18.94,2.23
199202,19.26,2.55
199203,18.14,1.42
199204,17.10,0.41
199205,15.16,-1.55
199206,14.01,-2.70
199207,14.84,-1.87
199208,13.48,-3.25
199209,12.11,-4.62
199210,12.14,-4.58
199211,11.51,-5.19
199212,12.82,-3.88
199301,14.13,-2.58
199302,14.97,-1.74
199303,16.11,-0.61
199304,17.36,0.67
199305,18.70,1.99
199306,19.65,2.94
199307,20.15,3.44
199308,21.38,4.65
199309,21.05,4.32
199310,20.96,4.24
199311,20.27,3.57
199312,19.23,2.53
199401,18.01,1.30
199402,18.25,1.54
199403,18.73,2.01
199404,18.33,1.64
199405,16.84,0.13
199406,15.08,-1.63
199407,13.33,-3.38
199408,12.36,-4.37
199409,12.74,-3.99
199410,13.40,-3.32
199411,14.86,-1.84
199412,15.24,-1.46
199501,16.23,-0.48
199502,16.32,-0.39
199503,17.33,0.61
199504,17.25,0.56
199505,19.38,2.67
199506,21.60,4.89
199507,22.63,5.92
199508,22.54,5.81
199509,22.78,6.05
199510,21.08,4.36
199511,20.34,3.64
199512,21.59,4.89
199601,22.53,5.82
199602,22.10,5.39
199603,20.54,3.82
199604,20.40,3.71
199605,19.55,2.84
199606,17.58,0.87
199607,17.36,0.65
199608,17.03,0.30
199609,16.88,0.15
199610,17.67,0.95
199611,18.61,1.91
199612,20.78,4.08
199701,21.06,4.35
199702,20.34,3.63
199703,19.68,2.96
199704,20.95,4.26
199705,20.21,3.50
199706,21.66,4.95
199707,22.08,5.37
199708,24.16,7.43
199709,26.49,9.76
199710,25.91,9.19
199711,24.81,8.11
199712,21.51,4.81
199801,21.37,4.66
199802,22.98,6.27
199803,24.26,7.54
199804,22.68,5.99
199805,23.45,6.74
199806,26.06,9.35
199807,25.82,9.11
199808,25.07,8.34
199809,23.21,6.48
199810,24.23,7.51
199811,23.76,7.06
199812,23.45,6.75
199901,22.72,6.01
199902,22.84,6.13
199903,21.75,5.03
199904,24.27,7.58
199905,24.29,7.58
199906,21.48,4.77
199907,21.15,4.44
199908,20.50,3.77
199909,20.24,3.51
199910,18.20,1.48
199911,17.51,0.81
199912,17.47,0.77
200001,17.57,0.86
200002,16.80,0.09
200003,16.93,0.21
200004,14.22,-2.47
200005,13.71,-3.00
200006,12.35,-4.36
200007,11.87,-4.84
200008,12.98,-3.75
200009,13.43,-3.30
200010,14.78,-1.94
200011,15.47,-1.23
200012,15.99,-0.71
200101,14.14,-2.57
200102,14.28,-2.43
200103,13.87,-2.85
200104,14.81,-1.88
200105,13.73,-2.98
200106,14.08,-2.63
200107,14.72,-1.99
200108,13.18,-3.55
200109,12.13,-4.60
200110,11.56,-5.16
200111,12.98,-3.72
200112,13.72,-2.98
200201,14.46,-2.25
200202,12.99,-3.72
200203,13.49,-3.23
200204,13.55,-3.14
200205,13.83,-2.88
200206,13.47,-3.24
200207,13.91,-2.80
200208,13.61,-3.12
200209,14.97,-1.76
200210,15.85,-0.87
200211,15.01,-1.69
200212,13.78,-2.92
200301,13.14,-3.57
200302,14.54,-2.17
200303,14.91,-1.81
200304,13.70,-2.99
200305,14.57,-2.14
200306,15.47,-1.24
200307,14.40,-2.31
200308,15.47,-1.26
200309,14.41,-2.32
200310,13.38,-3.34
200311,13.87,-2.83
200312,15.19,-1.51
200401,15.68,-1.03
200402,15.38,-1.33
200403,14.32,-2.40
200404,15.41,-1.28
200405,15.05,-1.66
200406,15.14,-1.57
200407,15.28,-1.43
200408,15.48,-1.25
200409,15.95,-0.78
200410,18.96,2.24
200411,18.30,1.60
200412,17.70,1.00
200501,20.35,3.64
200502,20.09,3.38
200503,20.77,4.05
200504,22.11,5.42
200505,23.21,6.50
200506,23.94,7.23
200507,23.55,6.84
200508,23.00,6.27
200509,22.41,5.68
200510,19.78,3.06
200511,19.90,3.20
200512,21.04,4.34
200601,19.58,2.87
200602,19.36,2.65
200603,20.12,3.40
200604,18.31,1.62
200605,16.49,-0.22
200606,15.41,-1.30
200607,15.95,-0.76
200608,16.39,-0.34
200609,18.41,1.68
200610,18.89,2.17
200611,19.20,2.50
200612,17.51,0.81
200701,15.92,-0.79
200702,16.37,-0.34
200703,15.74,-0.98
200704,15.14,-1.55
200705,15.38,-1.33
200706,14.85,-1.86
200707,14.96,-1.75
200708,14.69,-2.04
200709,13.64,-3.09
200710,13.34,-3.38
200711,11.81,-4.89
200712,13.06,-3.64
200801,14.85,-1.86
200802,14.98,-1.73
200803,14.75,-1.97
200804,14.68,-2.01
200805,15.70,-1.01
200806,16.05,-0.66
200807,15.41,-1.30
200808,15.47,-1.26
200809,14.98,-1.75
200810,14.60,-2.12
200811,15.44,-1.26
200812,14.70,-2.00
200901,14.04,-2.67
200902,13.65,-3.06
200903,14.16,-2.56
200904,15.78,-0.91
200905,15.02,-1.69
200906,18.01,1.30
200907,18.28,1.57
200908,18.10,1.37
200909,17.70,0.97
200910,18.63,1.91
200911,17.92,1.22
200912,17.37,0.67
201001,16.52,-0.19
201002,15.80,-0.91
201003,15.25,-1.47
201004,15.02,-1.67
201005,16.77,0.06
201006,14.82,-1.89
201007,14.87,-1.84
201008,15.23,-1.50
201009,14.95,-1.78
201010,15.38,-1.34
201011,17.26,0.56
201012,20.19,3.49
201101,20.27,3.56
201102,21.49,4.78
201103,22.57,5.85
201104,23.93,7.24
201105,24.95,8.24
201106,24.00,7.29
201107,24.56,7.85
201108,24.63,7.90
201109,25.09,8.36
201110,23.93,7.21
201111,23.56,6.86
201112,20.18,3.48
201201,20.56,3.85
201202,19.41,2.70
201203,17.91,1.19
201204,15.42,-1.27
201205,12.49,-4.22
201206,11.69,-5.02
201207,11.69,-5.02
201208,10.55,-6.18
201209,10.58,-6.15
201210,11.94,-4.78
201211,11.11,-5.59
201212,13.19,-3.51
201301,12.57,-4.14
201302,12.82,-3.89
201303,12.73,-3.99
201304,13.68,-3.01
201305,13.59,-3.12
201306,13.59,-3.12
201307,13.68,-3.03
201308,14.12,-2.61
201309,16.17,-0.56
201310,14.96,-1.76
201311,14.61,-2.09
201312,13.68,-3.02
201401,13.92,-2.79
201402,15.96,-0.75
201403,17.32,0.60
201404,16.41,-0.28
201405,16.68,-0.03
201406,17.92,1.21
201407,18.51,1.80
201408,21.41,4.68
201409,21.80,5.07
201410,20.85,4.13
201411,21.74,5.04
201412,21.46,4.76
201501,21.22,4.51
201502,19.16,2.45
201503,17.88,1.16
201504,18.09,1.40
201505,21.00,4.29
201506,20.69,3.98
201507,20.24,3.53
201508,17.86,1.13
201509,15.88,-0.85
201510,16.53,-0.19
201511,15.93,-0.77
201512,16.47,-0.23
201601,17.31,0.60
201602,17.23,0.52
201603,19.07,2.35
201604,19.49,2.80
201605,18.53,1.82
201606,17.94,1.23
201607,16.79,0.08
201608,15.96,-0.77
201609,17.42,0.69
201610,18.88,2.16
201611,18.74,2.04
201612,19.39,2.69
201701,22.60,5.89
201702,25.56,8.85
201703,26.07,9.35
201704,26.88,10.19
201705,24.68,7.97
201706,24.89,8.18
201707,25.08,8.37
201708,25.48,8.75
201709,25.30,8.57
201710,23.11,6.39
201711,24.55,7.85
201712,22.92,6.22
201801,19.14,2.43
201802,16.68,-0.03
201803,15.29,-1.43
201804,14.32,-2.37
201805,14.73,-1.98
201806,14.96,-1.75
201807,15.12,-1.59
201808,14.77,-1.96
201809,12.28,-4.45
201810,14.56,-2.16
201811,14.18,-2.52
201812,14.60,-2.10
201901,15.17,-1.54
201902,15.82,-0.89
201903,16.22,-0.50
201904,17.13,0.44
201905,18.77,2.06
201906,18.86,2.15
201907,18.74,2.03
201908,18.65,1.92
201909,20.45,3.72
201910,18.75,2.03
201911,18.42,1.72
201912,18.56,1.86
202001,18.24,1.53
202002,17.35,0.64
202003,17.25,0.53
202004,15.50,-1.19
202005,13.24,-3.47
202006,14.62,-2.09
202007,14.73,-1.98
202008,14.56,-2.17
202009,13.03,-3.70
202010,12.71,-4.01
202011,12.36,-4.34
202012,11.39,-5.31
202101,11.20,-5.51
202102,11.83,-4.88
202103,10.53,-6.19
202104,10.83,-5.86
202105,11.12,-5.59
202106,9.10,-7.61
202107,9.58,-7.13
202108,11.27,-5.46
202109,11.67,-5.06
202110,14.18,-2.54
202111,13.64,-3.06
202112,15.75,-0.95
202201,15.74,-0.97
202202,14.31,-2.40
202203,15.03,-1.69
202204,15.50,-1.19
202205,16.11,-0.60
202206,16.39,-0.32
202207,15.68,-1.03
202208,15.84,-0.89
202209,16.71,-0.02
202210,14.17,-2.55
202211,15.68,-1.02
202212,15.33,-1.37
202301,17.56,0.85
202302,18.81,2.10
202303,20.52,3.80
202304,21.25,4.56
202305,20.72,4.01
202306,21.68,4.97
202307,22.06,5.35
202308,22.09,5.36
202309,22.09,5.36
202310,22.96,6.24
202311,21.98,5.28
202312,21.05,4.35
202401,20.02,3.31
202402,21.21,4.50
202403,20.35,3.63
