Salt Lake County, Utah January-December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,48.8,1.1
199002,49.2,1.5
199003,49.2,1.5
199004,49.2,1.5
199005,49.0,1.3
199006,49.2,1.5
199007,49.1,1.4
199008,49.2,1.5
199009,49.6,1.9
199010,49.6,1.9
199011,49.6,1.9
199012,48.9,1.2
199101,48.4,0.7
199102,48.9,1.2
199103,48.6,0.9
199104,48.0,0.3
199105,47.9,0.2
199106,47.7,0.0
199107,47.7,0.0
199108,47.8,0.1
199109,47.2,-0.5
199110,47.2,-0.5
199111,47.0,-0.7
199112,47.7,0.0
199201,47.9,0.2
199202,48.0,0.3
199203,48.5,0.8
199204,49.4,1.7
199205,50.1,2.4
199206,50.2,2.5
199207,49.9,2.2
199208,49.8,2.1
199209,50.0,2.3
199210,50.2,2.5
199211,49.8,2.1
199212,49.6,1.9
199301,49.4,1.7
199302,48.6,0.9
199303,48.3,0.6
199304,47.5,-0.2
199305,47.4,-0.3
199306,46.9,-0.8
199307,46.5,-1.2
199308,46.2,-1.5
199309,46.1,-1.6
199310,45.7,-2.0
199311,45.8,-1.9
199312,46.1,-1.6
199401,46.8,-0.9
199402,47.1,-0.6
199403,47.3,-0.4
199404,47.6,-0.1
199405,47.7,0.0
199406,48.5,0.8
199407,49.2,1.5
199408,49.8,2.1
199409,50.1,2.4
199410,50.1,2.4
199411,49.9,2.2
199412,50.0,2.3
199501,49.8,2.1
199502,50.5,2.8
199503,50.3,2.6
199504,50.0,2.3
199505,49.3,1.6
199506,48.6,0.9
199507,48.3,0.6
199508,48.1,0.4
199509,47.9,0.2
199510,48.0,0.3
199511,49.0,1.3
199512,49.3,1.6
199601,49.2,1.5
199602,48.6,0.9
199603,48.6,0.9
199604,48.7,1.0
199605,49.1,1.4
199606,49.8,2.1
199607,50.1,2.4
199608,50.0,2.3
199609,49.7,2.0
199610,49.8,2.1
199611,49.4,1.7
199612,49.3,1.6
199701,49.1,1.4
199702,48.9,1.2
199703,49.0,1.3
199704,48.8,1.1
199705,49.1,1.4
199706,48.9,1.2
199707,48.6,0.9
199708,48.6,0.9
199709,48.9,1.2
199710,48.9,1.2
199711,48.8,1.1
199712,48.4,0.7
199801,48.9,1.2
199802,49.2,1.5
199803,48.9,1.2
199804,49.0,1.3
199805,48.7,1.0
199806,48.2,0.5
199807,48.5,0.8
199808,48.5,0.8
199809,48.6,0.9
199810,48.5,0.8
199811,48.6,0.9
199812,48.7,1.0
199901,48.6,0.9
199902,48.7,1.0
199903,49.0,1.3
199904,48.8,1.1
199905,48.6,0.9
199906,49.0,1.3
199907,48.9,1.2
199908,48.9,1.2
199909,48.6,0.9
199910,48.9,1.2
199911,49.4,1.7
199912,49.5,1.8
200001,49.5,1.8
200002,49.8,2.1
200003,49.6,1.9
200004,50.3,2.6
200005,50.8,3.1
200006,51.0,3.3
200007,51.2,3.5
200008,51.5,3.8
200009,51.6,3.9
200010,51.4,3.7
200011,50.2,2.5
200012,50.2,2.5
200101,49.8,2.1
200102,49.4,1.7
200103,49.6,1.9
200104,49.3,1.6
200105,49.4,1.7
200106,49.4,1.7
200107,49.3,1.6
200108,49.3,1.6
200109,49.7,2.0
200110,49.9,2.2
200111,50.8,3.1
200112,50.4,2.7
200201,50.3,2.6
200202,50.0,2.3
200203,49.5,1.8
200204,49.6,1.9
200205,49.3,1.6
200206,49.4,1.7
200207,49.6,1.9
200208,49.3,1.6
200209,48.9,1.2
200210,48.4,0.7
200211,48.0,0.3
200212,48.5,0.8
