Salt Lake County, Utah January-December Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,591,93
199002,591,93
199003,591,93
199004,591,93
199005,587,89
199006,626,128
199007,566,66
199008,596,95
199009,666,164
199010,666,164
199011,666,164
199012,666,164
199101,666,168
199102,666,168
199103,666,168
199104,666,168
199105,659,161
199106,623,125
199107,626,126
199108,660,159
199109,576,74
199110,576,74
199111,576,74
199112,576,74
199201,576,78
199202,576,78
199203,576,78
199204,584,86
199205,620,122
199206,637,139
199207,531,31
199208,520,19
199209,537,35
199210,537,35
199211,537,35
199212,537,35
199301,537,39
199302,537,39
199303,537,39
199304,529,31
199305,515,17
199306,453,-45
199307,363,-137
199308,259,-242
199309,243,-259
199310,243,-259
199311,243,-259
199312,243,-259
199401,243,-255
199402,243,-255
199403,243,-255
199404,243,-255
199405,246,-252
199406,371,-127
199407,597,97
199408,768,267
199409,820,318
199410,820,318
199411,820,318
199412,820,318
199501,820,322
199502,820,322
199503,820,322
199504,820,322
199505,795,297
199506,674,176
199507,552,52
199508,507,6
199509,478,-24
199510,478,-24
199511,478,-24
199512,478,-24
199601,478,-20
199602,478,-20
199603,478,-20
199604,478,-20
199605,487,-11
199606,594,96
199607,704,204
199608,693,192
199609,661,159
199610,661,159
199611,661,159
199612,661,159
199701,661,163
199702,661,163
199703,661,163
199704,661,163
199705,673,175
199706,628,130
199707,523,23
199708,525,24
199709,555,53
199710,555,53
199711,555,53
199712,555,53
199801,555,57
199802,555,57
199803,555,57
199804,555,57
199805,542,44
199806,473,-25
199807,592,92
199808,592,91
199809,607,105
199810,607,105
199811,607,105
199812,607,105
199901,607,109
199902,607,109
199903,607,109
199904,607,109
199905,599,101
199906,652,154
199907,607,107
199908,591,90
199909,550,48
199910,550,48
199911,550,48
199912,550,48
200001,550,52
200002,550,52
200003,550,52
200004,550,52
200005,570,72
200006,616,118
200007,691,191
200008,770,269
200009,786,284
200010,786,284
200011,786,284
200012,786,284
200101,786,288
200102,786,288
200103,786,288
200104,786,288
200105,795,297
200106,792,294
200107,760,260
200108,768,267
200109,831,329
200110,831,329
200111,831,329
200112,831,329
200201,831,333
200202,831,333
200203,831,333
200204,831,333
200205,814,316
200206,826,328
200207,901,401
200208,799,298
200209,732,230
200210,732,230
200211,732,230
200212,732,230
200301,732,234
200302,732,234
200303,732,234
200304,732,234
200305,736,238
200306,701,203
200307,731,231
200308,824,323
200309,830,328
200310,838,336
200311,838,336
200312,838,336
200401,838,340
200402,838,340
200403,838,340
200404,838,340
200405,835,337
200406,838,340
200407,689,189
200408,540,39
200409,528,26
200410,520,18
200411,520,18
200412,520,18
200501,520,22
200502,520,22
200503,520,22
200504,520,22
200505,518,20
200506,462,-36
200507,526,26
200508,580,79
200509,582,80
200510,582,80
200511,582,80
200512,582,80
200601,582,84
200602,582,84
200603,582,84
200604,582,84
200605,594,96
200606,689,191
200607,723,223
200608,715,214
200609,701,199
200610,701,199
200611,701,199
200612,701,199
200701,701,203
200702,701,203
200703,701,203
200704,701,203
200705,699,201
200706,699,201
200707,730,230
200708,824,323
200709,848,346
200710,848,346
200711,848,346
200712,848,346
200801,848,350
200802,848,350
200803,848,350
200804,848,350
200805,833,335
200806,774,276
200807,697,197
200808,641,140
200809,638,136
200810,638,136
200811,638,136
200812,638,136
200901,638,140
200902,638,140
200903,638,140
200904,638,140
200905,649,151
200906,616,118
200907,564,64
200908,500,-1
200909,547,45
200910,547,45
200911,547,45
200912,547,45
201001,547,49
201002,547,49
201003,547,49
201004,547,49
201005,530,32
201006,559,61
201007,570,70
201008,591,90
201009,577,75
201010,577,75
201011,577,75
201012,577,75
201101,577,79
201102,577,79
201103,577,79
201104,577,79
201105,577,79
201106,550,52
201107,528,28
201108,612,111
201109,618,116
201110,618,116
201111,618,116
201112,618,116
201201,618,120
201202,618,120
201203,618,120
201204,618,120
201205,634,136
201206,723,225
201207,794,294
201208,834,333
201209,834,332
201210,834,332
201211,834,332
201212,834,332
201301,834,336
201302,834,336
201303,834,336
201304,834,336
201305,832,334
201306,842,344
201307,864,364
201308,815,314
201309,787,285
201310,787,285
201311,787,285
201312,787,285
201401,787,289
201402,787,289
201403,787,289
201404,787,289
201405,791,293
201406,734,236
201407,732,232
201408,609,108
201409,642,140
201410,648,146
201411,648,146
201412,648,146
201501,648,150
201502,648,150
201503,648,150
201504,648,150
201505,640,142
201506,759,261
201507,622,122
201508,707,206
201509,726,224
201510,729,227
201511,729,227
201512,729,227
201601,729,231
201602,729,231
201603,729,231
201604,729,231
201605,730,232
201606,719,221
201607,843,343
201608,871,370
201609,817,315
201610,814,312
201611,814,312
201612,814,312
201701,814,316
201702,814,316
201703,814,316
201704,814,316
201705,818,320
201706,774,276
201707,831,331
201708,848,347
201709,834,332
201710,828,326
201711,828,326
201712,828,326
201801,828,330
201802,828,330
201803,828,330
201804,828,330
201805,839,341
201806,836,338
201807,853,353
201808,841,340
201809,916,414
201810,916,414
201811,916,414
201812,916,414
201901,916,418
201902,916,418
201903,916,418
201904,916,418
201905,890,392
201906,816,318
201907,746,246
201908,767,266
201909,712,210
201910,712,210
201911,712,210
201912,712,210
202001,712,214
202002,712,214
202003,712,214
202004,712,214
202005,736,238
202006,739,241
202007,715,215
202008,807,306
202009,828,326
202010,828,326
202011,828,326
202012,828,326
202101,828,330
202102,828,330
202103,828,330
202104,828,330
202105,821,323
202106,991,493
202107,1104,604
202108,936,435
202109,943,441
202110,943,441
202111,943,441
202112,943,441
202201,943,445
202202,943,445
202203,943,445
202204,943,445
202205,933,435
202206,804,306
202207,765,265
202208,830,329
202209,869,367
202210,869,367
202211,869,367
202212,869,367
202301,869,371
202302,869,371
202303,869,371
