Salt Lake County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,6435,-342
199002,6300,-475
199003,6322,-455
199004,6328,-447
199005,6381,-394
199006,6340,-435
199007,6340,-435
199008,6336,-438
199009,6258,-516
199010,6252,-521
199011,6246,-530
199012,6515,-261
199101,6705,-72
199102,6523,-252
199103,6628,-149
199104,6845,70
199105,6901,126
199106,6938,163
199107,6938,163
199108,6930,156
199109,7038,264
199110,7042,269
199111,7121,345
199112,6879,103
199201,6775,-2
199202,6741,-34
199203,6559,-218
199204,6266,-509
199205,6033,-742
199206,6014,-761
199207,6026,-749
199208,6031,-743
199209,5996,-778
199210,5919,-854
199211,6055,-721
199212,6138,-638
199301,6208,-569
199302,6465,-310
199303,6595,-182
199304,6855,80
199305,6904,129
199306,7005,230
199307,7051,276
199308,7075,301
199309,7108,334
199310,7234,461
199311,7198,422
199312,7081,305
199401,6833,56
199402,6733,-42
199403,6652,-125
199404,6538,-237
199405,6524,-251
199406,6371,-404
199407,6313,-462
199408,6284,-490
199409,6206,-568
199410,6228,-545
199411,6284,-492
199412,6246,-530
199501,6323,-454
199502,6077,-698
199503,6163,-614
199504,6274,-501
199505,6501,-274
199506,6642,-133
199507,6651,-124
199508,6651,-123
199509,6685,-89
199510,6659,-114
199511,6288,-488
199512,6197,-579
199601,6217,-560
199602,6432,-343
199603,6421,-356
199604,6376,-399
199605,6254,-521
199606,6122,-653
199607,6113,-662
199608,6113,-661
199609,6187,-587
199610,6171,-602
199611,6299,-477
199612,6356,-420
199701,6410,-367
199702,6477,-298
199703,6434,-343
199704,6512,-263
199705,6424,-351
199706,6461,-314
199707,6470,-305
199708,6470,-304
199709,6400,-374
199710,6386,-387
199711,6401,-375
199712,6551,-225
199801,6394,-383
199802,6297,-478
199803,6395,-382
199804,6351,-424
199805,6453,-322
199806,6573,-202
199807,6564,-211
199808,6564,-210
199809,6544,-230
199810,6587,-186
199811,6557,-219
199812,6526,-250
199901,6547,-230
199902,6513,-262
199903,6404,-373
199904,6483,-292
199905,6539,-236
199906,6439,-336
199907,6439,-336
199908,6445,-329
199909,6520,-254
199910,6388,-385
199911,6221,-555
199912,6169,-607
200001,6168,-609
200002,6083,-692
200003,6164,-613
200004,5900,-875
200005,5747,-1028
200006,5702,-1073
200007,5702,-1073
200008,5696,-1078
200009,5656,-1118
200010,5743,-1030
200011,6187,-589
200012,6155,-621
200101,6319,-458
200102,6457,-318
200103,6371,-406
200104,6490,-285
200105,6456,-319
200106,6459,-316
200107,6459,-316
200108,6459,-315
200109,6386,-388
200110,6300,-473
200111,5986,-790
200112,6118,-658
200201,6159,-618
200202,6264,-511
200203,6458,-319
200204,6411,-364
200205,6498,-277
200206,6487,-288
200207,6487,-288
200208,6494,-280
200209,6576,-198
200210,6748,-25
200211,6891,115
200212,6723,-53
200301,6401,-376
200302,6334,-441
200303,6177,-600
200304,6236,-539
200305,6208,-567
200306,6238,-537
200307,6238,-537
200308,6231,-543
200309,6219,-555
200310,5961,-812
200311,6018,-758
200312,6000,-776
200401,6380,-397
200402,6473,-302
200403,6337,-440
200404,6273,-502
200405,6298,-477
200406,6296,-479
200407,6296,-479
200408,6313,-461
200409,6339,-435
200410,6511,-262
200411,6413,-363
200412,6445,-331
200501,6154,-623
200502,5980,-795
200503,6153,-624
200504,6214,-561
200505,6232,-543
200506,6302,-473
200507,6302,-473
200508,6292,-482
200509,6287,-487
200510,6243,-530
200511,6167,-609
200512,6218,-558
200601,6279,-498
200602,6356,-419
200603,6427,-350
200604,6353,-422
200605,6272,-503
200606,6170,-605
200607,6170,-605
200608,6171,-603
200609,6219,-555
200610,6318,-455
200611,6340,-436
200612,6354,-422
200701,6621,-156
200702,6523,-252
200703,6321,-456
200704,6326,-449
200705,6334,-441
200706,6334,-441
200707,6334,-441
200708,6326,-448
200709,6257,-517
200710,6195,-578
200711,6132,-644
200712,6229,-547
200801,6192,-585
200802,6307,-468
200803,6530,-247
200804,6724,-51
200805,6868,93
200806,6922,147
200807,6922,147
200808,6922,148
200809,6928,154
200810,6900,127
200811,6881,105
200812,6801,25
200901,6608,-169
200902,6525,-250
200903,6449,-328
200904,6352,-423
200905,6231,-544
200906,6273,-502
200907,6273,-502
200908,6286,-488
200909,6224,-550
200910,6389,-384
200911,6435,-341
200912,6599,-177
201001,6612,-165
201002,6649,-126
201003,6641,-136
201004,6669,-106
201005,6897,122
201006,6859,84
201007,6859,84
201008,6855,81
201009,6871,97
201010,6657,-116
201011,6785,9
201012,6479,-297
201101,6571,-206
201102,6623,-152
201103,6614,-163
201104,6690,-85
201105,6671,-104
201106,6706,-69
201107,6706,-69
201108,6697,-77
201109,6691,-83
201110,6729,-44
201111,6695,-81
201112,6846,70
201201,6688,-89
201202,6621,-154
201203,6472,-305
201204,6228,-547
201205,6028,-747
201206,5935,-840
201207,5935,-840
201208,5935,-839
201209,5935,-839
201210,5943,-830
201211,5773,-1003
201212,5697,-1079
201301,6018,-759
201302,6145,-630
201303,6247,-530
201304,6427,-348
201305,6439,-336
201306,6433,-342
201307,6433,-342
201308,6433,-341
201309,6466,-308
201310,6576,-197
201311,6648,-128
201312,6842,66
201401,6573,-204
201402,6349,-426
201403,6312,-465
201404,6227,-548
201405,6199,-576
201406,6246,-529
201407,6246,-529
201408,6265,-509
201409,6225,-549
201410,6013,-760
201411,6061,-715
201412,5769,-1007
201501,5665,-1112
201502,5554,-1221
201503,5436,-1341
201504,5403,-1372
201505,5467,-1308
201506,5394,-1381
201507,5401,-1374
201508,5387,-1387
201509,5370,-1404
201510,5321,-1452
201511,5398,-1378
201512,5549,-1227
201601,5694,-1083
201602,5831,-944
201603,5928,-849
201604,5879,-896
201605,5874,-901
201606,5877,-898
201607,5870,-905
201608,5865,-909
201609,5925,-849
201610,5978,-795
201611,5741,-1035
201612,5768,-1008
201701,5825,-952
201702,5772,-1003
201703,5650,-1127
201704,5766,-1009
201705,5728,-1047
201706,5746,-1029
201707,5746,-1029
201708,5746,-1028
201709,5773,-1001
201710,5952,-821
201711,5947,-829
201712,5841,-935
201801,5583,-1194
201802,5677,-1098
201803,5875,-902
201804,5778,-997
201805,5722,-1053
