Salt Lake County, Utah January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,59.6,1.4
199002,60.0,1.8
199003,59.9,1.7
199004,59.9,1.7
199005,59.7,1.5
199006,60.0,1.8
199007,59.8,1.6
199008,59.9,1.7
199009,60.2,2.0
199010,60.2,2.0
199011,60.2,2.0
199012,59.6,1.4
199101,59.1,0.9
199102,59.7,1.5
199103,59.4,1.2
199104,58.7,0.5
199105,58.5,0.3
199106,58.2,0.0
199107,58.2,0.0
199108,58.2,0.0
199109,57.7,-0.5
199110,57.7,-0.5
199111,57.3,-0.9
199112,57.9,-0.3
199201,58.2,0.0
199202,58.1,-0.1
199203,58.7,0.5
199204,59.7,1.5
199205,60.5,2.3
199206,60.7,2.5
199207,60.3,2.1
199208,60.4,2.2
199209,60.6,2.4
199210,60.7,2.5
199211,60.4,2.2
199212,60.2,2.0
199301,60.0,1.8
199302,59.2,1.0
199303,58.7,0.5
199304,57.9,-0.3
199305,57.7,-0.5
199306,57.1,-1.1
199307,56.8,-1.4
199308,56.5,-1.7
199309,56.4,-1.8
199310,55.9,-2.3
199311,56.1,-2.1
199312,56.5,-1.7
199401,57.1,-1.1
199402,57.5,-0.7
199403,57.9,-0.3
199404,58.2,0.0
199405,58.3,0.1
199406,59.3,1.1
199407,60.1,1.9
199408,60.7,2.5
199409,61.0,2.8
199410,60.9,2.7
199411,60.6,2.4
199412,60.7,2.5
199501,60.4,2.2
199502,61.2,3.0
199503,60.9,2.7
199504,60.6,2.4
199505,59.7,1.5
199506,58.8,0.6
199507,58.4,0.2
199508,58.3,0.1
199509,58.1,-0.1
199510,58.4,0.2
199511,59.6,1.4
199512,59.9,1.7
199601,59.9,1.7
199602,59.2,1.0
199603,59.3,1.1
199604,59.5,1.3
199605,59.9,1.7
199606,60.8,2.6
199607,61.1,2.9
199608,61.1,2.9
199609,60.8,2.6
199610,60.7,2.5
199611,60.3,2.1
199612,60.1,1.9
199701,59.9,1.7
199702,59.7,1.5
199703,59.9,1.7
199704,59.7,1.5
199705,60.0,1.8
199706,59.7,1.5
199707,59.3,1.1
199708,59.2,1.0
199709,59.3,1.1
199710,59.4,1.2
199711,59.3,1.1
199712,58.9,0.7
199801,59.3,1.1
199802,59.5,1.3
199803,59.1,0.9
199804,59.1,0.9
199805,58.7,0.5
199806,58.1,-0.1
199807,58.5,0.3
199808,58.5,0.3
199809,58.7,0.5
199810,58.4,0.2
199811,58.5,0.3
199812,58.7,0.5
199901,58.6,0.4
199902,59.0,0.8
199903,59.3,1.1
199904,59.1,0.9
199905,58.9,0.7
199906,59.4,1.2
199907,59.3,1.1
199908,59.2,1.0
199909,59.0,0.8
199910,59.7,1.5
199911,60.4,2.2
199912,60.5,2.3
200001,60.4,2.2
200002,60.6,2.4
200003,60.2,2.0
200004,61.2,3.0
200005,61.7,3.5
200006,62.0,3.8
200007,62.3,4.1
200008,62.6,4.4
200009,62.7,4.5
200010,62.1,3.9
200011,60.6,2.4
200012,60.7,2.5
200101,60.3,2.1
200102,59.9,1.7
200103,60.1,1.9
200104,59.6,1.4
200105,59.8,1.6
200106,59.8,1.6
200107,59.7,1.5
200108,59.7,1.5
200109,60.3,2.1
200110,60.7,2.5
200111,61.6,3.4
200112,61.2,3.0
200201,61.1,2.9
200202,61.0,2.8
200203,60.6,2.4
200204,60.8,2.6
200205,60.6,2.4
200206,60.6,2.4
200207,60.9,2.7
200208,60.6,2.4
200209,60.0,1.8
200210,59.4,1.2
200211,59.0,0.8
200212,59.5,1.3
200301,60.4,2.2
200302,60.4,2.2
200303,60.7,2.5
200304,60.5,2.3
200305,60.5,2.3
200306,60.2,2.0
200307,60.3,2.1
200308,60.4,2.2
200309,60.6,2.4
200310,61.6,3.4
200311,61.2,3.0
200312,61.2,3.0
200401,60.1,1.9
200402,59.8,1.6
200403,60.3,2.1
200404,60.5,2.3
200405,60.4,2.2
200406,60.5,2.3
200407,60.0,1.8
200408,59.5,1.3
200409,59.4,1.2
200410,58.6,0.4
200411,59.0,0.8
200412,59.0,0.8
200501,59.7,1.5
200502,60.4,2.2
200503,59.8,1.6
200504,59.7,1.5
200505,59.6,1.4
200506,59.2,1.0
200507,59.4,1.2
200508,59.6,1.4
200509,59.6,1.4
200510,59.9,1.7
200511,60.1,1.9
200512,60.0,1.8
200601,60.0,1.8
200602,59.8,1.6
200603,59.6,1.4
200604,59.8,1.6
200605,60.2,2.0
200606,60.9,2.7
200607,60.9,2.7
200608,60.9,2.7
200609,60.6,2.4
200610,60.3,2.1
200611,60.3,2.1
200612,60.3,2.1
200701,59.7,1.5
200702,59.9,1.7
200703,60.5,2.3
200704,60.5,2.3
200705,60.5,2.3
200706,60.6,2.4
200707,60.7,2.5
200708,61.0,2.8
200709,61.2,3.0
200710,61.5,3.3
200711,61.8,3.6
200712,61.5,3.3
200801,61.5,3.3
200802,61.1,2.9
200803,60.4,2.2
200804,59.9,1.7
200805,59.4,1.2
200806,59.0,0.8
200807,58.8,0.6
200808,58.7,0.5
200809,58.7,0.5
200810,58.8,0.6
200811,58.7,0.5
200812,59.0,0.8
200901,59.5,1.3
200902,59.7,1.5
200903,60.0,1.8
200904,60.1,1.9
200905,60.5,2.3
200906,60.2,2.0
200907,60.0,1.8
200908,59.8,1.6
200909,60.1,1.9
200910,59.5,1.3
200911,59.6,1.4
200912,59.1,0.9
201001,59.0,0.8
201002,58.8,0.6
201003,58.9,0.7
201004,58.8,0.6
201005,58.1,-0.1
201006,58.3,0.1
201007,58.3,0.1
201008,58.4,0.2
201009,58.4,0.2
201010,59.0,0.8
201011,58.5,0.3
201012,59.2,1.0
201101,59.0,0.8
201102,58.9,0.7
201103,58.8,0.6
201104,58.5,0.3
201105,58.6,0.4
201106,58.4,0.2
201107,58.3,0.1
201108,58.6,0.4
201109,58.4,0.2
201110,58.4,0.2
201111,58.6,0.4
201112,58.3,0.1
201201,58.9,0.7
201202,59.0,0.8
201203,59.5,1.3
201204,60.4,2.2
201205,61.1,2.9
201206,61.7,3.5
201207,61.9,3.7
201208,62.0,3.8
201209,62.0,3.8
201210,62.0,3.8
201211,62.5,4.3
201212,62.6,4.4
201301,61.6,3.4
201302,61.3,3.1
201303,61.0,2.8
201304,60.4,2.2
201305,60.3,2.1
201306,60.3,2.1
201307,60.3,2.1
201308,60.1,1.9
201309,59.8,1.6
201310,59.4,1.2
201311,59.1,0.9
201312,58.7,0.5
201401,59.5,1.3
201402,60.1,1.9
201403,60.3,2.1
201404,60.5,2.3
201405,60.6,2.4
201406,60.2,2.0
201407,60.2,2.0
201408,59.8,1.6
201409,60.1,1.9
201410,60.8,2.6
201411,60.7,2.5
201412,61.5,3.3
201501,61.7,3.5
201502,62.1,3.9
201503,62.4,4.2
201504,62.6,4.4
201505,62.2,4.0
201506,62.8,4.6
201507,62.4,4.2
201508,62.7,4.5
