Salt Lake County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,38.1,0.9
199002,38.5,1.3
199003,38.5,1.3
199004,38.4,1.2
199005,38.3,1.1
199006,38.5,1.3
199007,38.4,1.2
199008,38.5,1.3
199009,38.9,1.7
199010,38.9,1.7
199011,39.0,1.8
199012,38.2,1.0
199101,37.7,0.5
199102,38.1,0.9
199103,37.9,0.7
199104,37.3,0.1
199105,37.2,0.0
199106,37.1,-0.1
199107,37.1,-0.1
199108,37.3,0.1
199109,36.8,-0.4
199110,36.7,-0.5
199111,36.7,-0.5
199112,37.4,0.2
199201,37.7,0.5
199202,37.9,0.7
199203,38.3,1.1
199204,39.0,1.8
199205,39.6,2.4
199206,39.7,2.5
199207,39.4,2.2
199208,39.3,2.1
199209,39.3,2.1
199210,39.6,2.4
199211,39.1,1.9
199212,38.9,1.7
199301,38.8,1.6
199302,38.1,0.9
199303,37.8,0.6
199304,37.2,0.0
199305,37.1,-0.1
199306,36.7,-0.5
199307,36.3,-0.9
199308,35.9,-1.3
199309,35.8,-1.4
199310,35.6,-1.6
199311,35.5,-1.7
199312,35.8,-1.4
199401,36.5,-0.7
199402,36.7,-0.5
199403,36.8,-0.4
199404,37.1,-0.1
199405,37.0,-0.2
199406,37.7,0.5
199407,38.4,1.2
199408,38.9,1.7
199409,39.3,2.1
199410,39.2,2.0
199411,39.2,2.0
199412,39.3,2.1
199501,39.2,2.0
199502,39.8,2.6
199503,39.7,2.5
199504,39.4,2.2
199505,38.9,1.7
199506,38.4,1.2
199507,38.1,0.9
199508,37.9,0.7
199509,37.7,0.5
199510,37.6,0.4
199511,38.4,1.2
199512,38.7,1.5
199601,38.6,1.4
199602,38.0,0.8
199603,38.0,0.8
199604,38.0,0.8
199605,38.3,1.1
199606,38.7,1.5
199607,39.0,1.8
199608,38.9,1.7
199609,38.7,1.5
199610,38.9,1.7
199611,38.6,1.4
199612,38.5,1.3
199701,38.3,1.1
199702,38.2,1.0
199703,38.2,1.0
199704,38.0,0.8
199705,38.1,0.9
199706,38.1,0.9
199707,37.8,0.6
199708,38.0,0.8
199709,38.4,1.2
199710,38.4,1.2
199711,38.4,1.2
199712,38.0,0.8
199801,38.4,1.2
199802,38.8,1.6
199803,38.7,1.5
199804,38.9,1.7
199805,38.7,1.5
199806,38.2,1.0
199807,38.6,1.4
199808,38.5,1.3
199809,38.5,1.3
199810,38.6,1.4
199811,38.7,1.5
199812,38.7,1.5
199901,38.6,1.4
199902,38.5,1.3
199903,38.7,1.5
199904,38.5,1.3
199905,38.3,1.1
199906,38.7,1.5
199907,38.5,1.3
199908,38.6,1.4
199909,38.1,0.9
199910,38.1,0.9
199911,38.3,1.1
199912,38.5,1.3
200001,38.6,1.4
200002,39.0,1.8
200003,38.9,1.7
200004,39.4,2.2
200005,39.8,2.6
200006,40.0,2.8
200007,40.1,2.9
200008,40.3,3.1
200009,40.5,3.3
200010,40.6,3.4
200011,39.7,2.5
200012,39.8,2.6
200101,39.2,2.0
200102,38.8,1.6
200103,39.1,1.9
200104,38.9,1.7
200105,39.0,1.8
200106,38.9,1.7
200107,38.9,1.7
200108,38.8,1.6
200109,39.1,1.9
200110,39.1,1.9
200111,39.9,2.7
200112,39.6,2.4
200201,39.5,2.3
200202,39.0,1.8
200203,38.4,1.2
200204,38.4,1.2
200205,38.1,0.9
200206,38.2,1.0
200207,38.3,1.1
200208,38.0,0.8
200209,37.8,0.6
200210,37.4,0.2
200211,37.0,-0.2
200212,37.4,0.2
200301,38.3,1.1
200302,38.7,1.5
200303,39.2,2.0
200304,39.1,1.9
200305,39.3,2.1
200306,39.2,2.0
200307,39.3,2.1
200308,39.7,2.5
200309,39.5,2.3
200310,40.1,2.9
200311,40.1,2.9
200312,40.2,3.0
200401,39.3,2.1
200402,39.0,1.8
200403,39.2,2.0
200404,39.4,2.2
200405,39.3,2.1
200406,39.3,2.1
200407,39.0,1.8
200408,38.6,1.4
200409,38.5,1.3
200410,38.3,1.1
200411,38.4,1.2
200412,38.3,1.1
200501,39.1,1.9
200502,39.5,2.3
200503,39.2,2.0
200504,39.0,1.8
200505,38.9,1.7
200506,38.6,1.4
200507,38.7,1.5
200508,38.9,1.7
200509,38.9,1.7
200510,38.9,1.7
200511,39.1,1.9
200512,38.9,1.7
200601,38.6,1.4
200602,38.3,1.1
200603,38.1,0.9
200604,38.3,1.1
200605,38.5,1.3
200606,38.9,1.7
200607,39.0,1.8
200608,39.0,1.8
200609,38.9,1.7
200610,38.7,1.5
200611,38.5,1.3
200612,38.5,1.3
200701,37.7,0.5
200702,38.1,0.9
200703,38.5,1.3
200704,38.5,1.3
200705,38.4,1.2
200706,38.4,1.2
200707,38.4,1.2
200708,38.7,1.5
200709,38.9,1.7
200710,39.0,1.8
200711,39.1,1.9
200712,38.9,1.7
200801,39.1,1.9
200802,38.7,1.5
200803,38.2,1.0
200804,37.6,0.4
200805,37.3,0.1
200806,37.1,-0.1
200807,36.9,-0.3
200808,36.6,-0.6
200809,36.6,-0.6
200810,36.6,-0.6
200811,36.9,-0.3
200812,37.0,-0.2
200901,37.5,0.3
200902,37.8,0.6
200903,38.0,0.8
200904,38.3,1.1
200905,38.7,1.5
200906,38.6,1.4
200907,38.4,1.2
200908,38.3,1.1
200909,38.6,1.4
200910,38.2,1.0
200911,38.0,0.8
200912,37.6,0.4
201001,37.6,0.4
201002,37.5,0.3
201003,37.5,0.3
201004,37.5,0.3
201005,36.9,-0.3
201006,37.0,-0.2
201007,37.1,-0.1
201008,37.2,0.0
201009,37.0,-0.2
201010,37.5,0.3
201011,37.3,0.1
201012,38.3,1.1
201101,38.0,0.8
201102,37.8,0.6
201103,37.9,0.7
201104,37.7,0.5
201105,37.8,0.6
201106,37.6,0.4
201107,37.6,0.4
201108,37.8,0.6
201109,38.0,0.8
201110,37.9,0.7
201111,37.9,0.7
201112,37.3,0.1
201201,37.6,0.4
201202,37.9,0.7
201203,38.2,1.0
201204,38.7,1.5
201205,39.1,1.9
201206,39.5,2.3
201207,39.7,2.5
201208,39.8,2.6
201209,39.8,2.6
201210,39.8,2.6
201211,40.2,3.0
201212,40.6,3.4
201301,39.8,2.6
201302,39.3,2.1
201303,39.1,1.9
201304,38.7,1.5
201305,38.7,1.5
201306,38.8,1.6
201307,38.9,1.7
201308,38.8,1.6
201309,38.8,1.6
201310,38.6,1.4
201311,38.5,1.3
201312,37.9,0.7
201401,38.5,1.3
201402,39.3,2.1
201403,39.3,2.1
201404,39.5,2.3
201405,39.6,2.4
201406,39.4,2.2
201407,39.4,2.2
201408,39.1,1.9
201409,39.1,1.9
201410,39.6,2.4
201411,39.5,2.3
201412,40.3,3.1
201501,40.7,3.5
201502,40.9,3.7
201503,41.2,4.0
201504,41.2,4.0
201505,41.2,4.0
201506,41.7,4.5
201507,41.3,4.1
201508,41.5,4.3
201509,41.6,4.4
201510,41.9,4.7
201511,41.7,4.5
201512,41.2,4.0
201601,40.9,3.7
201602,40.5,3.3
201603,40.4,3.2
201604,40.6,3.4
201605,40.5,3.3
201606,40.4,3.2
201607,40.7,3.5
201608,40.7,3.5
201609,40.4,3.2
201610,40.2,3.0
201611,40.8,3.6
201612,40.7,3.5
201701,40.6,3.4
201702,40.8,3.6
201703,41.1,3.9
201704,40.8,3.6
201705,40.8,3.6
201706,40.6,3.4
201707,40.8,3.6
201708,40.8,3.6
201709,40.8,3.6
201710,40.2,3.0
201711,40.2,3.0
201712,40.4,3.2
201801,41.0,3.8
201802,40.7,3.5
201803,40.2,3.0
201804,40.3,3.1
201805,40.5,3.3
201806,40.5,3.3
201807,40.5,3.3
201808,40.5,3.3
201809,40.8,3.6
201810,41.0,3.8
201811,40.4,3.2
201812,40.4,3.2
201901,39.9,2.7
201902,39.8,2.6
201903,39.7,2.5
201904,39.8,2.6
201905,39.5,2.3
201906,39.2,2.0
201907,39.0,1.8
201908,39.0,1.8
201909,38.8,1.6
201910,38.2,1.0
201911,38.4,1.2
201912,38.6,1.4
202001,38.9,1.7
202002,38.8,1.6
202003,39.1,1.9
202004,38.9,1.7
202005,39.2,2.0
202006,39.2,2.0
202007,39.1,1.9
202008,39.3,2.1
202009,39.2,2.0
202010,39.9,2.7
202011,39.9,2.7
202012,39.6,2.4
202101,39.4,2.2
202102,39.6,2.4
202103,39.3,2.1
202104,39.2,2.0
202105,39.1,1.9
202106,39.8,2.6
202107,40.2,3.0
202108,39.8,2.6
202109,39.9,2.7
202110,39.9,2.7
202111,40.3,3.1
202112,40.6,3.4
202201,40.6,3.4
202202,40.2,3.0
202203,40.4,3.2
202204,40.3,3.1
202205,40.0,2.8
202206,39.5,2.3
202207,39.4,2.2
