Salt Lake County, Utah December Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.57,-3.84
199002,-4.01,-4.31
199003,-4.27,-4.54
199004,-4.22,-4.40
199005,-3.80,-4.08
199006,-3.36,-3.54
199007,-3.18,-3.41
199008,-3.17,-3.36
199009,-3.02,-3.28
199010,-2.91,-3.13
199011,-2.71,-2.85
199012,-2.88,-2.95
199101,-3.08,-3.35
199102,-3.49,-3.79
199103,-3.34,-3.61
199104,0.57,0.39
199105,1.29,1.01
199106,1.28,1.10
199107,1.20,0.97
199108,1.24,1.05
199109,1.88,1.62
199110,1.96,1.74
199111,2.37,2.23
199112,-0.46,-0.53
199201,-1.00,-1.27
199202,-0.98,-1.28
199203,-1.74,-2.01
199204,-2.53,-2.71
199205,-2.75,-3.03
199206,-2.90,-3.08
199207,-2.87,-3.10
199208,-3.03,-3.22
199209,-2.94,-3.20
199210,0.12,-0.10
199211,0.57,0.43
199212,0.85,0.78
199301,2.08,1.81
199302,2.49,2.19
199303,2.20,1.93
199304,1.89,1.71
199305,2.68,2.40
199306,3.13,2.95
199307,4.21,3.98
199308,4.44,4.25
199309,3.77,3.51
199310,4.04,3.82
199311,-0.23,-0.37
199312,-0.63,-0.70
199401,-1.01,-1.28
199402,-0.49,-0.79
199403,-0.80,-1.07
199404,-0.54,-0.72
199405,-0.77,-1.05
199406,-1.45,-1.63
199407,-2.43,-2.66
199408,-2.52,-2.71
199409,-2.54,-2.80
199410,0.90,0.68
199411,1.88,1.74
199412,1.93,1.86
199501,2.64,2.37
199502,2.08,1.78
199503,2.73,2.46
199504,2.55,2.37
199505,4.27,3.99
199506,4.59,4.41
199507,5.14,4.91
199508,4.73,4.54
199509,4.30,4.04
199510,3.48,3.26
199511,2.48,2.34
199512,2.04,1.97
199601,2.68,2.41
199602,2.86,2.56
199603,2.83,2.56
199604,2.67,2.49
199605,0.02,-0.26
199606,-0.44,-0.62
199607,-1.02,-1.25
199608,-1.78,-1.97
199609,0.29,0.03
199610,0.45,0.23
199611,0.81,0.67
199612,1.54,1.47
199701,2.84,2.57
199702,2.75,2.45
199703,1.71,1.44
199704,1.79,1.61
199705,1.60,1.32
199706,1.85,1.67
199707,1.86,1.63
199708,1.91,1.72
199709,2.41,2.15
199710,2.46,2.24
199711,1.85,1.71
199712,1.24,1.17
199801,1.47,1.20
199802,2.75,2.45
199803,2.72,2.45
199804,2.49,2.31
199805,2.56,2.28
199806,4.09,3.91
199807,4.92,4.69
199808,4.89,4.70
199809,4.55,4.29
199810,4.36,4.14
199811,3.72,3.58
199812,2.89,2.82
199901,2.77,2.50
199902,2.67,2.37
199903,1.65,1.38
199904,2.63,2.45
199905,3.16,2.88
199906,3.09,2.91
199907,3.25,3.02
199908,3.06,2.87
199909,-0.28,-0.54
199910,-1.11,-1.33
199911,-2.07,-2.21
199912,-2.41,-2.48
200001,-2.32,-2.59
200002,-1.78,-2.08
200003,-1.86,-2.13
200004,-2.44,-2.62
200005,-2.44,-2.72
200006,-2.87,-3.05
200007,-3.53,-3.76
200008,-2.92,-3.11
200009,-2.32,-2.58
200010,-1.65,-1.87
200011,-1.55,-1.69
200012,-1.63,-1.70
200101,-2.04,-2.31
200102,-2.15,-2.45
200103,-2.41,-2.68
200104,-1.69,-1.87
200105,-2.40,-2.68
200106,-2.76,-2.94
200107,-3.06,-3.29
200108,-3.13,-3.32
200109,-3.46,-3.72
200110,-3.37,-3.59
200111,-2.32,-2.46
200112,-1.97,-2.04
200201,-2.00,-2.27
200202,-2.27,-2.57
200203,-1.71,-1.98
200204,-1.70,-1.88
200205,-1.85,-2.13
200206,-2.30,-2.48
200207,-3.03,-3.26
200208,-3.63,-3.82
200209,-2.45,-2.71
200210,-2.26,-2.48
200211,-2.44,-2.58
200212,-2.76,-2.83
200301,-3.60,-3.87
200302,-3.92,-4.22
200303,-4.22,-4.49
200304,-4.01,-4.19
200305,-3.52,-3.80
200306,-2.94,-3.12
200307,-2.95,-3.18
200308,-3.20,-3.39
200309,-3.10,-3.36
200310,-3.62,-3.84
200311,0.41,0.27
200312,1.26,1.19
200401,1.17,0.90
200402,1.70,1.40
200403,-0.94,-1.21
200404,-1.02,-1.20
200405,-1.13,-1.41
200406,-1.13,-1.31
200407,-1.22,-1.45
200408,-1.27,-1.46
200409,-1.21,-1.47
200410,1.89,1.67
200411,1.90,1.76
200412,2.08,2.01
200501,2.73,2.46
200502,2.68,2.38
200503,2.94,2.67
200504,2.84,2.66
200505,3.57,3.29
200506,3.73,3.55
200507,3.62,3.39
200508,2.87,2.68
200509,2.22,1.96
200510,1.89,1.67
200511,1.39,1.25
200512,1.49,1.42
200601,1.79,1.52
200602,1.51,1.21
200603,2.24,1.97
200604,2.26,2.08
200605,-0.44,-0.72
200606,-0.78,-0.96
200607,-1.44,-1.67
200608,-1.45,-1.64
200609,0.79,0.53
200610,1.12,0.90
200611,-0.11,-0.25
200612,-0.46,-0.53
200701,-1.12,-1.39
200702,-1.09,-1.39
200703,-1.62,-1.89
200704,-2.17,-2.35
200705,-2.57,-2.85
200706,-2.66,-2.84
200707,-3.02,-3.25
200708,-3.35,-3.54
200709,-2.68,-2.94
200710,-2.11,-2.33
200711,-2.82,-2.96
200712,-2.12,-2.19
200801,-1.52,-1.79
200802,-0.88,-1.18
200803,-1.15,-1.42
200804,-1.38,-1.56
200805,-1.13,-1.41
200806,-1.01,-1.19
200807,-1.30,-1.53
200808,-1.54,-1.73
200809,-1.39,-1.65
200810,-1.52,-1.74
200811,-1.63,-1.77
200812,0.07,0.00
200901,0.42,0.15
200902,0.42,0.12
200903,0.37,0.10
200904,1.01,0.83
200905,0.66,0.38
200906,1.78,1.60
200907,2.05,1.82
200908,-0.29,-0.48
200909,-0.35,-0.61
200910,-0.15,-0.37
200911,-1.04,-1.18
200912,-1.13,-1.20
201001,-1.64,-1.91
201002,-2.25,-2.55
201003,-2.59,-2.86
201004,0.58,0.40
201005,1.52,1.24
201006,1.55,1.37
201007,1.46,1.23
201008,1.52,1.33
201009,0.80,0.54
201010,1.24,1.02
201011,1.71,1.57
201012,3.19,3.12
201101,3.09,2.82
201102,3.11,2.81
201103,3.18,2.91
201104,4.16,3.98
201105,5.51,5.23
201106,5.17,4.99
201107,5.09,4.86
201108,4.88,4.69
201109,-0.42,-0.68
201110,-0.32,-0.54
201111,-0.43,-0.57
201112,-1.31,-1.38
201201,-1.44,-1.71
201202,-1.69,-1.99
201203,-2.39,-2.66
201204,-2.46,-2.64
201205,-2.65,-2.93
201206,-3.18,-3.36
201207,-3.59,-3.82
201208,-4.09,-4.28
201209,-3.94,-4.20
201210,-3.67,-3.89
201211,-3.80,-3.94
201212,-3.26,-3.33
201301,-3.15,-3.42
201302,-3.33,-3.63
201303,-3.79,-4.06
201304,-3.23,-3.41
201305,-2.95,-3.23
201306,-3.28,-3.46
201307,-3.29,-3.52
201308,-3.46,-3.65
201309,-2.54,-2.80
201310,-2.23,-2.45
201311,-2.74,-2.88
201312,-2.75,-2.82
201401,-3.15,-3.42
201402,-2.92,-3.22
201403,-2.93,-3.20
201404,-2.92,-3.10
201405,-2.94,-3.22
201406,-2.80,-2.98
201407,-2.79,-3.02
201408,0.94,0.75
201409,1.84,1.58
201410,-0.91,-1.13
201411,-1.25,-1.39
201412,-1.13,-1.20
201501,-1.65,-1.92
201502,-2.68,-2.98
201503,-4.00,-4.27
201504,-3.94,-4.12
201505,-2.46,-2.74
201506,-2.43,-2.61
201507,-2.13,-2.36
201508,-1.63,-1.82
201509,-1.33,-1.59
201510,-1.62,-1.84
201511,-1.92,-2.06
201512,-1.53,-1.60
201601,-1.13,-1.40
201602,-1.39,-1.69
201603,-1.40,-1.67
201604,-1.35,-1.53
201605,-1.13,-1.41
201606,-1.41,-1.59
201607,-2.33,-2.56
201608,-3.01,-3.20
201609,0.68,0.42
201610,-0.30,-0.52
201611,-0.60,-0.74
201612,0.17,0.10
201701,1.01,0.74
201702,1.64,1.34
201703,1.31,1.04
201704,1.65,1.47
201705,-0.47,-0.75
201706,-1.04,-1.22
201707,-1.68,-1.91
201708,-2.29,-2.48
201709,-1.32,-1.58
201710,-1.87,-2.09
201711,-2.46,-2.60
201712,-2.95,-3.02
201801,-3.67,-3.94
201802,-4.26,-4.56
201803,-4.42,-4.69
201804,-4.26,-4.44
201805,-4.09,-4.37
201806,-4.42,-4.60
201807,-5.13,-5.36
201808,-5.25,-5.44
201809,-5.63,-5.89
201810,0.77,0.55
201811,0.63,0.49
201812,0.51,0.44
201901,1.07,0.80
201902,1.73,1.43
201903,2.54,2.27
201904,2.83,2.65
201905,3.86,3.58
201906,-0.21,-0.39
201907,-0.43,-0.66
201908,-0.90,-1.09
201909,-0.27,-0.53
201910,-0.43,-0.65
201911,-0.87,-1.01
201912,-0.94,-1.01
202001,-0.86,-1.13
202002,-0.86,-1.16
202003,-1.12,-1.39
202004,-1.84,-2.02
202005,-2.49,-2.77
202006,-2.15,-2.33
202007,-2.66,-2.89
202008,-3.46,-3.65
