Salt Lake County, Utah December Palmer Hydrological Drought Index (PHDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.57,-3.70
199002,-4.01,-4.21
199003,-4.27,-4.55
199004,-4.22,-4.52
199005,-3.80,-4.22
199006,-3.36,-3.69
199007,-3.18,-3.43
199008,-3.17,-3.39
199009,-3.02,-3.33
199010,-2.91,-3.20
199011,-2.71,-2.95
199012,-2.88,-3.01
199101,-3.08,-3.21
199102,-3.49,-3.69
199103,-3.34,-3.62
199104,-2.42,-2.72
199105,-1.40,-1.82
199106,-1.13,-1.46
199107,-0.96,-1.21
199108,-0.70,-0.92
199109,1.88,1.57
199110,1.96,1.67
199111,2.37,2.13
199112,1.66,1.53
199201,0.91,0.78
199202,0.73,0.53
199203,-1.74,-2.02
199204,-2.53,-2.83
199205,-2.75,-3.17
199206,-2.90,-3.23
199207,-2.87,-3.12
199208,-3.03,-3.25
199209,-2.94,-3.25
199210,-2.52,-2.81
199211,-1.80,-2.04
199212,-1.27,-1.40
199301,2.08,1.95
199302,2.49,2.29
199303,2.20,1.92
199304,1.89,1.59
199305,2.68,2.26
199306,3.13,2.80
199307,4.21,3.96
199308,4.44,4.22
199309,3.77,3.46
199310,4.04,3.75
199311,3.39,3.15
199312,2.62,2.49
199401,1.90,1.77
199402,2.13,1.93
199403,1.55,1.27
199404,1.57,1.27
199405,1.12,0.70
199406,-1.45,-1.78
199407,-2.43,-2.68
199408,-2.52,-2.74
199409,-2.54,-2.85
199410,-1.38,-1.67
199411,1.88,1.64
199412,1.93,1.80
199501,2.64,2.51
199502,2.08,1.88
199503,2.73,2.45
199504,2.55,2.25
199505,4.27,3.85
199506,4.59,4.26
199507,5.14,4.89
199508,4.73,4.51
199509,4.30,3.99
199510,3.48,3.19
199511,2.48,2.24
199512,2.04,1.91
199601,2.68,2.55
199602,2.86,2.66
199603,2.83,2.55
199604,2.67,2.37
199605,2.42,2.00
199606,1.73,1.40
199607,0.93,0.68
199608,-1.78,-2.00
199609,-1.31,-1.62
199610,-0.98,-1.27
199611,0.81,0.57
199612,1.54,1.41
199701,2.84,2.71
199702,2.75,2.55
199703,1.71,1.43
199704,1.79,1.49
199705,1.60,1.18
199706,1.85,1.52
199707,1.86,1.61
199708,1.91,1.69
199709,2.41,2.10
199710,2.46,2.17
199711,1.85,1.61
199712,1.24,1.11
199801,1.47,1.34
199802,2.75,2.55
199803,2.72,2.44
199804,2.49,2.19
199805,2.56,2.14
199806,4.09,3.76
199807,4.92,4.67
199808,4.89,4.67
199809,4.55,4.24
199810,4.36,4.07
199811,3.72,3.48
199812,2.89,2.76
199901,2.77,2.64
199902,2.67,2.47
199903,1.65,1.37
199904,2.63,2.33
199905,3.16,2.74
199906,3.09,2.76
199907,3.25,3.00
199908,3.06,2.84
199909,2.46,2.15
199910,1.34,1.05
199911,-2.07,-2.31
199912,-2.41,-2.54
200001,-2.32,-2.45
200002,-1.78,-1.98
200003,-1.86,-2.14
200004,-2.44,-2.74
200005,-2.44,-2.86
200006,-2.87,-3.20
200007,-3.53,-3.78
200008,-2.92,-3.14
200009,-2.32,-2.63
200010,-1.65,-1.94
200011,-1.55,-1.79
200012,-1.63,-1.76
200101,-2.04,-2.17
200102,-2.15,-2.35
200103,-2.41,-2.69
200104,-1.69,-1.99
200105,-2.40,-2.82
200106,-2.76,-3.09
200107,-3.06,-3.31
200108,-3.13,-3.35
200109,-3.46,-3.77
200110,-3.37,-3.66
200111,-2.32,-2.56
200112,-1.97,-2.10
200201,-2.00,-2.13
200202,-2.27,-2.47
200203,-1.71,-1.99
200204,-1.70,-2.00
200205,-1.85,-2.27
200206,-2.30,-2.63
200207,-3.03,-3.28
200208,-3.63,-3.85
200209,-2.45,-2.76
200210,-2.26,-2.55
200211,-2.44,-2.68
200212,-2.76,-2.89
200301,-3.60,-3.73
200302,-3.92,-4.12
200303,-4.22,-4.50
200304,-4.01,-4.31
200305,-3.52,-3.94
200306,-2.94,-3.27
200307,-2.95,-3.20
200308,-3.20,-3.42
200309,-3.10,-3.41
200310,-3.62,-3.91
200311,-2.83,-3.07
200312,-1.65,-1.78
